,agemid,low95,median,up95,,,,,
1,37,0.001812072,0.027808296,0.09257584,,0.055105111,0.845650286,2.81523129,(prop exposed per month = summer + this)
2,41,0.001812072,0.027808296,0.09257584,,,,,
3,53,0.001812072,0.027808296,0.09257584,,,,,
4,57,0.001812072,0.027808296,0.09257584,,,,,
5,59,0.001812072,0.027808296,0.09257584,,,,,
6,82,0.001812072,0.027808296,0.09257584,,,,,
7,85,0.001812072,0.027808296,0.09257584,,,,,
8,94,0.001812072,0.027808296,0.09257584,,,,,
9,97,0.001812072,0.027808296,0.09257584,,,,,
10,100,0.001812072,0.027808296,0.09257584,,,,,
11,102,0.001812072,0.027808296,0.09257584,,,,,
12,106,0.001812072,0.027808296,0.09257584,,,,,
13,110,0.001812072,0.027808296,0.09257584,,,,,
14,137,0.001812072,0.027808296,0.09257584,,,,,
15,140,0.001812072,0.027808296,0.09257584,,,,,
16,142,0.001812072,0.027808296,0.09257584,,,,,
17,150,0.001812072,0.027808296,0.09257584,,,,,
18,155,0.001812072,0.027808296,0.09257584,,,,,
19,158,0.001812072,0.027808296,0.09257584,,,,,
20,159,0.001812072,0.027808296,0.09257584,,,,,
21,196,0.001812072,0.027808296,0.09257584,,,,,
22,202,0.001812072,0.027808296,0.09257584,,,,,
23,208,0.001812072,0.027808296,0.09257584,,,,,
24,214,0.001812072,0.027808296,0.09257584,,,,,
25,215,0.001812072,0.027808296,0.09257584,,,,,
26,216,0.001812072,0.027808296,0.09257584,,,,,
27,226,0.001812072,0.027808296,0.09257584,,,,,
28,257,0.001812072,0.027808296,0.09257584,,,,,
29,258,0.001812072,0.027808296,0.09257584,,,,,
30,264,0.001812072,0.027808296,0.09257584,,,,,
31,267,0.001812072,0.027808296,0.09257584,,,,,
32,273,0.001812072,0.027808296,0.09257584,,,,,
33,276,0.001812072,0.027808296,0.09257584,,,,,
34,297,0.001812072,0.027808296,0.09257584,,,,,
35,321,0.001812072,0.027808296,0.09257584,,,,,
36,325,0.001812072,0.027808296,0.09257584,,,,,
37,328,0.001812072,0.027808296,0.09257584,,,,,
38,329,0.001812072,0.027808296,0.09257584,,,,,
39,337,0.001812072,0.027808296,0.09257584,,,,,
40,338,0.001812072,0.027808296,0.09257584,,,,,
41,359,0.001812072,0.027808296,0.09257584,,,,,
42,363,0.001812072,0.027808296,0.09257584,,,,,
43,370,0.001812072,0.027808296,0.09257584,,,,,
44,372,0.001812072,0.027808296,0.09257584,,,,,
45,375,0.001812072,0.027808296,0.09257584,,,,,
46,376,0.001812072,0.027808296,0.09257584,,,,,
47,407,0.001812072,0.027808296,0.09257584,,,,,
48,428,0.001812072,0.027808296,0.09257584,,,,,
49,444,0.001812072,0.027808296,0.09257584,,,,,
50,455,0.001812072,0.027808296,0.09257584,,,,,
51,462,0.001812072,0.027808296,0.09257584,,,,,
52,464,0.001812072,0.027808296,0.09257584,,,,,
53,507,0.001812072,0.027808296,0.09257584,,,,,
54,509,0.001812072,0.027808296,0.09257584,,,,,
55,510,0.001812072,0.027808296,0.09257584,,,,,
56,524,0.001812072,0.027808296,0.09257584,,,,,
57,530,0.001812072,0.027808296,0.09257584,,,,,
58,531,0.001812072,0.027808296,0.09257584,,,,,
