,agemid,low95,median,up95,,,,,
1,37,0.00266603,0.003305246,0.004602735,,375.0895363,302.5493174,217.2621311,(duration of immunity in days)
2,41,0.00266603,0.003305246,0.004602735,,,,,
3,53,0.00266603,0.003305246,0.004602735,,,,,
4,57,0.00266603,0.003305246,0.004602735,,,,,
5,59,0.00266603,0.003305246,0.004602735,,,,,
6,82,0.00266603,0.003305246,0.004602735,,,,,
7,85,0.00266603,0.003305246,0.004602735,,,,,
8,94,0.00266603,0.003305246,0.004602735,,,,,
9,97,0.00266603,0.003305246,0.004602735,,,,,
10,100,0.00266603,0.003305246,0.004602735,,,,,
11,102,0.00266603,0.003305246,0.004602735,,,,,
12,106,0.00266603,0.003305246,0.004602735,,,,,
13,110,0.00266603,0.003305246,0.004602735,,,,,
14,137,0.00266603,0.003305246,0.004602735,,,,,
15,140,0.00266603,0.003305246,0.004602735,,,,,
16,142,0.00266603,0.003305246,0.004602735,,,,,
17,150,0.00266603,0.003305246,0.004602735,,,,,
18,155,0.00266603,0.003305246,0.004602735,,,,,
19,158,0.00266603,0.003305246,0.004602735,,,,,
20,159,0.00266603,0.003305246,0.004602735,,,,,
21,196,0.00266603,0.003305246,0.004602735,,,,,
22,202,0.00266603,0.003305246,0.004602735,,,,,
23,208,0.00266603,0.003305246,0.004602735,,,,,
24,214,0.00266603,0.003305246,0.004602735,,,,,
25,215,0.00266603,0.003305246,0.004602735,,,,,
26,216,0.00266603,0.003305246,0.004602735,,,,,
27,226,0.00266603,0.003305246,0.004602735,,,,,
28,257,0.00266603,0.003305246,0.004602735,,,,,
29,258,0.00266603,0.003305246,0.004602735,,,,,
30,264,0.00266603,0.003305246,0.004602735,,,,,
31,267,0.00266603,0.003305246,0.004602735,,,,,
32,273,0.00266603,0.003305246,0.004602735,,,,,
33,276,0.00266603,0.003305246,0.004602735,,,,,
34,297,0.00266603,0.003305246,0.004602735,,,,,
35,321,0.00266603,0.003305246,0.004602735,,,,,
36,325,0.00266603,0.003305246,0.004602735,,,,,
37,328,0.00266603,0.003305246,0.004602735,,,,,
38,329,0.00266603,0.003305246,0.004602735,,,,,
39,337,0.00266603,0.003305246,0.004602735,,,,,
40,338,0.00266603,0.003305246,0.004602735,,,,,
41,359,0.00266603,0.003305246,0.004602735,,,,,
42,363,0.00266603,0.003305246,0.004602735,,,,,
43,370,0.00266603,0.003305246,0.004602735,,,,,
44,372,0.00266603,0.003305246,0.004602735,,,,,
45,375,0.00266603,0.003305246,0.004602735,,,,,
46,376,0.00266603,0.003305246,0.004602735,,,,,
47,407,0.00266603,0.003305246,0.004602735,,,,,
48,428,0.00266603,0.003305246,0.004602735,,,,,
49,444,0.00266603,0.003305246,0.004602735,,,,,
50,455,0.00266603,0.003305246,0.004602735,,,,,
51,462,0.00266603,0.003305246,0.004602735,,,,,
52,464,0.00266603,0.003305246,0.004602735,,,,,
53,507,0.00266603,0.003305246,0.004602735,,,,,
54,509,0.00266603,0.003305246,0.004602735,,,,,
55,510,0.00266603,0.003305246,0.004602735,,,,,
56,524,0.00266603,0.003305246,0.004602735,,,,,
57,530,0.00266603,0.003305246,0.004602735,,,,,
58,531,0.00266603,0.003305246,0.004602735,,,,,
59,534,0.00266603,0.003305246,0.004602735,,,,,
60,554,0.00266603,0.003305246,0.004602735,,,,,
61,555,0.00266603,0.003305246,0.004602735,,,,,
62,573,0.00266603,0.003305246,0.004602735,,,,,
63,574,0.00266603,0.003305246,0.004602735,,,,,
64,585,0.00266603,0.003305246,0.004602735,,,,,
65,586,0.00266603,0.003305246,0.004602735,,,,,
66,588,0.00266603,0.003305246,0.004602735,,,,,
67,626,0.00266603,0.003305246,0.004602735,,,,,
68,627,0.00266603,0.003305246,0.004602735,,,,,
69,629,0.00266603,0.003305246,0.004602735,,,,,
70,632,0.00266603,0.003305246,0.004602735,,,,,
71,644,0.00266603,0.003305246,0.004602735,,,,,
72,653,0.00266603,0.003305246,0.004602735,,,,,
73,654,0.00266603,0.003305246,0.004602735,,,,,
74,680,0.00266603,0.003305246,0.004602735,,,,,
75,693,0.00266603,0.003305246,0.004602735,,,,,
76,713,0.00266603,0.003305246,0.004602735,,,,,
77,715,0.00266603,0.003305246,0.004602735,,,,,
78,728,0.00266603,0.003305246,0.004602735,,,,,
79,749,0.00266603,0.003305246,0.004602735,,,,,
80,760,0.00266603,0.003305246,0.004602735,,,,,
81,772,0.00266603,0.003305246,0.004602735,,,,,
82,825,0.00266603,0.003305246,0.004602735,,,,,
83,837,0.00266603,0.003305246,0.004602735,,,,,
84,867,0.00266603,0.003305246,0.004602735,,,,,
85,884,0.00266603,0.003305246,0.004602735,,,,,
86,967,0.00266603,0.003305246,0.004602735,,,,,
87,984,0.00266603,0.003305246,0.004602735,,,,,
88,1010,0.00266603,0.003305246,0.004602735,,,,,
89,1013,0.00266603,0.003305246,0.004602735,,,,,
90,1014,0.00266603,0.003305246,0.004602735,,,,,
91,1042,0.00266603,0.003305246,0.004602735,,,,,
92,1047,0.00266603,0.003305246,0.004602735,,,,,
93,1061,0.00266603,0.003305246,0.004602735,,,,,
94,1120,0.00266603,0.003305246,0.004602735,,,,,
95,1141,0.00266603,0.003305246,0.004602735,,,,,
96,1148,0.00266603,0.003305246,0.004602735,,,,,
97,1158,0.00266603,0.003305246,0.004602735,,,,,
98,1176,0.00266603,0.003305246,0.004602735,,,,,
99,1202,0.00266603,0.003305246,0.004602735,,,,,
100,1230,0.00266603,0.003305246,0.004602735,,,,,
101,1242,0.00266603,0.003305246,0.004602735,,,,,
102,1334,0.00266603,0.003305246,0.004602735,,,,,
103,1340,0.00266603,0.003305246,0.004602735,,,,,
104,1377,0.00266603,0.003305246,0.004602735,,,,,
105,1389,0.00266603,0.003305246,0.004602735,,,,,
106,1414,0.00266603,0.003305246,0.004602735,,,,,
107,1450,0.00266603,0.003305246,0.004602735,,,,,
108,1523,0.00266603,0.003305246,0.004602735,,,,,
109,1526,0.00266603,0.003305246,0.004602735,,,,,
110,1537,0.00266603,0.003305246,0.004602735,,,,,
111,1541,0.00266603,0.003305246,0.004602735,,,,,
112,1551,0.00266603,0.003305246,0.004602735,,,,,
113,1564,0.00266603,0.003305246,0.004602735,,,,,
114,1592,0.00266603,0.003305246,0.004602735,,,,,
115,1667,0.00266603,0.003305246,0.004602735,,,,,
116,1721,0.00266603,0.003305246,0.004602735,,,,,
117,1755,0.00266603,0.003305246,0.004602735,,,,,
118,1760,0.00266603,0.003305246,0.004602735,,,,,
119,1806,0.00266603,0.003305246,0.004602735,,,,,
120,1823,0.00266603,0.003305246,0.004602735,,,,,
121,1841,0.00266603,0.003305246,0.004602735,,,,,
122,1848,0.00266603,0.003305246,0.004602735,,,,,
