,agemid,low95,median,up95,,,,,
1,37,2.96E-05,0.00067329,0.003327126,,0.00,0.02,0.10,(prop exposed per month)
2,41,2.96E-05,0.00067329,0.003327126,,,,,
3,53,2.96E-05,0.00067329,0.003327126,,,,,
4,57,2.96E-05,0.00067329,0.003327126,,,,,
5,59,2.96E-05,0.00067329,0.003327126,,,,,
6,82,2.96E-05,0.00067329,0.003327126,,,,,
7,85,2.96E-05,0.00067329,0.003327126,,,,,
8,94,2.96E-05,0.00067329,0.003327126,,,,,
9,97,2.96E-05,0.00067329,0.003327126,,,,,
10,100,2.96E-05,0.00067329,0.003327126,,,,,
11,102,2.96E-05,0.00067329,0.003327126,,,,,
12,106,2.96E-05,0.00067329,0.003327126,,,,,
13,110,2.96E-05,0.00067329,0.003327126,,,,,
14,137,2.96E-05,0.00067329,0.003327126,,,,,
15,140,2.96E-05,0.00067329,0.003327126,,,,,
16,142,2.96E-05,0.00067329,0.003327126,,,,,
17,150,2.96E-05,0.00067329,0.003327126,,,,,
18,155,2.96E-05,0.00067329,0.003327126,,,,,
19,158,2.96E-05,0.00067329,0.003327126,,,,,
20,159,2.96E-05,0.00067329,0.003327126,,,,,
21,196,2.96E-05,0.00067329,0.003327126,,,,,
22,202,2.96E-05,0.00067329,0.003327126,,,,,
23,208,2.96E-05,0.00067329,0.003327126,,,,,
24,214,2.96E-05,0.00067329,0.003327126,,,,,
25,215,2.96E-05,0.00067329,0.003327126,,,,,
26,216,2.96E-05,0.00067329,0.003327126,,,,,
27,226,2.96E-05,0.00067329,0.003327126,,,,,
28,257,2.96E-05,0.00067329,0.003327126,,,,,
29,258,2.96E-05,0.00067329,0.003327126,,,,,
30,264,2.96E-05,0.00067329,0.003327126,,,,,
31,267,2.96E-05,0.00067329,0.003327126,,,,,
32,273,2.96E-05,0.00067329,0.003327126,,,,,
33,276,2.96E-05,0.00067329,0.003327126,,,,,
34,297,2.96E-05,0.00067329,0.003327126,,,,,
35,321,2.96E-05,0.00067329,0.003327126,,,,,
