,agemid,low95,median,up95,,,,,
1,37,8.41E-05,0.002185258,0.011409387,,0.00,0.07,0.35,(prop exposed per month = summer + this)
2,41,8.41E-05,0.002185258,0.011409387,,,,,
3,53,8.41E-05,0.002185258,0.011409387,,,,,
4,57,8.41E-05,0.002185258,0.011409387,,,,,
5,59,8.41E-05,0.002185258,0.011409387,,,,,
6,82,8.41E-05,0.002185258,0.011409387,,,,,
7,85,8.41E-05,0.002185258,0.011409387,,,,,
8,94,8.41E-05,0.002185258,0.011409387,,,,,
9,97,8.41E-05,0.002185258,0.011409387,,,,,
10,100,8.41E-05,0.002185258,0.011409387,,,,,
11,102,8.41E-05,0.002185258,0.011409387,,,,,
12,106,8.41E-05,0.002185258,0.011409387,,,,,
13,110,8.41E-05,0.002185258,0.011409387,,,,,
14,137,8.41E-05,0.002185258,0.011409387,,,,,
15,140,8.41E-05,0.002185258,0.011409387,,,,,
16,142,8.41E-05,0.002185258,0.011409387,,,,,
17,150,8.41E-05,0.002185258,0.011409387,,,,,
18,155,8.41E-05,0.002185258,0.011409387,,,,,
19,158,8.41E-05,0.002185258,0.011409387,,,,,
20,159,8.41E-05,0.002185258,0.011409387,,,,,
21,196,8.41E-05,0.002185258,0.011409387,,,,,
22,202,8.41E-05,0.002185258,0.011409387,,,,,
23,208,8.41E-05,0.002185258,0.011409387,,,,,
24,214,8.41E-05,0.002185258,0.011409387,,,,,
25,215,8.41E-05,0.002185258,0.011409387,,,,,
26,216,8.41E-05,0.002185258,0.011409387,,,,,
27,226,8.41E-05,0.002185258,0.011409387,,,,,
28,257,8.41E-05,0.002185258,0.011409387,,,,,
29,258,8.41E-05,0.002185258,0.011409387,,,,,
30,264,8.41E-05,0.002185258,0.011409387,,,,,
31,267,8.41E-05,0.002185258,0.011409387,,,,,
32,273,8.41E-05,0.002185258,0.011409387,,,,,
33,276,8.41E-05,0.002185258,0.011409387,,,,,
34,297,8.41E-05,0.002185258,0.011409387,,,,,
35,321,8.41E-05,0.002185258,0.011409387,,,,,
36,325,8.41E-05,0.002185258,0.011409387,,,,,
37,328,8.41E-05,0.002185258,0.011409387,,,,,
38,329,8.41E-05,0.002185258,0.011409387,,,,,
39,337,8.41E-05,0.002185258,0.011409387,,,,,
40,338,8.41E-05,0.002185258,0.011409387,,,,,
41,359,8.41E-05,0.002185258,0.011409387,,,,,
42,363,8.41E-05,0.002185258,0.011409387,,,,,
43,370,8.41E-05,0.002185258,0.011409387,,,,,
44,372,8.41E-05,0.002185258,0.011409387,,,,,
45,375,8.41E-05,0.002185258,0.011409387,,,,,
46,376,8.41E-05,0.002185258,0.011409387,,,,,
47,407,8.41E-05,0.002185258,0.011409387,,,,,
48,428,8.41E-05,0.002185258,0.011409387,,,,,
49,444,8.41E-05,0.002185258,0.011409387,,,,,
50,455,8.41E-05,0.002185258,0.011409387,,,,,
51,462,8.41E-05,0.002185258,0.011409387,,,,,
52,464,8.41E-05,0.002185258,0.011409387,,,,,
53,507,8.41E-05,0.002185258,0.011409387,,,,,
54,509,8.41E-05,0.002185258,0.011409387,,,,,
55,510,8.41E-05,0.002185258,0.011409387,,,,,
56,524,8.41E-05,0.002185258,0.011409387,,,,,
57,530,8.41E-05,0.002185258,0.011409387,,,,,
58,531,8.41E-05,0.002185258,0.011409387,,,,,
59,534,8.41E-05,0.002185258,0.011409387,,,,,
60,554,8.41E-05,0.002185258,0.011409387,,,,,
61,555,8.41E-05,0.002185258,0.011409387,,,,,
62,573,8.41E-05,0.002185258,0.011409387,,,,,
63,574,8.41E-05,0.002185258,0.011409387,,,,,
64,585,8.41E-05,0.002185258,0.011409387,,,,,
65,586,8.41E-05,0.002185258,0.011409387,,,,,
66,588,8.41E-05,0.002185258,0.011409387,,,,,
67,626,8.41E-05,0.002185258,0.011409387,,,,,
68,627,8.41E-05,0.002185258,0.011409387,,,,,
69,629,8.41E-05,0.002185258,0.011409387,,,,,
70,632,8.41E-05,0.002185258,0.011409387,,,,,
71,644,8.41E-05,0.002185258,0.011409387,,,,,
72,653,8.41E-05,0.002185258,0.011409387,,,,,
73,654,8.41E-05,0.002185258,0.011409387,,,,,
74,680,8.41E-05,0.002185258,0.011409387,,,,,
75,693,8.41E-05,0.002185258,0.011409387,,,,,
76,713,8.41E-05,0.002185258,0.011409387,,,,,
77,715,8.41E-05,0.002185258,0.011409387,,,,,
78,728,8.41E-05,0.002185258,0.011409387,,,,,
79,749,8.41E-05,0.002185258,0.011409387,,,,,
80,760,8.41E-05,0.002185258,0.011409387,,,,,
81,772,8.41E-05,0.002185258,0.011409387,,,,,
82,825,8.41E-05,0.002185258,0.011409387,,,,,
83,837,8.41E-05,0.002185258,0.011409387,,,,,
84,867,8.41E-05,0.002185258,0.011409387,,,,,
85,884,8.41E-05,0.002185258,0.011409387,,,,,
86,967,8.41E-05,0.002185258,0.011409387,,,,,
87,984,8.41E-05,0.002185258,0.011409387,,,,,
88,1010,8.41E-05,0.002185258,0.011409387,,,,,
89,1013,8.41E-05,0.002185258,0.011409387,,,,,
90,1014,8.41E-05,0.002185258,0.011409387,,,,,
91,1042,8.41E-05,0.002185258,0.011409387,,,,,
92,1047,8.41E-05,0.002185258,0.011409387,,,,,
93,1061,8.41E-05,0.002185258,0.011409387,,,,,
94,1120,8.41E-05,0.002185258,0.011409387,,,,,
95,1141,8.41E-05,0.002185258,0.011409387,,,,,
96,1148,8.41E-05,0.002185258,0.011409387,,,,,
97,1158,8.41E-05,0.002185258,0.011409387,,,,,
98,1176,8.41E-05,0.002185258,0.011409387,,,,,
99,1202,8.41E-05,0.002185258,0.011409387,,,,,
100,1230,8.41E-05,0.002185258,0.011409387,,,,,
101,1242,8.41E-05,0.002185258,0.011409387,,,,,
102,1334,8.41E-05,0.002185258,0.011409387,,,,,
103,1340,8.41E-05,0.002185258,0.011409387,,,,,
104,1377,8.41E-05,0.002185258,0.011409387,,,,,
105,1389,8.41E-05,0.002185258,0.011409387,,,,,
106,1414,8.41E-05,0.002185258,0.011409387,,,,,
107,1450,8.41E-05,0.002185258,0.011409387,,,,,
108,1523,8.41E-05,0.002185258,0.011409387,,,,,
109,1526,8.41E-05,0.002185258,0.011409387,,,,,
110,1537,8.41E-05,0.002185258,0.011409387,,,,,
111,1541,8.41E-05,0.002185258,0.011409387,,,,,
112,1551,8.41E-05,0.002185258,0.011409387,,,,,
113,1564,8.41E-05,0.002185258,0.011409387,,,,,
114,1592,8.41E-05,0.002185258,0.011409387,,,,,
115,1667,8.41E-05,0.002185258,0.011409387,,,,,
116,1721,8.41E-05,0.002185258,0.011409387,,,,,
117,1755,8.41E-05,0.002185258,0.011409387,,,,,
118,1760,8.41E-05,0.002185258,0.011409387,,,,,
119,1806,8.41E-05,0.002185258,0.011409387,,,,,
120,1823,8.41E-05,0.002185258,0.011409387,,,,,
121,1841,8.41E-05,0.002185258,0.011409387,,,,,
