,agemid,low95,median,up95,,,,,
1,37,0.000642295,0.012185092,0.083382735,,0.019532183,0.370548643,2.535668979,(prop exposed per month = summer + this)
2,41,0.000642295,0.012185092,0.083382735,,,,,
3,53,0.000642295,0.012185092,0.083382735,,,,,
4,57,0.000642295,0.012185092,0.083382735,,,,,
5,59,0.000642295,0.012185092,0.083382735,,,,,
6,82,0.000642295,0.012185092,0.083382735,,,,,
7,85,0.000642295,0.012185092,0.083382735,,,,,
8,94,0.000642295,0.012185092,0.083382735,,,,,
9,97,0.000642295,0.012185092,0.083382735,,,,,
10,100,0.000642295,0.012185092,0.083382735,,,,,
11,102,0.000642295,0.012185092,0.083382735,,,,,
12,106,0.000642295,0.012185092,0.083382735,,,,,
13,110,0.000642295,0.012185092,0.083382735,,,,,
14,137,0.000642295,0.012185092,0.083382735,,,,,
15,140,0.000642295,0.012185092,0.083382735,,,,,
16,142,0.000642295,0.012185092,0.083382735,,,,,
17,150,0.000642295,0.012185092,0.083382735,,,,,
18,155,0.000642295,0.012185092,0.083382735,,,,,
19,158,0.000642295,0.012185092,0.083382735,,,,,
20,159,0.000642295,0.012185092,0.083382735,,,,,
21,196,0.000642295,0.012185092,0.083382735,,,,,
22,202,0.000642295,0.012185092,0.083382735,,,,,
23,208,0.000642295,0.012185092,0.083382735,,,,,
24,214,0.000642295,0.012185092,0.083382735,,,,,
25,215,0.000642295,0.012185092,0.083382735,,,,,
26,216,0.000642295,0.012185092,0.083382735,,,,,
27,226,0.000642295,0.012185092,0.083382735,,,,,
28,257,0.000642295,0.012185092,0.083382735,,,,,
29,258,0.000642295,0.012185092,0.083382735,,,,,
30,264,0.000642295,0.012185092,0.083382735,,,,,
31,267,0.000642295,0.012185092,0.083382735,,,,,
32,273,0.000642295,0.012185092,0.083382735,,,,,
33,276,0.000642295,0.012185092,0.083382735,,,,,
34,297,0.000642295,0.012185092,0.083382735,,,,,
35,321,0.000642295,0.012185092,0.083382735,,,,,
36,325,0.000642295,0.012185092,0.083382735,,,,,
37,328,0.000642295,0.012185092,0.083382735,,,,,
38,329,0.000642295,0.012185092,0.083382735,,,,,
39,337,0.000642295,0.012185092,0.083382735,,,,,
40,338,0.000642295,0.012185092,0.083382735,,,,,
41,359,0.000642295,0.012185092,0.083382735,,,,,
42,363,0.000642295,0.012185092,0.083382735,,,,,
43,370,0.000642295,0.012185092,0.083382735,,,,,
44,372,0.000642295,0.012185092,0.083382735,,,,,
45,375,0.000642295,0.012185092,0.083382735,,,,,
46,376,0.000642295,0.012185092,0.083382735,,,,,
47,407,0.000642295,0.012185092,0.083382735,,,,,
48,428,0.000642295,0.012185092,0.083382735,,,,,
49,444,0.000642295,0.012185092,0.083382735,,,,,
50,455,0.000642295,0.012185092,0.083382735,,,,,
51,462,0.000642295,0.012185092,0.083382735,,,,,
52,464,0.000642295,0.012185092,0.083382735,,,,,
53,507,0.000642295,0.012185092,0.083382735,,,,,
54,509,0.000642295,0.012185092,0.083382735,,,,,
55,510,0.000642295,0.012185092,0.083382735,,,,,
56,524,0.000642295,0.012185092,0.083382735,,,,,
57,530,0.000642295,0.012185092,0.083382735,,,,,
58,531,0.000642295,0.012185092,0.083382735,,,,,
59,534,0.000642295,0.012185092,0.083382735,,,,,
60,554,0.000642295,0.012185092,0.083382735,,,,,
61,555,0.000642295,0.012185092,0.083382735,,,,,
62,573,0.000642295,0.012185092,0.083382735,,,,,
63,574,0.000642295,0.012185092,0.083382735,,,,,
64,585,0.000642295,0.012185092,0.083382735,,,,,
65,586,0.000642295,0.012185092,0.083382735,,,,,
66,588,0.000642295,0.012185092,0.083382735,,,,,
67,626,0.000642295,0.012185092,0.083382735,,,,,
68,627,0.000642295,0.012185092,0.083382735,,,,,
69,629,0.000642295,0.012185092,0.083382735,,,,,
70,632,0.000642295,0.012185092,0.083382735,,,,,
71,644,0.000642295,0.012185092,0.083382735,,,,,
72,653,0.000642295,0.012185092,0.083382735,,,,,
73,654,0.000642295,0.012185092,0.083382735,,,,,
74,680,0.000642295,0.012185092,0.083382735,,,,,
75,693,0.000642295,0.012185092,0.083382735,,,,,
