,agemid,low95,median,up95,,low95,median,up95,
1,42,9.59E-05,0.002329727,0.020819384,,0.87,21.25,189.94,(% over the entire season)
2,47,9.59E-05,0.002329727,0.020819384,,0.29,7.08,63.31,(% per month)
3,53,9.59E-05,0.002329727,0.020819384,,0.01,0.23,2.08,(% per day)
4,59,9.59E-05,0.002329727,0.020819384,,,,,
5,85,9.59E-05,0.002329727,0.020819384,,,,,
6,96,9.59E-05,0.002329727,0.020819384,,,,,
7,98,9.59E-05,0.002329727,0.020819384,,,,,
8,110,9.59E-05,0.002329727,0.020819384,,,,,
9,141,9.59E-05,0.002329727,0.020819384,,,,,
10,146,9.59E-05,0.002329727,0.020819384,,,,,
11,158,9.59E-05,0.002329727,0.020819384,,,,,
12,159,9.59E-05,0.002329727,0.020819384,,,,,
13,206,9.59E-05,0.002329727,0.020819384,,,,,
14,214,9.59E-05,0.002329727,0.020819384,,,,,
15,216,9.59E-05,0.002329727,0.020819384,,,,,
16,224,9.59E-05,0.002329727,0.020819384,,,,,
17,257,9.59E-05,0.002329727,0.020819384,,,,,
18,266,9.59E-05,0.002329727,0.020819384,,,,,
19,271,9.59E-05,0.002329727,0.020819384,,,,,
20,276,9.59E-05,0.002329727,0.020819384,,,,,
21,330,9.59E-05,0.002329727,0.020819384,,,,,
22,336,9.59E-05,0.002329727,0.020819384,,,,,
23,340,9.59E-05,0.002329727,0.020819384,,,,,
24,343,9.59E-05,0.002329727,0.020819384,,,,,
25,375,9.59E-05,0.002329727,0.020819384,,,,,
26,379,9.59E-05,0.002329727,0.020819384,,,,,
27,385,9.59E-05,0.002329727,0.020819384,,,,,
28,432,9.59E-05,0.002329727,0.020819384,,,,,
29,453,9.59E-05,0.002329727,0.020819384,,,,,
30,460,9.59E-05,0.002329727,0.020819384,,,,,
31,464,9.59E-05,0.002329727,0.020819384,,,,,
32,510,9.59E-05,0.002329727,0.020819384,,,,,
33,516,9.59E-05,0.002329727,0.020819384,,,,,
34,531,9.59E-05,0.002329727,0.020819384,,,,,
35,534,9.59E-05,0.002329727,0.020819384,,,,,
36,571,9.59E-05,0.002329727,0.020819384,,,,,
37,586,9.59E-05,0.002329727,0.020819384,,,,,
38,588,9.59E-05,0.002329727,0.020819384,,,,,
39,629,9.59E-05,0.002329727,0.020819384,,,,,
40,631,9.59E-05,0.002329727,0.020819384,,,,,
41,647,9.59E-05,0.002329727,0.020819384,,,,,
42,690,9.59E-05,0.002329727,0.020819384,,,,,
43,693,9.59E-05,0.002329727,0.020819384,,,,,
44,706,9.59E-05,0.002329727,0.020819384,,,,,
45,722,9.59E-05,0.002329727,0.020819384,,,,,
46,770,9.59E-05,0.002329727,0.020819384,,,,,
47,780,9.59E-05,0.002329727,0.020819384,,,,,
48,850,9.59E-05,0.002329727,0.020819384,,,,,
49,857,9.59E-05,0.002329727,0.020819384,,,,,
50,980,9.59E-05,0.002329727,0.020819384,,,,,
51,997,9.59E-05,0.002329727,0.020819384,,,,,
52,1014,9.59E-05,0.002329727,0.020819384,,,,,
53,1052,9.59E-05,0.002329727,0.020819384,,,,,
54,1134,9.59E-05,0.002329727,0.020819384,,,,,
55,1176,9.59E-05,0.002329727,0.020819384,,,,,
56,1188,9.59E-05,0.002329727,0.020819384,,,,,
57,1226,9.59E-05,0.002329727,0.020819384,,,,,
58,1348,9.59E-05,0.002329727,0.020819384,,,,,
59,1356,9.59E-05,0.002329727,0.020819384,,,,,
60,1377,9.59E-05,0.002329727,0.020819384,,,,,
61,1389,9.59E-05,0.002329727,0.020819384,,,,,
62,1519,9.59E-05,0.002329727,0.020819384,,,,,
63,1526,9.59E-05,0.002329727,0.020819384,,,,,
64,1564,9.59E-05,0.002329727,0.020819384,,,,,
65,1592,9.59E-05,0.002329727,0.020819384,,,,,
66,1676,9.59E-05,0.002329727,0.020819384,,,,,
67,1721,9.59E-05,0.002329727,0.020819384,,,,,
68,1755,9.59E-05,0.002329727,0.020819384,,,,,
69,1807,9.59E-05,0.002329727,0.020819384,,,,,
70,1833,9.59E-05,0.002329727,0.020819384,,,,,
71,1841,9.59E-05,0.002329727,0.020819384,,,,,
72,1848,9.59E-05,0.002329727,0.020819384,,,,,
