,agemid,low95,median,up95,,,,low95,median,up95,
1,42,0.000154782,0.007215686,0.070909291,,,,1.41207246,65.8287002,646.9054644,(% over the entire season)
2,47,0.000154782,0.007215686,0.070909291,,,,0.470692062,21.94290113,215.6351539,(% per month)
3,53,0.000154782,0.007215686,0.070909291,,,,0.0154782,0.7215686,7.0909291,(% per day)
4,59,0.000154782,0.007215686,0.070909291,,,,,,,
5,85,0.000154782,0.007215686,0.070909291,,,,,,,
6,96,0.000154782,0.007215686,0.070909291,,,,,,,
7,98,0.000154782,0.007215686,0.070909291,,,,,,,
8,110,0.000154782,0.007215686,0.070909291,,,,,,,
9,141,0.000154782,0.007215686,0.070909291,,,,,,,
10,146,0.000154782,0.007215686,0.070909291,,,,,,,
11,158,0.000154782,0.007215686,0.070909291,,,,,,,
12,159,0.000154782,0.007215686,0.070909291,,,,,,,
13,206,0.000154782,0.007215686,0.070909291,,,,,,,
14,214,0.000154782,0.007215686,0.070909291,,,,,,,
15,216,0.000154782,0.007215686,0.070909291,,,,,,,
16,224,0.000154782,0.007215686,0.070909291,,,,,,,
17,257,0.000154782,0.007215686,0.070909291,,,,,,,
18,266,0.000154782,0.007215686,0.070909291,,,,,,,
19,271,0.000154782,0.007215686,0.070909291,,,,,,,
20,276,0.000154782,0.007215686,0.070909291,,,,,,,
21,330,0.000154782,0.007215686,0.070909291,,,,,,,
22,336,0.000154782,0.007215686,0.070909291,,,,,,,
23,340,0.000154782,0.007215686,0.070909291,,,,,,,
24,343,0.000154782,0.007215686,0.070909291,,,,,,,
25,375,0.000154782,0.007215686,0.070909291,,,,,,,
26,379,0.000154782,0.007215686,0.070909291,,,,,,,
27,385,0.000154782,0.007215686,0.070909291,,,,,,,
28,432,0.000154782,0.007215686,0.070909291,,,,,,,
29,453,0.000154782,0.007215686,0.070909291,,,,,,,
30,460,0.000154782,0.007215686,0.070909291,,,,,,,
31,464,0.000154782,0.007215686,0.070909291,,,,,,,
32,510,0.000154782,0.007215686,0.070909291,,,,,,,
33,516,0.000154782,0.007215686,0.070909291,,,,,,,
34,531,0.000154782,0.007215686,0.070909291,,,,,,,
35,534,0.000154782,0.007215686,0.070909291,,,,,,,
36,571,0.000154782,0.007215686,0.070909291,,,,,,,
37,586,0.000154782,0.007215686,0.070909291,,,,,,,
38,588,0.000154782,0.007215686,0.070909291,,,,,,,
39,629,0.000154782,0.007215686,0.070909291,,,,,,,
40,631,0.000154782,0.007215686,0.070909291,,,,,,,
41,647,0.000154782,0.007215686,0.070909291,,,,,,,
42,690,0.000154782,0.007215686,0.070909291,,,,,,,
43,693,0.000154782,0.007215686,0.070909291,,,,,,,
44,706,0.000154782,0.007215686,0.070909291,,,,,,,
45,722,0.000154782,0.007215686,0.070909291,,,,,,,
46,770,0.000154782,0.007215686,0.070909291,,,,,,,
47,780,0.000154782,0.007215686,0.070909291,,,,,,,
48,850,0.000154782,0.007215686,0.070909291,,,,,,,
49,857,0.000154782,0.007215686,0.070909291,,,,,,,
50,980,0.000154782,0.007215686,0.070909291,,,,,,,
51,997,0.000154782,0.007215686,0.070909291,,,,,,,
52,1014,0.000154782,0.007215686,0.070909291,,,,,,,
53,1052,0.000154782,0.007215686,0.070909291,,,,,,,
54,1134,0.000154782,0.007215686,0.070909291,,,,,,,
55,1176,0.000154782,0.007215686,0.070909291,,,,,,,
56,1188,0.000154782,0.007215686,0.070909291,,,,,,,
57,1226,0.000154782,0.007215686,0.070909291,,,,,,,
58,1348,0.000154782,0.007215686,0.070909291,,,,,,,
59,1356,0.000154782,0.007215686,0.070909291,,,,,,,
60,1377,0.000154782,0.007215686,0.070909291,,,,,,,
61,1389,0.000154782,0.007215686,0.070909291,,,,,,,
62,1519,0.000154782,0.007215686,0.070909291,,,,,,,
63,1526,0.000154782,0.007215686,0.070909291,,,,,,,
64,1564,0.000154782,0.007215686,0.070909291,,,,,,,
65,1592,0.000154782,0.007215686,0.070909291,,,,,,,
66,1676,0.000154782,0.007215686,0.070909291,,,,,,,
67,1721,0.000154782,0.007215686,0.070909291,,,,,,,
68,1755,0.000154782,0.007215686,0.070909291,,,,,,,
69,1807,0.000154782,0.007215686,0.070909291,,,,,,,
70,1833,0.000154782,0.007215686,0.070909291,,,,,,,
71,1841,0.000154782,0.007215686,0.070909291,,,,,,,
72,1848,0.000154782,0.007215686,0.070909291,,,,,,,
