,agemid,low95,median,up95,,
1,42,0.000412876,0.003419067,0.02248449,,
2,47,0.000412876,0.003419067,0.02248449,,
3,53,0.000412876,0.003419067,0.02248449,,
4,59,0.000412876,0.003419067,0.02248449,,
5,85,0.000412876,0.003419067,0.02248449,,
6,96,0.000540445,0.005054374,0.05747021,,
7,98,0.000540445,0.005054374,0.05747021,,
8,110,0.000540445,0.005054374,0.05747021,,
9,141,0.000540445,0.005054374,0.05747021,,
10,146,0.000540445,0.005054374,0.05747021,,
11,158,0.000540445,0.005054374,0.05747021,,
12,159,0.000540445,0.005054374,0.05747021,,
13,206,0.000700936,0.007929434,0.071140633,,
14,214,0.000700936,0.007929434,0.071140633,,
15,216,0.000700936,0.007929434,0.071140633,,
16,224,0.000700936,0.007929434,0.071140633,,
17,257,0.000700936,0.007929434,0.071140633,,
18,266,0.000700936,0.007929434,0.071140633,,
19,271,0.000700936,0.007929434,0.071140633,,
20,276,0.000412193,0.003591225,0.033173193,,
21,330,0.000412193,0.003591225,0.033173193,,
22,336,0.000412193,0.003591225,0.033173193,,
23,340,0.000412193,0.003591225,0.033173193,,
24,343,0.000412193,0.003591225,0.033173193,,
25,375,0.000463982,0.003719852,0.022843166,,
26,379,0.000463982,0.003719852,0.022843166,,
27,385,0.000463982,0.003719852,0.022843166,,
28,432,0.000463982,0.003719852,0.022843166,,
29,453,0.000463982,0.003719852,0.022843166,,
30,460,0.00059734,0.005308047,0.057495735,,
31,464,0.00059734,0.005308047,0.057495735,,
32,510,0.00059734,0.005308047,0.057495735,,
33,516,0.00059734,0.005308047,0.057495735,,
34,531,0.00059734,0.005308047,0.057495735,,
35,534,0.00059734,0.005308047,0.057495735,,
36,571,0.000736534,0.008176503,0.071217747,,
37,586,0.000736534,0.008176503,0.071217747,,
38,588,0.000736534,0.008176503,0.071217747,,
39,629,0.000736534,0.008176503,0.071217747,,
40,631,0.000736534,0.008176503,0.071217747,,
41,647,0.000432073,0.003825533,0.033800483,,
42,690,0.000432073,0.003825533,0.033800483,,
43,693,0.000432073,0.003825533,0.033800483,,
44,706,0.000432073,0.003825533,0.033800483,,
45,722,0.000432073,0.003825533,0.033800483,,
46,770,0.000516405,0.003985102,0.023488865,,
47,780,0.000516405,0.003985102,0.023488865,,
48,850,0.000656279,0.005632652,0.05793589,,
49,857,0.000656279,0.005632652,0.05793589,,
50,980,0.000950734,0.008817491,0.071718245,,
51,997,0.000950734,0.008817491,0.071718245,,
52,1014,0.000560213,0.004345136,0.034818628,,
53,1052,0.000560213,0.004345136,0.034818628,,
54,1134,0.00067051,0.0048412,0.024341787,,
55,1176,0.00067051,0.0048412,0.024341787,,
56,1188,0.00074502,0.006528266,0.05935907,,
57,1226,0.00074502,0.006528266,0.05935907,,
58,1348,0.001345916,0.010760443,0.075088144,,
59,1356,0.001345916,0.010760443,0.075088144,,
60,1377,0.000810373,0.005780033,0.035782567,,
61,1389,0.000810373,0.005780033,0.035782567,,
62,1519,0.000761975,0.005512281,0.025105981,,
63,1526,0.000761975,0.005512281,0.025105981,,
64,1564,0.000904619,0.007354297,0.060680679,,
65,1592,0.000904619,0.007354297,0.060680679,,
66,1676,0.001319157,0.010635816,0.074807319,,
67,1721,0.001319157,0.010635816,0.074807319,,
68,1755,0.000777469,0.005654871,0.035625747,,
69,1807,0.000777469,0.005654871,0.035625747,,
70,1833,0.000736681,0.005397348,0.025025283,,
71,1841,0.000736681,0.005397348,0.025025283,,FOI due to contacts
72,1848,0.000736681,0.005397348,0.025025283,,0.003067621
,,,,,,
,,,,,,
,,FOI in autumn,,,,
,,0.002329727,,,,
