,agemid,low95,median,up95,,
1,42,0.000432073,0.003825533,0.033800483,,
2,47,0.000432073,0.003825533,0.033800483,,
3,53,0.000432073,0.003825533,0.033800483,,
4,59,0.000432073,0.003825533,0.033800483,,
5,85,0.000432073,0.003825533,0.033800483,,
6,96,0.000412876,0.003419067,0.02248449,,
7,98,0.000412876,0.003419067,0.02248449,,
8,110,0.000412876,0.003419067,0.02248449,,
9,141,0.000412876,0.003419067,0.02248449,,
10,146,0.000412876,0.003419067,0.02248449,,
11,158,0.000412876,0.003419067,0.02248449,,
12,159,0.000412876,0.003419067,0.02248449,,
13,206,0.000980797,0.007998744,0.061532664,,
14,214,0.000980797,0.007998744,0.061532664,,
15,216,0.000980797,0.007998744,0.061532664,,
16,224,0.000980797,0.007998744,0.061532664,,
17,257,0.000980797,0.007998744,0.061532664,,
18,266,0.000980797,0.007998744,0.061532664,,
19,271,0.000980797,0.007998744,0.061532664,,
20,276,0.001502854,0.01135928,0.075445844,,
21,330,0.001502854,0.01135928,0.075445844,,
22,336,0.001502854,0.01135928,0.075445844,,
23,340,0.001502854,0.01135928,0.075445844,,
24,343,0.001502854,0.01135928,0.075445844,,
25,375,0.000937856,0.006262939,0.0363006,,
26,379,0.000937856,0.006262939,0.0363006,,
27,385,0.000937856,0.006262939,0.0363006,,
28,432,0.000937856,0.006262939,0.0363006,,
29,453,0.000937856,0.006262939,0.0363006,,
30,460,0.000827751,0.00592555,0.025592855,,
31,464,0.000827751,0.00592555,0.025592855,,
32,510,0.000827751,0.00592555,0.025592855,,
33,516,0.000827751,0.00592555,0.025592855,,
34,531,0.000827751,0.00592555,0.025592855,,
35,534,0.000827751,0.00592555,0.025592855,,
36,571,0.001381437,0.011847459,0.063898414,,
37,586,0.001381437,0.011847459,0.063898414,,
38,588,0.001381437,0.011847459,0.063898414,,
39,629,0.001381437,0.011847459,0.063898414,,
40,631,0.001381437,0.011847459,0.063898414,,
41,647,0.002393796,0.015302517,0.075785592,,
42,690,0.002393796,0.015302517,0.075785592,,
43,693,0.002393796,0.015302517,0.075785592,,
44,706,0.002393796,0.015302517,0.075785592,,
45,722,0.002393796,0.015302517,0.075785592,,
46,770,0.001292598,0.009559565,0.040199478,,
47,780,0.001292598,0.009559565,0.040199478,,
48,850,0.001284267,0.00916306,0.032086449,,
49,857,0.001284267,0.00916306,0.032086449,,
50,980,0.00127692,0.010786907,0.062393862,,
51,997,0.00127692,0.010786907,0.062393862,,
52,1014,0.002285747,0.014238441,0.075539597,,
53,1052,0.002285747,0.014238441,0.075539597,,
54,1134,0.00141577,0.010909759,0.042622011,,
55,1176,0.00141577,0.010909759,0.042622011,,
56,1188,0.001419916,0.010269424,0.035380999,,
57,1226,0.001419916,0.010269424,0.035380999,,
58,1348,0.001801938,0.015911301,0.072810831,,
59,1356,0.001801938,0.015911301,0.072810831,,
60,1377,0.003213062,0.020059741,0.079252274,,
61,1389,0.003213062,0.020059741,0.079252274,,
62,1519,0.002599746,0.023338917,0.089175373,,
63,1526,0.002599746,0.023338917,0.089175373,,
64,1564,0.002420411,0.021714989,0.084032252,,
65,1592,0.002420411,0.021714989,0.084032252,,
66,1676,0.00193993,0.017667247,0.078756308,,
67,1721,0.00193993,0.017667247,0.078756308,,
68,1755,0.003469057,0.022324691,0.080407614,,
69,1807,0.003469057,0.022324691,0.080407614,,
70,1833,0.00171253,0.013880401,0.052386199,,
71,1841,0.00171253,0.013880401,0.052386199,,FOI due to contacts
72,1848,0.00171253,0.013880401,0.052386199,,0.010954707
,,,,,,
,,FOI in summer,,,,
,,0.002925694,,,,
