,agemid,low95,median,up95,,,,,
1,42,7.74E-05,0.002716202,0.032732735,,0.235427032,8.259970834,99.54024826,(%/month)
2,47,7.74E-05,0.002716202,0.032732735,,,,,
3,53,7.74E-05,0.002716202,0.032732735,,,,,
4,59,7.74E-05,0.002716202,0.032732735,,,,,
5,85,7.74E-05,0.002716202,0.032732735,,,,,
6,96,7.74E-05,0.002716202,0.032732735,,,,,
7,98,7.74E-05,0.002716202,0.032732735,,,,,
8,110,7.74E-05,0.002716202,0.032732735,,,,,
9,141,7.74E-05,0.002716202,0.032732735,,,,,
10,146,7.74E-05,0.002716202,0.032732735,,,,,
11,158,7.74E-05,0.002716202,0.032732735,,,,,
12,159,7.74E-05,0.002716202,0.032732735,,,,,
13,206,7.74E-05,0.002716202,0.032732735,,,,,
14,214,7.74E-05,0.002716202,0.032732735,,,,,
15,216,7.74E-05,0.002716202,0.032732735,,,,,
16,224,7.74E-05,0.002716202,0.032732735,,,,,
17,257,7.74E-05,0.002716202,0.032732735,,,,,
18,266,7.74E-05,0.002716202,0.032732735,,,,,
19,271,7.74E-05,0.002716202,0.032732735,,,,,
20,276,7.74E-05,0.002716202,0.032732735,,,,,
21,330,7.74E-05,0.002716202,0.032732735,,,,,
22,336,7.74E-05,0.002716202,0.032732735,,,,,
23,340,7.74E-05,0.002716202,0.032732735,,,,,
24,343,7.74E-05,0.002716202,0.032732735,,,,,
25,375,7.74E-05,0.002716202,0.032732735,,,,,
26,379,7.74E-05,0.002716202,0.032732735,,,,,
27,385,7.74E-05,0.002716202,0.032732735,,,,,
28,432,7.74E-05,0.002716202,0.032732735,,,,,
29,453,7.74E-05,0.002716202,0.032732735,,,,,
30,460,7.74E-05,0.002716202,0.032732735,,,,,
31,464,7.74E-05,0.002716202,0.032732735,,,,,
32,510,7.74E-05,0.002716202,0.032732735,,,,,
33,516,7.74E-05,0.002716202,0.032732735,,,,,
34,531,7.74E-05,0.002716202,0.032732735,,,,,
35,534,7.74E-05,0.002716202,0.032732735,,,,,
36,571,7.74E-05,0.002716202,0.032732735,,,,,
37,586,7.74E-05,0.002716202,0.032732735,,,,,
38,588,7.74E-05,0.002716202,0.032732735,,,,,
39,629,7.74E-05,0.002716202,0.032732735,,,,,
40,631,7.74E-05,0.002716202,0.032732735,,,,,
41,647,7.74E-05,0.002716202,0.032732735,,,,,
42,690,7.74E-05,0.002716202,0.032732735,,,,,
43,693,7.74E-05,0.002716202,0.032732735,,,,,
44,706,7.74E-05,0.002716202,0.032732735,,,,,
45,722,7.74E-05,0.002716202,0.032732735,,,,,
46,770,7.74E-05,0.002716202,0.032732735,,,,,
47,780,7.74E-05,0.002716202,0.032732735,,,,,
48,850,7.74E-05,0.002716202,0.032732735,,,,,
49,857,7.74E-05,0.002716202,0.032732735,,,,,
50,980,7.74E-05,0.002716202,0.032732735,,,,,
51,997,7.74E-05,0.002716202,0.032732735,,,,,
52,1014,7.74E-05,0.002716202,0.032732735,,,,,
53,1052,7.74E-05,0.002716202,0.032732735,,,,,
54,1134,7.74E-05,0.002716202,0.032732735,,,,,
55,1176,7.74E-05,0.002716202,0.032732735,,,,,
56,1188,7.74E-05,0.002716202,0.032732735,,,,,
57,1226,7.74E-05,0.002716202,0.032732735,,,,,
58,1348,7.74E-05,0.002716202,0.032732735,,,,,
59,1356,7.74E-05,0.002716202,0.032732735,,,,,
60,1377,7.74E-05,0.002716202,0.032732735,,,,,
61,1389,7.74E-05,0.002716202,0.032732735,,,,,
62,1519,7.74E-05,0.002716202,0.032732735,,,,,
63,1526,7.74E-05,0.002716202,0.032732735,,,,,
64,1564,7.74E-05,0.002716202,0.032732735,,,,,
65,1592,7.74E-05,0.002716202,0.032732735,,,,,
66,1676,7.74E-05,0.002716202,0.032732735,,,,,
67,1721,7.74E-05,0.002716202,0.032732735,,,,,
68,1755,7.74E-05,0.002716202,0.032732735,,,,,
69,1807,7.74E-05,0.002716202,0.032732735,,,,,
70,1833,7.74E-05,0.002716202,0.032732735,,,,,
71,1841,7.74E-05,0.002716202,0.032732735,,,,,
72,1848,7.74E-05,0.002716202,0.032732735,,,,,
