,agemid,low95,median,up95,,,,,,
1,42,2.31E-05,0.000765474,0.004227196,,,0.07,2.33,12.85,(%/month)
2,47,2.31E-05,0.000765474,0.004227196,,,,,,
3,53,2.31E-05,0.000765474,0.004227196,,,,,,
4,59,2.31E-05,0.000765474,0.004227196,,,,,,
5,85,2.31E-05,0.000765474,0.004227196,,,,,,
6,96,2.31E-05,0.000765474,0.004227196,,,,,,
7,98,2.31E-05,0.000765474,0.004227196,,,,,,
8,110,2.31E-05,0.000765474,0.004227196,,,,,,
9,141,2.31E-05,0.000765474,0.004227196,,,,,,
10,146,2.31E-05,0.000765474,0.004227196,,,,,,
11,158,2.31E-05,0.000765474,0.004227196,,,,,,
12,159,2.31E-05,0.000765474,0.004227196,,,,,,
13,206,2.31E-05,0.000765474,0.004227196,,,,,,
14,214,2.31E-05,0.000765474,0.004227196,,,,,,
15,216,2.31E-05,0.000765474,0.004227196,,,,,,
16,224,2.31E-05,0.000765474,0.004227196,,,,,,
17,257,2.31E-05,0.000765474,0.004227196,,,,,,
18,266,2.31E-05,0.000765474,0.004227196,,,,,,
19,271,2.31E-05,0.000765474,0.004227196,,,,,,
20,276,2.31E-05,0.000765474,0.004227196,,,,,,
21,330,2.31E-05,0.000765474,0.004227196,,,,,,
22,336,2.31E-05,0.000765474,0.004227196,,,,,,
23,340,2.31E-05,0.000765474,0.004227196,,,,,,
24,343,2.31E-05,0.000765474,0.004227196,,,,,,
25,375,2.31E-05,0.000765474,0.004227196,,,,,,
26,379,2.31E-05,0.000765474,0.004227196,,,,,,
27,385,2.31E-05,0.000765474,0.004227196,,,,,,
28,432,2.31E-05,0.000765474,0.004227196,,,,,,
29,453,2.31E-05,0.000765474,0.004227196,,,,,,
30,460,2.31E-05,0.000765474,0.004227196,,,,,,
31,464,2.31E-05,0.000765474,0.004227196,,,,,,
32,510,2.31E-05,0.000765474,0.004227196,,,,,,
33,516,2.31E-05,0.000765474,0.004227196,,,,,,
34,531,2.31E-05,0.000765474,0.004227196,,,,,,
35,534,2.31E-05,0.000765474,0.004227196,,,,,,
36,571,2.31E-05,0.000765474,0.004227196,,,,,,
37,586,2.31E-05,0.000765474,0.004227196,,,,,,
38,588,2.31E-05,0.000765474,0.004227196,,,,,,
39,629,2.31E-05,0.000765474,0.004227196,,,,,,
40,631,2.31E-05,0.000765474,0.004227196,,,,,,
41,647,2.31E-05,0.000765474,0.004227196,,,,,,
42,690,2.31E-05,0.000765474,0.004227196,,,,,,
43,693,2.31E-05,0.000765474,0.004227196,,,,,,
44,706,2.31E-05,0.000765474,0.004227196,,,,,,
45,722,2.31E-05,0.000765474,0.004227196,,,,,,
46,770,2.31E-05,0.000765474,0.004227196,,,,,,
47,780,2.31E-05,0.000765474,0.004227196,,,,,,
48,850,2.31E-05,0.000765474,0.004227196,,,,,,
49,857,2.31E-05,0.000765474,0.004227196,,,,,,
50,980,2.31E-05,0.000765474,0.004227196,,,,,,
51,997,2.31E-05,0.000765474,0.004227196,,,,,,
52,1014,2.31E-05,0.000765474,0.004227196,,,,,,
53,1052,2.31E-05,0.000765474,0.004227196,,,,,,
54,1134,2.31E-05,0.000765474,0.004227196,,,,,,
55,1176,2.31E-05,0.000765474,0.004227196,,,,,,
56,1188,2.31E-05,0.000765474,0.004227196,,,,,,
57,1226,2.31E-05,0.000765474,0.004227196,,,,,,
58,1348,2.31E-05,0.000765474,0.004227196,,,,,,
59,1356,2.31E-05,0.000765474,0.004227196,,,,,,
60,1377,2.31E-05,0.000765474,0.004227196,,,,,,
61,1389,2.31E-05,0.000765474,0.004227196,,,,,,
62,1519,2.31E-05,0.000765474,0.004227196,,,,,,
63,1526,2.31E-05,0.000765474,0.004227196,,,,,,
64,1564,2.31E-05,0.000765474,0.004227196,,,,,,
65,1592,2.31E-05,0.000765474,0.004227196,,,,,,
66,1676,2.31E-05,0.000765474,0.004227196,,,,,,
67,1721,2.31E-05,0.000765474,0.004227196,,,,,,
68,1755,2.31E-05,0.000765474,0.004227196,,,,,,
69,1807,2.31E-05,0.000765474,0.004227196,,,,,,
70,1833,2.31E-05,0.000765474,0.004227196,,,,,,
71,1841,2.31E-05,0.000765474,0.004227196,,,,,,
72,1848,2.31E-05,0.000765474,0.004227196,,,,,,
