,agemid,low95,median,up95,,,,,
1,42,0.015464045,0.061124741,0.098621172,,0.470261595,1.858803376,2.999069842,(prop exposed per month)
2,47,0.015464045,0.061124741,0.098621172,,,,,
3,53,0.015464045,0.061124741,0.098621172,,,,,
4,59,0.015464045,0.061124741,0.098621172,,,,,
5,85,0.015464045,0.061124741,0.098621172,,,,,
6,96,0.015464045,0.061124741,0.098621172,,,,,
7,97,0.015464045,0.061124741,0.098621172,,,,,
8,109,0.015464045,0.061124741,0.098621172,,,,,
9,140,0.015464045,0.061124741,0.098621172,,,,,
10,146,0.015464045,0.061124741,0.098621172,,,,,
11,157,0.015464045,0.061124741,0.098621172,,,,,
12,159,0.015464045,0.061124741,0.098621172,,,,,
13,205,0.015464045,0.061124741,0.098621172,,,,,
14,214,0.015464045,0.061124741,0.098621172,,,,,
15,216,0.015464045,0.061124741,0.098621172,,,,,
16,224,0.015464045,0.061124741,0.098621172,,,,,
17,256,0.015464045,0.061124741,0.098621172,,,,,
18,266,0.015464045,0.061124741,0.098621172,,,,,
19,271,0.015464045,0.061124741,0.098621172,,,,,
20,276,0.015464045,0.061124741,0.098621172,,,,,
21,328,0.015464045,0.061124741,0.098621172,,,,,
22,336,0.015464045,0.061124741,0.098621172,,,,,
23,338,0.015464045,0.061124741,0.098621172,,,,,
24,340,0.015464045,0.061124741,0.098621172,,,,,
25,364,0.015464045,0.061124741,0.098621172,,,,,
26,374,0.015464045,0.061124741,0.098621172,,,,,
27,375,0.015464045,0.061124741,0.098621172,,,,,
28,382,0.015464045,0.061124741,0.098621172,,,,,
29,432,0.015464045,0.061124741,0.098621172,,,,,
30,444,0.015464045,0.061124741,0.098621172,,,,,
31,453,0.015464045,0.061124741,0.098621172,,,,,
32,464,0.015464045,0.061124741,0.098621172,,,,,
33,510,0.015464045,0.061124741,0.098621172,,,,,
34,513,0.015464045,0.061124741,0.098621172,,,,,
35,528,0.015464045,0.061124741,0.098621172,,,,,
36,565,0.015464045,0.061124741,0.098621172,,,,,
37,580,0.015464045,0.061124741,0.098621172,,,,,
38,581,0.015464045,0.061124741,0.098621172,,,,,
39,587,0.015464045,0.061124741,0.098621172,,,,,
40,628,0.015464045,0.061124741,0.098621172,,,,,
41,629,0.015464045,0.061124741,0.098621172,,,,,
42,639,0.015464045,0.061124741,0.098621172,,,,,
43,644,0.015464045,0.061124741,0.098621172,,,,,
44,680,0.015464045,0.061124741,0.098621172,,,,,
45,686,0.015464045,0.061124741,0.098621172,,,,,
46,699,0.015464045,0.061124741,0.098621172,,,,,
47,715,0.015464045,0.061124741,0.098621172,,,,,
48,768,0.015464045,0.061124741,0.098621172,,,,,
49,780,0.015464045,0.061124741,0.098621172,,,,,
50,786,0.015464045,0.061124741,0.098621172,,,,,
51,850,0.015464045,0.061124741,0.098621172,,,,,
52,980,0.015464045,0.061124741,0.098621172,,,,,
53,997,0.015464045,0.061124741,0.098621172,,,,,
54,1014,0.015464045,0.061124741,0.098621172,,,,,
55,1052,0.015464045,0.061124741,0.098621172,,,,,
56,1134,0.015464045,0.061124741,0.098621172,,,,,
57,1176,0.015464045,0.061124741,0.098621172,,,,,
58,1188,0.015464045,0.061124741,0.098621172,,,,,
59,1226,0.015464045,0.061124741,0.098621172,,,,,
60,1348,0.015464045,0.061124741,0.098621172,,,,,
61,1356,0.015464045,0.061124741,0.098621172,,,,,
62,1377,0.015464045,0.061124741,0.098621172,,,,,
63,1389,0.015464045,0.061124741,0.098621172,,,,,
64,1519,0.015464045,0.061124741,0.098621172,,,,,
65,1526,0.015464045,0.061124741,0.098621172,,,,,
66,1564,0.015464045,0.061124741,0.098621172,,,,,
67,1592,0.015464045,0.061124741,0.098621172,,,,,
68,1676,0.015464045,0.061124741,0.098621172,,,,,
69,1721,0.015464045,0.061124741,0.098621172,,,,,
70,1755,0.015464045,0.061124741,0.098621172,,,,,
71,1806,0.015464045,0.061124741,0.098621172,,,,,
72,1823,0.015464045,0.061124741,0.098621172,,,,,
73,1841,0.015464045,0.061124741,0.098621172,,,,,
74,1848,0.015464045,0.061124741,0.098621172,,,,,
