,agemid,low95,median,up95,,,,,
1,42,0.00208466,0.002496885,0.00295222,,479.6944879,400.4990581,338.7281176,(duration of immunity in days)
2,47,0.00208466,0.002496885,0.00295222,,,,,
3,53,0.00208466,0.002496885,0.00295222,,,,,
4,59,0.00208466,0.002496885,0.00295222,,,,,
5,85,0.00208466,0.002496885,0.00295222,,,,,
6,96,0.00208466,0.002496885,0.00295222,,,,,
7,97,0.00208466,0.002496885,0.00295222,,,,,
8,109,0.00208466,0.002496885,0.00295222,,,,,
9,140,0.00208466,0.002496885,0.00295222,,,,,
10,146,0.00208466,0.002496885,0.00295222,,,,,
11,157,0.00208466,0.002496885,0.00295222,,,,,
12,159,0.00208466,0.002496885,0.00295222,,,,,
13,205,0.00208466,0.002496885,0.00295222,,,,,
14,214,0.00208466,0.002496885,0.00295222,,,,,
15,216,0.00208466,0.002496885,0.00295222,,,,,
16,224,0.00208466,0.002496885,0.00295222,,,,,
17,256,0.00208466,0.002496885,0.00295222,,,,,
18,266,0.00208466,0.002496885,0.00295222,,,,,
19,271,0.00208466,0.002496885,0.00295222,,,,,
20,276,0.00208466,0.002496885,0.00295222,,,,,
21,328,0.00208466,0.002496885,0.00295222,,,,,
22,336,0.00208466,0.002496885,0.00295222,,,,,
23,338,0.00208466,0.002496885,0.00295222,,,,,
24,340,0.00208466,0.002496885,0.00295222,,,,,
25,364,0.00208466,0.002496885,0.00295222,,,,,
26,374,0.00208466,0.002496885,0.00295222,,,,,
27,375,0.00208466,0.002496885,0.00295222,,,,,
28,382,0.00208466,0.002496885,0.00295222,,,,,
29,432,0.00208466,0.002496885,0.00295222,,,,,
30,444,0.00208466,0.002496885,0.00295222,,,,,
31,453,0.00208466,0.002496885,0.00295222,,,,,
32,464,0.00208466,0.002496885,0.00295222,,,,,
33,510,0.00208466,0.002496885,0.00295222,,,,,
34,513,0.00208466,0.002496885,0.00295222,,,,,
35,528,0.00208466,0.002496885,0.00295222,,,,,
36,565,0.00208466,0.002496885,0.00295222,,,,,
37,580,0.00208466,0.002496885,0.00295222,,,,,
38,581,0.00208466,0.002496885,0.00295222,,,,,
39,587,0.00208466,0.002496885,0.00295222,,,,,
40,628,0.00208466,0.002496885,0.00295222,,,,,
41,629,0.00208466,0.002496885,0.00295222,,,,,
42,639,0.00208466,0.002496885,0.00295222,,,,,
43,644,0.00208466,0.002496885,0.00295222,,,,,
44,680,0.00208466,0.002496885,0.00295222,,,,,
45,686,0.00208466,0.002496885,0.00295222,,,,,
46,699,0.00208466,0.002496885,0.00295222,,,,,
47,715,0.00208466,0.002496885,0.00295222,,,,,
48,768,0.00208466,0.002496885,0.00295222,,,,,
49,780,0.00208466,0.002496885,0.00295222,,,,,
50,786,0.00208466,0.002496885,0.00295222,,,,,
51,850,0.00208466,0.002496885,0.00295222,,,,,
52,980,0.00208466,0.002496885,0.00295222,,,,,
53,997,0.00208466,0.002496885,0.00295222,,,,,
54,1014,0.00208466,0.002496885,0.00295222,,,,,
55,1052,0.00208466,0.002496885,0.00295222,,,,,
56,1134,0.00208466,0.002496885,0.00295222,,,,,
57,1176,0.00208466,0.002496885,0.00295222,,,,,
58,1188,0.00208466,0.002496885,0.00295222,,,,,
59,1226,0.00208466,0.002496885,0.00295222,,,,,
60,1348,0.00208466,0.002496885,0.00295222,,,,,
61,1356,0.00208466,0.002496885,0.00295222,,,,,
62,1377,0.00208466,0.002496885,0.00295222,,,,,
63,1389,0.00208466,0.002496885,0.00295222,,,,,
64,1519,0.00208466,0.002496885,0.00295222,,,,,
65,1526,0.00208466,0.002496885,0.00295222,,,,,
66,1564,0.00208466,0.002496885,0.00295222,,,,,
67,1592,0.00208466,0.002496885,0.00295222,,,,,
68,1676,0.00208466,0.002496885,0.00295222,,,,,
69,1721,0.00208466,0.002496885,0.00295222,,,,,
70,1755,0.00208466,0.002496885,0.00295222,,,,,
71,1806,0.00208466,0.002496885,0.00295222,,,,,
72,1823,0.00208466,0.002496885,0.00295222,,,,,
73,1841,0.00208466,0.002496885,0.00295222,,,,,
74,1848,0.00208466,0.002496885,0.00295222,,,,,
