,agemid,low95,median,up95,,,,,
1,42,6.85E-05,0.001380494,0.009364644,,0.00,0.04,0.28,(prop exposed per month)
2,47,6.85E-05,0.001380494,0.009364644,,,,,
3,53,6.85E-05,0.001380494,0.009364644,,,,,
4,59,6.85E-05,0.001380494,0.009364644,,,,,
5,85,6.85E-05,0.001380494,0.009364644,,,,,
6,96,6.85E-05,0.001380494,0.009364644,,,,,
7,97,6.85E-05,0.001380494,0.009364644,,,,,
8,109,6.85E-05,0.001380494,0.009364644,,,,,
9,140,6.85E-05,0.001380494,0.009364644,,,,,
10,146,6.85E-05,0.001380494,0.009364644,,,,,
11,157,6.85E-05,0.001380494,0.009364644,,,,,
12,159,6.85E-05,0.001380494,0.009364644,,,,,
13,205,6.85E-05,0.001380494,0.009364644,,,,,
14,214,6.85E-05,0.001380494,0.009364644,,,,,
15,216,6.85E-05,0.001380494,0.009364644,,,,,
16,224,6.85E-05,0.001380494,0.009364644,,,,,
17,256,6.85E-05,0.001380494,0.009364644,,,,,
18,266,6.85E-05,0.001380494,0.009364644,,,,,
19,271,6.85E-05,0.001380494,0.009364644,,,,,
20,276,6.85E-05,0.001380494,0.009364644,,,,,
21,328,6.85E-05,0.001380494,0.009364644,,,,,
22,336,6.85E-05,0.001380494,0.009364644,,,,,
23,338,6.85E-05,0.001380494,0.009364644,,,,,
24,340,6.85E-05,0.001380494,0.009364644,,,,,
25,364,6.85E-05,0.001380494,0.009364644,,,,,
26,374,6.85E-05,0.001380494,0.009364644,,,,,
27,375,6.85E-05,0.001380494,0.009364644,,,,,
28,382,6.85E-05,0.001380494,0.009364644,,,,,
29,432,6.85E-05,0.001380494,0.009364644,,,,,
30,444,6.85E-05,0.001380494,0.009364644,,,,,
31,453,6.85E-05,0.001380494,0.009364644,,,,,
32,464,6.85E-05,0.001380494,0.009364644,,,,,
33,510,6.85E-05,0.001380494,0.009364644,,,,,
34,513,6.85E-05,0.001380494,0.009364644,,,,,
35,528,6.85E-05,0.001380494,0.009364644,,,,,
36,565,6.85E-05,0.001380494,0.009364644,,,,,
37,580,6.85E-05,0.001380494,0.009364644,,,,,
38,581,6.85E-05,0.001380494,0.009364644,,,,,
39,587,6.85E-05,0.001380494,0.009364644,,,,,
40,628,6.85E-05,0.001380494,0.009364644,,,,,
41,629,6.85E-05,0.001380494,0.009364644,,,,,
42,639,6.85E-05,0.001380494,0.009364644,,,,,
43,644,6.85E-05,0.001380494,0.009364644,,,,,
44,680,6.85E-05,0.001380494,0.009364644,,,,,
45,686,6.85E-05,0.001380494,0.009364644,,,,,
46,699,6.85E-05,0.001380494,0.009364644,,,,,
47,715,6.85E-05,0.001380494,0.009364644,,,,,
48,768,6.85E-05,0.001380494,0.009364644,,,,,
49,780,6.85E-05,0.001380494,0.009364644,,,,,
50,786,6.85E-05,0.001380494,0.009364644,,,,,
51,850,6.85E-05,0.001380494,0.009364644,,,,,
52,980,6.85E-05,0.001380494,0.009364644,,,,,
53,997,6.85E-05,0.001380494,0.009364644,,,,,
54,1014,6.85E-05,0.001380494,0.009364644,,,,,
55,1052,6.85E-05,0.001380494,0.009364644,,,,,
56,1134,6.85E-05,0.001380494,0.009364644,,,,,
57,1176,6.85E-05,0.001380494,0.009364644,,,,,
58,1188,6.85E-05,0.001380494,0.009364644,,,,,
59,1226,6.85E-05,0.001380494,0.009364644,,,,,
60,1348,6.85E-05,0.001380494,0.009364644,,,,,
61,1356,6.85E-05,0.001380494,0.009364644,,,,,
62,1377,6.85E-05,0.001380494,0.009364644,,,,,
63,1389,6.85E-05,0.001380494,0.009364644,,,,,
64,1519,6.85E-05,0.001380494,0.009364644,,,,,
65,1526,6.85E-05,0.001380494,0.009364644,,,,,
66,1564,6.85E-05,0.001380494,0.009364644,,,,,
67,1592,6.85E-05,0.001380494,0.009364644,,,,,
68,1676,6.85E-05,0.001380494,0.009364644,,,,,
69,1721,6.85E-05,0.001380494,0.009364644,,,,,
70,1755,6.85E-05,0.001380494,0.009364644,,,,,
71,1806,6.85E-05,0.001380494,0.009364644,,,,,
72,1823,6.85E-05,0.001380494,0.009364644,,,,,
73,1841,6.85E-05,0.001380494,0.009364644,,,,,
74,1848,6.85E-05,0.001380494,0.009364644,,,,,
