,agemid,low95,median,up95,,,,,
1,42,9.20E-05,0.001946081,0.010655014,,0.00,0.06,0.32,(prop exposed per month)
2,47,9.20E-05,0.001946081,0.010655014,,,,,
3,53,9.20E-05,0.001946081,0.010655014,,,,,
4,59,9.20E-05,0.001946081,0.010655014,,,,,
5,85,9.20E-05,0.001946081,0.010655014,,,,,
6,96,9.20E-05,0.001946081,0.010655014,,,,,
7,97,9.20E-05,0.001946081,0.010655014,,,,,
8,109,9.20E-05,0.001946081,0.010655014,,,,,
9,140,9.20E-05,0.001946081,0.010655014,,,,,
10,146,9.20E-05,0.001946081,0.010655014,,,,,
11,157,9.20E-05,0.001946081,0.010655014,,,,,
12,159,9.20E-05,0.001946081,0.010655014,,,,,
13,205,9.20E-05,0.001946081,0.010655014,,,,,
14,214,9.20E-05,0.001946081,0.010655014,,,,,
15,216,9.20E-05,0.001946081,0.010655014,,,,,
16,224,9.20E-05,0.001946081,0.010655014,,,,,
17,256,9.20E-05,0.001946081,0.010655014,,,,,
18,266,9.20E-05,0.001946081,0.010655014,,,,,
19,271,9.20E-05,0.001946081,0.010655014,,,,,
20,276,9.20E-05,0.001946081,0.010655014,,,,,
21,328,9.20E-05,0.001946081,0.010655014,,,,,
22,336,9.20E-05,0.001946081,0.010655014,,,,,
23,338,9.20E-05,0.001946081,0.010655014,,,,,
24,340,9.20E-05,0.001946081,0.010655014,,,,,
25,364,9.20E-05,0.001946081,0.010655014,,,,,
26,374,9.20E-05,0.001946081,0.010655014,,,,,
27,375,9.20E-05,0.001946081,0.010655014,,,,,
28,382,9.20E-05,0.001946081,0.010655014,,,,,
29,432,9.20E-05,0.001946081,0.010655014,,,,,
30,444,9.20E-05,0.001946081,0.010655014,,,,,
31,453,9.20E-05,0.001946081,0.010655014,,,,,
32,464,9.20E-05,0.001946081,0.010655014,,,,,
33,510,9.20E-05,0.001946081,0.010655014,,,,,
34,513,9.20E-05,0.001946081,0.010655014,,,,,
35,528,9.20E-05,0.001946081,0.010655014,,,,,
36,565,9.20E-05,0.001946081,0.010655014,,,,,
37,580,9.20E-05,0.001946081,0.010655014,,,,,
38,581,9.20E-05,0.001946081,0.010655014,,,,,
39,587,9.20E-05,0.001946081,0.010655014,,,,,
40,628,9.20E-05,0.001946081,0.010655014,,,,,
41,629,9.20E-05,0.001946081,0.010655014,,,,,
42,639,9.20E-05,0.001946081,0.010655014,,,,,
43,644,9.20E-05,0.001946081,0.010655014,,,,,
44,680,9.20E-05,0.001946081,0.010655014,,,,,
45,686,9.20E-05,0.001946081,0.010655014,,,,,
46,699,9.20E-05,0.001946081,0.010655014,,,,,
47,715,9.20E-05,0.001946081,0.010655014,,,,,
48,768,9.20E-05,0.001946081,0.010655014,,,,,
49,780,9.20E-05,0.001946081,0.010655014,,,,,
50,786,9.20E-05,0.001946081,0.010655014,,,,,
51,850,9.20E-05,0.001946081,0.010655014,,,,,
52,980,9.20E-05,0.001946081,0.010655014,,,,,
53,997,9.20E-05,0.001946081,0.010655014,,,,,
54,1014,9.20E-05,0.001946081,0.010655014,,,,,
55,1052,9.20E-05,0.001946081,0.010655014,,,,,
56,1134,9.20E-05,0.001946081,0.010655014,,,,,
57,1176,9.20E-05,0.001946081,0.010655014,,,,,
58,1188,9.20E-05,0.001946081,0.010655014,,,,,
59,1226,9.20E-05,0.001946081,0.010655014,,,,,
60,1348,9.20E-05,0.001946081,0.010655014,,,,,
61,1356,9.20E-05,0.001946081,0.010655014,,,,,
62,1377,9.20E-05,0.001946081,0.010655014,,,,,
63,1389,9.20E-05,0.001946081,0.010655014,,,,,
64,1519,9.20E-05,0.001946081,0.010655014,,,,,
65,1526,9.20E-05,0.001946081,0.010655014,,,,,
66,1564,9.20E-05,0.001946081,0.010655014,,,,,
67,1592,9.20E-05,0.001946081,0.010655014,,,,,
68,1676,9.20E-05,0.001946081,0.010655014,,,,,
69,1721,9.20E-05,0.001946081,0.010655014,,,,,
70,1755,9.20E-05,0.001946081,0.010655014,,,,,
71,1806,9.20E-05,0.001946081,0.010655014,,,,,
72,1823,9.20E-05,0.001946081,0.010655014,,,,,
73,1841,9.20E-05,0.001946081,0.010655014,,,,,
74,1848,9.20E-05,0.001946081,0.010655014,,,,,
