,agemid,low95,median,up95,,,,,
1,42,0.000913086,0.012638535,0.076137447,,0.027766954,0.384337855,2.315339767,(prop exposed per month)
2,47,0.000913086,0.012638535,0.076137447,,,,,
3,53,0.000913086,0.012638535,0.076137447,,,,,
4,59,0.000913086,0.012638535,0.076137447,,,,,
5,85,0.000913086,0.012638535,0.076137447,,,,,
6,96,0.000913086,0.012638535,0.076137447,,,,,
7,97,0.000913086,0.012638535,0.076137447,,,,,
8,109,0.000913086,0.012638535,0.076137447,,,,,
9,140,0.000913086,0.012638535,0.076137447,,,,,
10,146,0.000913086,0.012638535,0.076137447,,,,,
11,157,0.000913086,0.012638535,0.076137447,,,,,
12,159,0.000913086,0.012638535,0.076137447,,,,,
13,205,0.000913086,0.012638535,0.076137447,,,,,
14,214,0.000913086,0.012638535,0.076137447,,,,,
15,216,0.000913086,0.012638535,0.076137447,,,,,
16,224,0.000913086,0.012638535,0.076137447,,,,,
17,256,0.000913086,0.012638535,0.076137447,,,,,
18,266,0.000913086,0.012638535,0.076137447,,,,,
19,271,0.000913086,0.012638535,0.076137447,,,,,
20,276,0.000913086,0.012638535,0.076137447,,,,,
21,328,0.000913086,0.012638535,0.076137447,,,,,
22,336,0.000913086,0.012638535,0.076137447,,,,,
23,338,0.000913086,0.012638535,0.076137447,,,,,
24,340,0.000913086,0.012638535,0.076137447,,,,,
25,364,0.000913086,0.012638535,0.076137447,,,,,
26,374,0.000913086,0.012638535,0.076137447,,,,,
27,375,0.000913086,0.012638535,0.076137447,,,,,
28,382,0.000913086,0.012638535,0.076137447,,,,,
29,432,0.000913086,0.012638535,0.076137447,,,,,
30,444,0.000913086,0.012638535,0.076137447,,,,,
31,453,0.000913086,0.012638535,0.076137447,,,,,
32,464,0.000913086,0.012638535,0.076137447,,,,,
33,510,0.000913086,0.012638535,0.076137447,,,,,
34,513,0.000913086,0.012638535,0.076137447,,,,,
35,528,0.000913086,0.012638535,0.076137447,,,,,
36,565,0.000913086,0.012638535,0.076137447,,,,,
37,580,0.000913086,0.012638535,0.076137447,,,,,
38,581,0.000913086,0.012638535,0.076137447,,,,,
39,587,0.000913086,0.012638535,0.076137447,,,,,
40,628,0.000913086,0.012638535,0.076137447,,,,,
41,629,0.000913086,0.012638535,0.076137447,,,,,
42,639,0.000913086,0.012638535,0.076137447,,,,,
43,644,0.000913086,0.012638535,0.076137447,,,,,
44,680,0.000913086,0.012638535,0.076137447,,,,,
45,686,0.000913086,0.012638535,0.076137447,,,,,
46,699,0.000913086,0.012638535,0.076137447,,,,,
47,715,0.000913086,0.012638535,0.076137447,,,,,
48,768,0.000913086,0.012638535,0.076137447,,,,,
49,780,0.000913086,0.012638535,0.076137447,,,,,
50,786,0.000913086,0.012638535,0.076137447,,,,,
51,850,0.000913086,0.012638535,0.076137447,,,,,
52,980,0.000913086,0.012638535,0.076137447,,,,,
53,997,0.000913086,0.012638535,0.076137447,,,,,
54,1014,0.000913086,0.012638535,0.076137447,,,,,
55,1052,0.000913086,0.012638535,0.076137447,,,,,
56,1134,0.000913086,0.012638535,0.076137447,,,,,
57,1176,0.000913086,0.012638535,0.076137447,,,,,
58,1188,0.000913086,0.012638535,0.076137447,,,,,
59,1226,0.000913086,0.012638535,0.076137447,,,,,
60,1348,0.000913086,0.012638535,0.076137447,,,,,
61,1356,0.000913086,0.012638535,0.076137447,,,,,
62,1377,0.000913086,0.012638535,0.076137447,,,,,
63,1389,0.000913086,0.012638535,0.076137447,,,,,
64,1519,0.000913086,0.012638535,0.076137447,,,,,
65,1526,0.000913086,0.012638535,0.076137447,,,,,
66,1564,0.000913086,0.012638535,0.076137447,,,,,
67,1592,0.000913086,0.012638535,0.076137447,,,,,
68,1676,0.000913086,0.012638535,0.076137447,,,,,
69,1721,0.000913086,0.012638535,0.076137447,,,,,
70,1755,0.000913086,0.012638535,0.076137447,,,,,
71,1806,0.000913086,0.012638535,0.076137447,,,,,
72,1823,0.000913086,0.012638535,0.076137447,,,,,
73,1841,0.000913086,0.012638535,0.076137447,,,,,
74,1848,0.000913086,0.012638535,0.076137447,,,,,
