,agemid,low95,median,up95,,,,,
1,42,4.27E-05,0.001215829,0.005697031,,0.00,0.04,0.17,(prop exposed per month)
2,47,4.27E-05,0.001215829,0.005697031,,,,,
3,53,4.27E-05,0.001215829,0.005697031,,,,,
4,59,4.27E-05,0.001215829,0.005697031,,,,,
5,85,4.27E-05,0.001215829,0.005697031,,,,,
6,96,4.27E-05,0.001215829,0.005697031,,,,,
7,98,4.27E-05,0.001215829,0.005697031,,,,,
8,110,4.27E-05,0.001215829,0.005697031,,,,,
9,141,4.27E-05,0.001215829,0.005697031,,,,,
10,146,4.27E-05,0.001215829,0.005697031,,,,,
11,158,4.27E-05,0.001215829,0.005697031,,,,,
12,159,4.27E-05,0.001215829,0.005697031,,,,,
13,206,4.27E-05,0.001215829,0.005697031,,,,,
14,214,4.27E-05,0.001215829,0.005697031,,,,,
15,216,4.27E-05,0.001215829,0.005697031,,,,,
16,224,4.27E-05,0.001215829,0.005697031,,,,,
17,257,4.27E-05,0.001215829,0.005697031,,,,,
18,266,4.27E-05,0.001215829,0.005697031,,,,,
19,271,4.27E-05,0.001215829,0.005697031,,,,,
20,276,4.27E-05,0.001215829,0.005697031,,,,,
21,330,4.27E-05,0.001215829,0.005697031,,,,,
22,336,4.27E-05,0.001215829,0.005697031,,,,,
23,340,4.27E-05,0.001215829,0.005697031,,,,,
24,343,4.27E-05,0.001215829,0.005697031,,,,,
25,375,4.27E-05,0.001215829,0.005697031,,,,,
26,379,4.27E-05,0.001215829,0.005697031,,,,,
27,385,4.27E-05,0.001215829,0.005697031,,,,,
28,432,4.27E-05,0.001215829,0.005697031,,,,,
29,453,4.27E-05,0.001215829,0.005697031,,,,,
30,460,4.27E-05,0.001215829,0.005697031,,,,,
31,464,4.27E-05,0.001215829,0.005697031,,,,,
32,510,4.27E-05,0.001215829,0.005697031,,,,,
33,516,4.27E-05,0.001215829,0.005697031,,,,,
34,531,4.27E-05,0.001215829,0.005697031,,,,,
35,534,4.27E-05,0.001215829,0.005697031,,,,,
36,571,4.27E-05,0.001215829,0.005697031,,,,,
37,586,4.27E-05,0.001215829,0.005697031,,,,,
38,588,4.27E-05,0.001215829,0.005697031,,,,,
39,629,4.27E-05,0.001215829,0.005697031,,,,,
40,631,4.27E-05,0.001215829,0.005697031,,,,,
41,647,4.27E-05,0.001215829,0.005697031,,,,,
42,690,4.27E-05,0.001215829,0.005697031,,,,,
43,693,4.27E-05,0.001215829,0.005697031,,,,,
44,706,4.27E-05,0.001215829,0.005697031,,,,,
45,722,4.27E-05,0.001215829,0.005697031,,,,,
46,770,4.27E-05,0.001215829,0.005697031,,,,,
47,780,4.27E-05,0.001215829,0.005697031,,,,,
48,850,4.27E-05,0.001215829,0.005697031,,,,,
49,857,4.27E-05,0.001215829,0.005697031,,,,,
50,980,4.27E-05,0.001215829,0.005697031,,,,,
51,997,4.27E-05,0.001215829,0.005697031,,,,,
52,1014,4.27E-05,0.001215829,0.005697031,,,,,
53,1052,4.27E-05,0.001215829,0.005697031,,,,,
54,1134,4.27E-05,0.001215829,0.005697031,,,,,
55,1176,4.27E-05,0.001215829,0.005697031,,,,,
56,1188,4.27E-05,0.001215829,0.005697031,,,,,
57,1226,4.27E-05,0.001215829,0.005697031,,,,,
58,1348,4.27E-05,0.001215829,0.005697031,,,,,
59,1356,4.27E-05,0.001215829,0.005697031,,,,,
60,1377,4.27E-05,0.001215829,0.005697031,,,,,
61,1389,4.27E-05,0.001215829,0.005697031,,,,,
62,1519,4.27E-05,0.001215829,0.005697031,,,,,
63,1526,4.27E-05,0.001215829,0.005697031,,,,,
64,1564,4.27E-05,0.001215829,0.005697031,,,,,
65,1592,4.27E-05,0.001215829,0.005697031,,,,,
66,1676,4.27E-05,0.001215829,0.005697031,,,,,
67,1721,4.27E-05,0.001215829,0.005697031,,,,,
68,1755,4.27E-05,0.001215829,0.005697031,,,,,
69,1807,4.27E-05,0.001215829,0.005697031,,,,,
70,1833,4.27E-05,0.001215829,0.005697031,,,,,
71,1841,4.27E-05,0.001215829,0.005697031,,,,,
72,1848,4.27E-05,0.001215829,0.005697031,,,,,
