,agemid,low95,median,up95
1,42,0.228386623,3.015191923,9.401712956
2,47,0.228386623,3.015191923,9.401712956
3,53,0.228386623,3.015191923,9.401712956
4,59,0.228386623,3.015191923,9.401712956
5,85,0.228386623,3.015191923,9.401712956
6,96,0.228386623,3.015191923,9.401712956
7,98,0.228386623,3.015191923,9.401712956
8,110,0.228386623,3.015191923,9.401712956
9,141,0.228386623,3.015191923,9.401712956
10,146,0.228386623,3.015191923,9.401712956
11,158,0.228386623,3.015191923,9.401712956
12,159,0.228386623,3.015191923,9.401712956
13,206,0.228386623,3.015191923,9.401712956
14,214,0.228386623,3.015191923,9.401712956
15,216,0.228386623,3.015191923,9.401712956
16,224,0.228386623,3.015191923,9.401712956
17,257,0.228386623,3.015191923,9.401712956
18,266,0.228386623,3.015191923,9.401712956
19,271,0.228386623,3.015191923,9.401712956
20,276,0.228386623,3.015191923,9.401712956
21,330,0.228386623,3.015191923,9.401712956
22,336,0.228386623,3.015191923,9.401712956
23,340,0.228386623,3.015191923,9.401712956
24,343,0.228386623,3.015191923,9.401712956
25,375,0.228386623,3.015191923,9.401712956
26,379,0.228386623,3.015191923,9.401712956
27,385,0.228386623,3.015191923,9.401712956
28,432,0.228386623,3.015191923,9.401712956
29,453,0.228386623,3.015191923,9.401712956
30,460,0.228386623,3.015191923,9.401712956
31,464,0.228386623,3.015191923,9.401712956
32,510,0.228386623,3.015191923,9.401712956
33,516,0.228386623,3.015191923,9.401712956
34,531,0.228386623,3.015191923,9.401712956
35,534,0.228386623,3.015191923,9.401712956
36,571,0.228386623,3.015191923,9.401712956
37,586,0.228386623,3.015191923,9.401712956
38,588,0.228386623,3.015191923,9.401712956
39,629,0.228386623,3.015191923,9.401712956
40,631,0.228386623,3.015191923,9.401712956
41,647,0.228386623,3.015191923,9.401712956
42,690,0.228386623,3.015191923,9.401712956
43,693,0.228386623,3.015191923,9.401712956
44,706,0.228386623,3.015191923,9.401712956
45,722,0.228386623,3.015191923,9.401712956
46,770,0.228386623,3.015191923,9.401712956
47,780,0.228386623,3.015191923,9.401712956
48,850,0.228386623,3.015191923,9.401712956
49,857,0.228386623,3.015191923,9.401712956
50,980,0.228386623,3.015191923,9.401712956
51,997,0.228386623,3.015191923,9.401712956
52,1014,0.228386623,3.015191923,9.401712956
53,1052,0.228386623,3.015191923,9.401712956
54,1134,0.228386623,3.015191923,9.401712956
55,1176,0.228386623,3.015191923,9.401712956
56,1188,0.228386623,3.015191923,9.401712956
57,1226,0.228386623,3.015191923,9.401712956
58,1348,0.228386623,3.015191923,9.401712956
59,1356,0.228386623,3.015191923,9.401712956
60,1377,0.228386623,3.015191923,9.401712956
61,1389,0.228386623,3.015191923,9.401712956
62,1519,0.228386623,3.015191923,9.401712956
63,1526,0.228386623,3.015191923,9.401712956
64,1564,0.228386623,3.015191923,9.401712956
65,1592,0.228386623,3.015191923,9.401712956
66,1676,0.228386623,3.015191923,9.401712956
67,1721,0.228386623,3.015191923,9.401712956
68,1755,0.228386623,3.015191923,9.401712956
69,1807,0.228386623,3.015191923,9.401712956
70,1833,0.228386623,3.015191923,9.401712956
71,1841,0.228386623,3.015191923,9.401712956
72,1848,0.228386623,3.015191923,9.401712956
