,agemid,low95,median,up95,,,,,
1,42,0.002448484,0.003172708,0.005237501,,408.4160226,315.1881473,190.9307391,(duration of immunity in days)
2,47,0.002448484,0.003172708,0.005237501,,,,,
3,53,0.002448484,0.003172708,0.005237501,,,,,
4,59,0.002448484,0.003172708,0.005237501,,,,,
5,85,0.002448484,0.003172708,0.005237501,,,,,
6,96,0.002448484,0.003172708,0.005237501,,,,,
7,98,0.002448484,0.003172708,0.005237501,,,,,
8,110,0.002448484,0.003172708,0.005237501,,,,,
9,141,0.002448484,0.003172708,0.005237501,,,,,
10,146,0.002448484,0.003172708,0.005237501,,,,,
11,158,0.002448484,0.003172708,0.005237501,,,,,
12,159,0.002448484,0.003172708,0.005237501,,,,,
13,206,0.002448484,0.003172708,0.005237501,,,,,
14,214,0.002448484,0.003172708,0.005237501,,,,,
15,216,0.002448484,0.003172708,0.005237501,,,,,
16,224,0.002448484,0.003172708,0.005237501,,,,,
17,257,0.002448484,0.003172708,0.005237501,,,,,
18,266,0.002448484,0.003172708,0.005237501,,,,,
19,271,0.002448484,0.003172708,0.005237501,,,,,
20,276,0.002448484,0.003172708,0.005237501,,,,,
21,330,0.002448484,0.003172708,0.005237501,,,,,
22,336,0.002448484,0.003172708,0.005237501,,,,,
23,340,0.002448484,0.003172708,0.005237501,,,,,
24,343,0.002448484,0.003172708,0.005237501,,,,,
25,375,0.002448484,0.003172708,0.005237501,,,,,
26,379,0.002448484,0.003172708,0.005237501,,,,,
27,385,0.002448484,0.003172708,0.005237501,,,,,
28,432,0.002448484,0.003172708,0.005237501,,,,,
29,453,0.002448484,0.003172708,0.005237501,,,,,
30,460,0.002448484,0.003172708,0.005237501,,,,,
31,464,0.002448484,0.003172708,0.005237501,,,,,
32,510,0.002448484,0.003172708,0.005237501,,,,,
33,516,0.002448484,0.003172708,0.005237501,,,,,
34,531,0.002448484,0.003172708,0.005237501,,,,,
35,534,0.002448484,0.003172708,0.005237501,,,,,
36,571,0.002448484,0.003172708,0.005237501,,,,,
37,586,0.002448484,0.003172708,0.005237501,,,,,
38,588,0.002448484,0.003172708,0.005237501,,,,,
39,629,0.002448484,0.003172708,0.005237501,,,,,
40,631,0.002448484,0.003172708,0.005237501,,,,,
41,647,0.002448484,0.003172708,0.005237501,,,,,
42,690,0.002448484,0.003172708,0.005237501,,,,,
43,693,0.002448484,0.003172708,0.005237501,,,,,
44,706,0.002448484,0.003172708,0.005237501,,,,,
45,722,0.002448484,0.003172708,0.005237501,,,,,
46,770,0.002448484,0.003172708,0.005237501,,,,,
47,780,0.002448484,0.003172708,0.005237501,,,,,
48,850,0.002448484,0.003172708,0.005237501,,,,,
49,857,0.002448484,0.003172708,0.005237501,,,,,
50,980,0.002448484,0.003172708,0.005237501,,,,,
51,997,0.002448484,0.003172708,0.005237501,,,,,
52,1014,0.002448484,0.003172708,0.005237501,,,,,
53,1052,0.002448484,0.003172708,0.005237501,,,,,
54,1134,0.002448484,0.003172708,0.005237501,,,,,
55,1176,0.002448484,0.003172708,0.005237501,,,,,
56,1188,0.002448484,0.003172708,0.005237501,,,,,
57,1226,0.002448484,0.003172708,0.005237501,,,,,
58,1348,0.002448484,0.003172708,0.005237501,,,,,
59,1356,0.002448484,0.003172708,0.005237501,,,,,
60,1377,0.002448484,0.003172708,0.005237501,,,,,
61,1389,0.002448484,0.003172708,0.005237501,,,,,
62,1519,0.002448484,0.003172708,0.005237501,,,,,
63,1526,0.002448484,0.003172708,0.005237501,,,,,
64,1564,0.002448484,0.003172708,0.005237501,,,,,
65,1592,0.002448484,0.003172708,0.005237501,,,,,
66,1676,0.002448484,0.003172708,0.005237501,,,,,
67,1721,0.002448484,0.003172708,0.005237501,,,,,
68,1755,0.002448484,0.003172708,0.005237501,,,,,
69,1807,0.002448484,0.003172708,0.005237501,,,,,
70,1833,0.002448484,0.003172708,0.005237501,,,,,
71,1841,0.002448484,0.003172708,0.005237501,,,,,
72,1848,0.002448484,0.003172708,0.005237501,,,,,
