,agemid,low95,median,up95,,,,,
1,42,6.19E-05,0.001955877,0.016878084,,0.00,0.06,0.51,(prop exposed per month)
2,47,6.19E-05,0.001955877,0.016878084,,,,,
3,53,6.19E-05,0.001955877,0.016878084,,,,,
4,59,6.19E-05,0.001955877,0.016878084,,,,,
5,85,6.19E-05,0.001955877,0.016878084,,,,,
6,96,6.19E-05,0.001955877,0.016878084,,,,,
7,98,6.19E-05,0.001955877,0.016878084,,,,,
8,110,6.19E-05,0.001955877,0.016878084,,,,,
9,141,6.19E-05,0.001955877,0.016878084,,,,,
10,146,6.19E-05,0.001955877,0.016878084,,,,,
11,158,6.19E-05,0.001955877,0.016878084,,,,,
12,159,6.19E-05,0.001955877,0.016878084,,,,,
13,206,6.19E-05,0.001955877,0.016878084,,,,,
14,214,6.19E-05,0.001955877,0.016878084,,,,,
15,216,6.19E-05,0.001955877,0.016878084,,,,,
16,224,6.19E-05,0.001955877,0.016878084,,,,,
17,257,6.19E-05,0.001955877,0.016878084,,,,,
18,266,6.19E-05,0.001955877,0.016878084,,,,,
19,271,6.19E-05,0.001955877,0.016878084,,,,,
20,276,6.19E-05,0.001955877,0.016878084,,,,,
21,330,6.19E-05,0.001955877,0.016878084,,,,,
22,336,6.19E-05,0.001955877,0.016878084,,,,,
23,340,6.19E-05,0.001955877,0.016878084,,,,,
24,343,6.19E-05,0.001955877,0.016878084,,,,,
25,375,6.19E-05,0.001955877,0.016878084,,,,,
26,379,6.19E-05,0.001955877,0.016878084,,,,,
27,385,6.19E-05,0.001955877,0.016878084,,,,,
28,432,6.19E-05,0.001955877,0.016878084,,,,,
29,453,6.19E-05,0.001955877,0.016878084,,,,,
30,460,6.19E-05,0.001955877,0.016878084,,,,,
31,464,6.19E-05,0.001955877,0.016878084,,,,,
32,510,6.19E-05,0.001955877,0.016878084,,,,,
33,516,6.19E-05,0.001955877,0.016878084,,,,,
34,531,6.19E-05,0.001955877,0.016878084,,,,,
35,534,6.19E-05,0.001955877,0.016878084,,,,,
36,571,6.19E-05,0.001955877,0.016878084,,,,,
37,586,6.19E-05,0.001955877,0.016878084,,,,,
38,588,6.19E-05,0.001955877,0.016878084,,,,,
39,629,6.19E-05,0.001955877,0.016878084,,,,,
40,631,6.19E-05,0.001955877,0.016878084,,,,,
41,647,6.19E-05,0.001955877,0.016878084,,,,,
42,690,6.19E-05,0.001955877,0.016878084,,,,,
43,693,6.19E-05,0.001955877,0.016878084,,,,,
44,706,6.19E-05,0.001955877,0.016878084,,,,,
45,722,6.19E-05,0.001955877,0.016878084,,,,,
46,770,6.19E-05,0.001955877,0.016878084,,,,,
47,780,6.19E-05,0.001955877,0.016878084,,,,,
48,850,6.19E-05,0.001955877,0.016878084,,,,,
49,857,6.19E-05,0.001955877,0.016878084,,,,,
50,980,6.19E-05,0.001955877,0.016878084,,,,,
51,997,6.19E-05,0.001955877,0.016878084,,,,,
52,1014,6.19E-05,0.001955877,0.016878084,,,,,
53,1052,6.19E-05,0.001955877,0.016878084,,,,,
54,1134,6.19E-05,0.001955877,0.016878084,,,,,
55,1176,6.19E-05,0.001955877,0.016878084,,,,,
56,1188,6.19E-05,0.001955877,0.016878084,,,,,
57,1226,6.19E-05,0.001955877,0.016878084,,,,,
58,1348,6.19E-05,0.001955877,0.016878084,,,,,
59,1356,6.19E-05,0.001955877,0.016878084,,,,,
60,1377,6.19E-05,0.001955877,0.016878084,,,,,
61,1389,6.19E-05,0.001955877,0.016878084,,,,,
62,1519,6.19E-05,0.001955877,0.016878084,,,,,
63,1526,6.19E-05,0.001955877,0.016878084,,,,,
64,1564,6.19E-05,0.001955877,0.016878084,,,,,
65,1592,6.19E-05,0.001955877,0.016878084,,,,,
66,1676,6.19E-05,0.001955877,0.016878084,,,,,
67,1721,6.19E-05,0.001955877,0.016878084,,,,,
68,1755,6.19E-05,0.001955877,0.016878084,,,,,
69,1807,6.19E-05,0.001955877,0.016878084,,,,,
70,1833,6.19E-05,0.001955877,0.016878084,,,,,
71,1841,6.19E-05,0.001955877,0.016878084,,,,,
72,1848,6.19E-05,0.001955877,0.016878084,,,,,
