,agemid,low95,median,up95,,,,,
1,42,0.00014314,0.002973511,0.017585903,,0.004352878,0.090424468,0.534787305,(prop per month)
2,47,0.00014314,0.002973511,0.017585903,,,,,
3,53,0.00014314,0.002973511,0.017585903,,,,,
4,59,0.00014314,0.002973511,0.017585903,,,,,
5,85,0.00014314,0.002973511,0.017585903,,,,,
6,96,0.00014314,0.002973511,0.017585903,,,,,
7,98,0.00014314,0.002973511,0.017585903,,,,,
8,110,0.00014314,0.002973511,0.017585903,,,,,
9,141,0.00014314,0.002973511,0.017585903,,,,,
10,146,0.00014314,0.002973511,0.017585903,,,,,
11,158,0.00014314,0.002973511,0.017585903,,,,,
12,159,0.00014314,0.002973511,0.017585903,,,,,
13,206,0.00014314,0.002973511,0.017585903,,,,,
14,214,0.00014314,0.002973511,0.017585903,,,,,
15,216,0.00014314,0.002973511,0.017585903,,,,,
16,224,0.00014314,0.002973511,0.017585903,,,,,
17,257,0.00014314,0.002973511,0.017585903,,,,,
18,266,0.00014314,0.002973511,0.017585903,,,,,
19,271,0.00014314,0.002973511,0.017585903,,,,,
20,276,0.00014314,0.002973511,0.017585903,,,,,
21,330,0.00014314,0.002973511,0.017585903,,,,,
22,336,0.00014314,0.002973511,0.017585903,,,,,
23,340,0.00014314,0.002973511,0.017585903,,,,,
24,343,0.00014314,0.002973511,0.017585903,,,,,
25,375,0.00014314,0.002973511,0.017585903,,,,,
26,379,0.00014314,0.002973511,0.017585903,,,,,
27,385,0.00014314,0.002973511,0.017585903,,,,,
28,432,0.00014314,0.002973511,0.017585903,,,,,
29,453,0.00014314,0.002973511,0.017585903,,,,,
30,460,0.00014314,0.002973511,0.017585903,,,,,
31,464,0.00014314,0.002973511,0.017585903,,,,,
32,510,0.00014314,0.002973511,0.017585903,,,,,
33,516,0.00014314,0.002973511,0.017585903,,,,,
34,531,0.00014314,0.002973511,0.017585903,,,,,
35,534,0.00014314,0.002973511,0.017585903,,,,,
36,571,0.00014314,0.002973511,0.017585903,,,,,
37,586,0.00014314,0.002973511,0.017585903,,,,,
38,588,0.00014314,0.002973511,0.017585903,,,,,
39,629,0.00014314,0.002973511,0.017585903,,,,,
40,631,0.00014314,0.002973511,0.017585903,,,,,
41,647,0.00014314,0.002973511,0.017585903,,,,,
42,690,0.00014314,0.002973511,0.017585903,,,,,
43,693,0.00014314,0.002973511,0.017585903,,,,,
44,706,0.00014314,0.002973511,0.017585903,,,,,
45,722,0.00014314,0.002973511,0.017585903,,,,,
46,770,0.00014314,0.002973511,0.017585903,,,,,
47,780,0.00014314,0.002973511,0.017585903,,,,,
48,850,0.00014314,0.002973511,0.017585903,,,,,
49,857,0.00014314,0.002973511,0.017585903,,,,,
50,980,0.00014314,0.002973511,0.017585903,,,,,
51,997,0.00014314,0.002973511,0.017585903,,,,,
52,1014,0.00014314,0.002973511,0.017585903,,,,,
53,1052,0.00014314,0.002973511,0.017585903,,,,,
54,1134,0.00014314,0.002973511,0.017585903,,,,,
55,1176,0.00014314,0.002973511,0.017585903,,,,,
56,1188,0.00014314,0.002973511,0.017585903,,,,,
57,1226,0.00014314,0.002973511,0.017585903,,,,,
58,1348,0.00014314,0.002973511,0.017585903,,,,,
59,1356,0.00014314,0.002973511,0.017585903,,,,,
60,1377,0.00014314,0.002973511,0.017585903,,,,,
61,1389,0.00014314,0.002973511,0.017585903,,,,,
62,1519,0.00014314,0.002973511,0.017585903,,,,,
63,1526,0.00014314,0.002973511,0.017585903,,,,,
64,1564,0.00014314,0.002973511,0.017585903,,,,,
65,1592,0.00014314,0.002973511,0.017585903,,,,,
66,1676,0.00014314,0.002973511,0.017585903,,,,,
67,1721,0.00014314,0.002973511,0.017585903,,,,,
68,1755,0.00014314,0.002973511,0.017585903,,,,,
69,1807,0.00014314,0.002973511,0.017585903,,,,,
70,1833,0.00014314,0.002973511,0.017585903,,,,,
71,1841,0.00014314,0.002973511,0.017585903,,,,,
72,1848,0.00014314,0.002973511,0.017585903,,,,,
