,agemid,low95,median,up95,,,,,,
1,42,0.000667475,0.015206969,0.089191852,,,0.020297914,0.462443929,2.712324208,(prop exposed per month)
2,47,0.000667475,0.015206969,0.089191852,,,,,,
3,53,0.000667475,0.015206969,0.089191852,,,,,,
4,59,0.000667475,0.015206969,0.089191852,,,,,,
5,85,0.000667475,0.015206969,0.089191852,,,,,,
6,96,0.000667475,0.015206969,0.089191852,,,,,,
7,98,0.000667475,0.015206969,0.089191852,,,,,,
8,110,0.000667475,0.015206969,0.089191852,,,,,,
9,141,0.000667475,0.015206969,0.089191852,,,,,,
10,146,0.000667475,0.015206969,0.089191852,,,,,,
11,158,0.000667475,0.015206969,0.089191852,,,,,,
12,159,0.000667475,0.015206969,0.089191852,,,,,,
13,206,0.000667475,0.015206969,0.089191852,,,,,,
14,214,0.000667475,0.015206969,0.089191852,,,,,,
15,216,0.000667475,0.015206969,0.089191852,,,,,,
16,224,0.000667475,0.015206969,0.089191852,,,,,,
17,257,0.000667475,0.015206969,0.089191852,,,,,,
18,266,0.000667475,0.015206969,0.089191852,,,,,,
19,271,0.000667475,0.015206969,0.089191852,,,,,,
20,276,0.000667475,0.015206969,0.089191852,,,,,,
21,330,0.000667475,0.015206969,0.089191852,,,,,,
22,336,0.000667475,0.015206969,0.089191852,,,,,,
23,340,0.000667475,0.015206969,0.089191852,,,,,,
24,343,0.000667475,0.015206969,0.089191852,,,,,,
25,375,0.000667475,0.015206969,0.089191852,,,,,,
26,379,0.000667475,0.015206969,0.089191852,,,,,,
27,385,0.000667475,0.015206969,0.089191852,,,,,,
28,432,0.000667475,0.015206969,0.089191852,,,,,,
29,453,0.000667475,0.015206969,0.089191852,,,,,,
30,460,0.000667475,0.015206969,0.089191852,,,,,,
31,464,0.000667475,0.015206969,0.089191852,,,,,,
32,510,0.000667475,0.015206969,0.089191852,,,,,,
33,516,0.000667475,0.015206969,0.089191852,,,,,,
34,531,0.000667475,0.015206969,0.089191852,,,,,,
35,534,0.000667475,0.015206969,0.089191852,,,,,,
36,571,0.000667475,0.015206969,0.089191852,,,,,,
37,586,0.000667475,0.015206969,0.089191852,,,,,,
38,588,0.000667475,0.015206969,0.089191852,,,,,,
39,629,0.000667475,0.015206969,0.089191852,,,,,,
40,631,0.000667475,0.015206969,0.089191852,,,,,,
41,647,0.000667475,0.015206969,0.089191852,,,,,,
42,690,0.000667475,0.015206969,0.089191852,,,,,,
43,693,0.000667475,0.015206969,0.089191852,,,,,,
44,706,0.000667475,0.015206969,0.089191852,,,,,,
45,722,0.000667475,0.015206969,0.089191852,,,,,,
46,770,0.000667475,0.015206969,0.089191852,,,,,,
47,780,0.000667475,0.015206969,0.089191852,,,,,,
48,850,0.000667475,0.015206969,0.089191852,,,,,,
49,857,0.000667475,0.015206969,0.089191852,,,,,,
50,980,0.000667475,0.015206969,0.089191852,,,,,,
51,997,0.000667475,0.015206969,0.089191852,,,,,,
52,1014,0.000667475,0.015206969,0.089191852,,,,,,
53,1052,0.000667475,0.015206969,0.089191852,,,,,,
54,1134,0.000667475,0.015206969,0.089191852,,,,,,
55,1176,0.000667475,0.015206969,0.089191852,,,,,,
56,1188,0.000667475,0.015206969,0.089191852,,,,,,
57,1226,0.000667475,0.015206969,0.089191852,,,,,,
58,1348,0.000667475,0.015206969,0.089191852,,,,,,
59,1356,0.000667475,0.015206969,0.089191852,,,,,,
60,1377,0.000667475,0.015206969,0.089191852,,,,,,
61,1389,0.000667475,0.015206969,0.089191852,,,,,,
62,1519,0.000667475,0.015206969,0.089191852,,,,,,
63,1526,0.000667475,0.015206969,0.089191852,,,,,,
64,1564,0.000667475,0.015206969,0.089191852,,,,,,
65,1592,0.000667475,0.015206969,0.089191852,,,,,,
66,1676,0.000667475,0.015206969,0.089191852,,,,,,
67,1721,0.000667475,0.015206969,0.089191852,,,,,,
68,1755,0.000667475,0.015206969,0.089191852,,,,,,
69,1807,0.000667475,0.015206969,0.089191852,,,,,,
70,1833,0.000667475,0.015206969,0.089191852,,,,,,
71,1841,0.000667475,0.015206969,0.089191852,,,,,,
72,1848,0.000667475,0.015206969,0.089191852,,,,,,
