,agemid,low95,median,up95,,,,,
1,42,0.000104349,0.003872268,0.036894296,,0.31732415,11.77556585,112.1955545,(%/month)
2,47,0.000104349,0.003872268,0.036894296,,,,,
3,53,0.000104349,0.003872268,0.036894296,,,,,
4,59,0.000104349,0.003872268,0.036894296,,,,,
5,85,0.000104349,0.003872268,0.036894296,,,,,
6,96,0.000104349,0.003872268,0.036894296,,,,,
7,98,0.000104349,0.003872268,0.036894296,,,,,
8,110,0.000104349,0.003872268,0.036894296,,,,,
9,141,0.000104349,0.003872268,0.036894296,,,,,
10,146,0.000104349,0.003872268,0.036894296,,,,,
11,158,0.000104349,0.003872268,0.036894296,,,,,
12,159,0.000104349,0.003872268,0.036894296,,,,,
13,206,0.000104349,0.003872268,0.036894296,,,,,
14,214,0.000104349,0.003872268,0.036894296,,,,,
15,216,0.000104349,0.003872268,0.036894296,,,,,
16,224,0.000104349,0.003872268,0.036894296,,,,,
17,257,0.000104349,0.003872268,0.036894296,,,,,
18,266,0.000104349,0.003872268,0.036894296,,,,,
19,271,0.000104349,0.003872268,0.036894296,,,,,
20,276,0.000104349,0.003872268,0.036894296,,,,,
21,330,0.000104349,0.003872268,0.036894296,,,,,
22,336,0.000104349,0.003872268,0.036894296,,,,,
23,340,0.000104349,0.003872268,0.036894296,,,,,
24,343,0.000104349,0.003872268,0.036894296,,,,,
25,375,0.000104349,0.003872268,0.036894296,,,,,
26,379,0.000104349,0.003872268,0.036894296,,,,,
27,385,0.000104349,0.003872268,0.036894296,,,,,
28,432,0.000104349,0.003872268,0.036894296,,,,,
29,453,0.000104349,0.003872268,0.036894296,,,,,
30,460,0.000104349,0.003872268,0.036894296,,,,,
31,464,0.000104349,0.003872268,0.036894296,,,,,
32,510,0.000104349,0.003872268,0.036894296,,,,,
33,516,0.000104349,0.003872268,0.036894296,,,,,
34,531,0.000104349,0.003872268,0.036894296,,,,,
35,534,0.000104349,0.003872268,0.036894296,,,,,
36,571,0.000104349,0.003872268,0.036894296,,,,,
37,586,0.000104349,0.003872268,0.036894296,,,,,
38,588,0.000104349,0.003872268,0.036894296,,,,,
39,629,0.000104349,0.003872268,0.036894296,,,,,
40,631,0.000104349,0.003872268,0.036894296,,,,,
41,647,0.000104349,0.003872268,0.036894296,,,,,
42,690,0.000104349,0.003872268,0.036894296,,,,,
43,693,0.000104349,0.003872268,0.036894296,,,,,
44,706,0.000104349,0.003872268,0.036894296,,,,,
45,722,0.000104349,0.003872268,0.036894296,,,,,
46,770,0.000104349,0.003872268,0.036894296,,,,,
47,780,0.000104349,0.003872268,0.036894296,,,,,
48,850,0.000104349,0.003872268,0.036894296,,,,,
49,857,0.000104349,0.003872268,0.036894296,,,,,
50,980,0.000104349,0.003872268,0.036894296,,,,,
51,997,0.000104349,0.003872268,0.036894296,,,,,
52,1014,0.000104349,0.003872268,0.036894296,,,,,
53,1052,0.000104349,0.003872268,0.036894296,,,,,
54,1134,0.000104349,0.003872268,0.036894296,,,,,
55,1176,0.000104349,0.003872268,0.036894296,,,,,
56,1188,0.000104349,0.003872268,0.036894296,,,,,
57,1226,0.000104349,0.003872268,0.036894296,,,,,
58,1348,0.000104349,0.003872268,0.036894296,,,,,
59,1356,0.000104349,0.003872268,0.036894296,,,,,
60,1377,0.000104349,0.003872268,0.036894296,,,,,
61,1389,0.000104349,0.003872268,0.036894296,,,,,
62,1519,0.000104349,0.003872268,0.036894296,,,,,
63,1526,0.000104349,0.003872268,0.036894296,,,,,
64,1564,0.000104349,0.003872268,0.036894296,,,,,
65,1592,0.000104349,0.003872268,0.036894296,,,,,
66,1676,0.000104349,0.003872268,0.036894296,,,,,
67,1721,0.000104349,0.003872268,0.036894296,,,,,
68,1755,0.000104349,0.003872268,0.036894296,,,,,
69,1807,0.000104349,0.003872268,0.036894296,,,,,
70,1833,0.000104349,0.003872268,0.036894296,,,,,
71,1841,0.000104349,0.003872268,0.036894296,,,,,
72,1848,0.000104349,0.003872268,0.036894296,,,,,
