,agemid,low95,median,up95,,,,,
1,42,0.000153566,0.005167792,0.05284329,,0.466993562,15.71525469,160.6964456,(%/month)
2,47,0.000153566,0.005167792,0.05284329,,,,,
3,53,0.000153566,0.005167792,0.05284329,,,,,
4,59,0.000153566,0.005167792,0.05284329,,,,,
5,85,0.000153566,0.005167792,0.05284329,,,,,
6,96,0.000153566,0.005167792,0.05284329,,,,,
7,98,0.000153566,0.005167792,0.05284329,,,,,
8,110,0.000153566,0.005167792,0.05284329,,,,,
9,141,0.000153566,0.005167792,0.05284329,,,,,
10,146,0.000153566,0.005167792,0.05284329,,,,,
11,158,0.000153566,0.005167792,0.05284329,,,,,
12,159,0.000153566,0.005167792,0.05284329,,,,,
13,206,0.000153566,0.005167792,0.05284329,,,,,
14,214,0.000153566,0.005167792,0.05284329,,,,,
15,216,0.000153566,0.005167792,0.05284329,,,,,
16,224,0.000153566,0.005167792,0.05284329,,,,,
17,257,0.000153566,0.005167792,0.05284329,,,,,
18,266,0.000153566,0.005167792,0.05284329,,,,,
19,271,0.000153566,0.005167792,0.05284329,,,,,
20,276,0.000153566,0.005167792,0.05284329,,,,,
21,330,0.000153566,0.005167792,0.05284329,,,,,
22,336,0.000153566,0.005167792,0.05284329,,,,,
23,340,0.000153566,0.005167792,0.05284329,,,,,
24,343,0.000153566,0.005167792,0.05284329,,,,,
25,375,0.000153566,0.005167792,0.05284329,,,,,
26,379,0.000153566,0.005167792,0.05284329,,,,,
27,385,0.000153566,0.005167792,0.05284329,,,,,
28,432,0.000153566,0.005167792,0.05284329,,,,,
29,453,0.000153566,0.005167792,0.05284329,,,,,
30,460,0.000153566,0.005167792,0.05284329,,,,,
31,464,0.000153566,0.005167792,0.05284329,,,,,
32,510,0.000153566,0.005167792,0.05284329,,,,,
33,516,0.000153566,0.005167792,0.05284329,,,,,
34,531,0.000153566,0.005167792,0.05284329,,,,,
35,534,0.000153566,0.005167792,0.05284329,,,,,
36,571,0.000153566,0.005167792,0.05284329,,,,,
37,586,0.000153566,0.005167792,0.05284329,,,,,
38,588,0.000153566,0.005167792,0.05284329,,,,,
39,629,0.000153566,0.005167792,0.05284329,,,,,
40,631,0.000153566,0.005167792,0.05284329,,,,,
41,647,0.000153566,0.005167792,0.05284329,,,,,
42,690,0.000153566,0.005167792,0.05284329,,,,,
43,693,0.000153566,0.005167792,0.05284329,,,,,
44,706,0.000153566,0.005167792,0.05284329,,,,,
45,722,0.000153566,0.005167792,0.05284329,,,,,
46,770,0.000153566,0.005167792,0.05284329,,,,,
47,780,0.000153566,0.005167792,0.05284329,,,,,
48,850,0.000153566,0.005167792,0.05284329,,,,,
49,857,0.000153566,0.005167792,0.05284329,,,,,
50,980,0.000153566,0.005167792,0.05284329,,,,,
51,997,0.000153566,0.005167792,0.05284329,,,,,
52,1014,0.000153566,0.005167792,0.05284329,,,,,
53,1052,0.000153566,0.005167792,0.05284329,,,,,
54,1134,0.000153566,0.005167792,0.05284329,,,,,
55,1176,0.000153566,0.005167792,0.05284329,,,,,
56,1188,0.000153566,0.005167792,0.05284329,,,,,
57,1226,0.000153566,0.005167792,0.05284329,,,,,
58,1348,0.000153566,0.005167792,0.05284329,,,,,
59,1356,0.000153566,0.005167792,0.05284329,,,,,
60,1377,0.000153566,0.005167792,0.05284329,,,,,
61,1389,0.000153566,0.005167792,0.05284329,,,,,
62,1519,0.000153566,0.005167792,0.05284329,,,,,
63,1526,0.000153566,0.005167792,0.05284329,,,,,
64,1564,0.000153566,0.005167792,0.05284329,,,,,
65,1592,0.000153566,0.005167792,0.05284329,,,,,
66,1676,0.000153566,0.005167792,0.05284329,,,,,
67,1721,0.000153566,0.005167792,0.05284329,,,,,
68,1755,0.000153566,0.005167792,0.05284329,,,,,
69,1807,0.000153566,0.005167792,0.05284329,,,,,
70,1833,0.000153566,0.005167792,0.05284329,,,,,
71,1841,0.000153566,0.005167792,0.05284329,,,,,
72,1848,0.000153566,0.005167792,0.05284329,,,,,
