,agemid,low95,median,up95,,,,
1,37,0.00025848,0.001451062,0.004646662,,,,
2,41,0.00025848,0.001451062,0.004646662,,,,
3,53,0.00025848,0.001451062,0.004646662,,,,
4,57,0.00025848,0.001451062,0.004646662,,,,
5,59,0.00025848,0.001451062,0.004646662,,,,
6,82,0.00025848,0.001451062,0.004646662,,,,
7,85,0.00025848,0.001451062,0.004646662,,,,
8,94,0.000840419,0.004543133,0.032273684,,,,
9,97,0.000840419,0.004543133,0.032273684,,,,
10,100,0.000840419,0.004543133,0.032273684,,,,
11,102,0.000840419,0.004543133,0.032273684,,,,
12,106,0.000840419,0.004543133,0.032273684,,,,
13,110,0.000840419,0.004543133,0.032273684,,,,
14,137,0.000840419,0.004543133,0.032273684,,,,
15,140,0.000840419,0.004543133,0.032273684,,,,
16,142,0.000840419,0.004543133,0.032273684,,,,
17,150,0.000840419,0.004543133,0.032273684,,,,
18,155,0.000840419,0.004543133,0.032273684,,,,
19,158,0.000840419,0.004543133,0.032273684,,,,
20,159,0.000840419,0.004543133,0.032273684,,,,
21,196,0.00223454,0.012327338,0.09045663,,6 months,,
22,202,0.00223454,0.012327338,0.09045663,,,,
23,208,0.00223454,0.012327338,0.09045663,,,,
24,214,0.00223454,0.012327338,0.09045663,,,,
25,215,0.00223454,0.012327338,0.09045663,,,,
26,216,0.00223454,0.012327338,0.09045663,,,,
27,226,0.00223454,0.012327338,0.09045663,,,,
28,257,0.00223454,0.012327338,0.09045663,,,,
29,258,0.00223454,0.012327338,0.09045663,,,,
30,264,0.00223454,0.012327338,0.09045663,,,,
31,267,0.00223454,0.012327338,0.09045663,,,,
32,273,0.00223454,0.012327338,0.09045663,,,,
33,276,0.00166625,0.007993264,0.044700681,,,,
34,297,0.00166625,0.007993264,0.044700681,,,,
35,321,0.00166625,0.007993264,0.044700681,,,,
36,325,0.00166625,0.007993264,0.044700681,,,,
37,328,0.00166625,0.007993264,0.044700681,,,,
38,329,0.00166625,0.007993264,0.044700681,,,,
39,337,0.00166625,0.007993264,0.044700681,,,,
40,338,0.00166625,0.007993264,0.044700681,,,,
41,359,0.00166625,0.007993264,0.044700681,,,,
42,363,0.00166625,0.007993264,0.044700681,,Prop due to contacts,,Yearly increase
43,370,0.00046696,0.002991388,0.010940457,,0.514919975,,2.061515521
44,372,0.00046696,0.002991388,0.010940457,,,,
45,375,0.00046696,0.002991388,0.010940457,,,,
46,376,0.00046696,0.002991388,0.010940457,,,,
47,407,0.00046696,0.002991388,0.010940457,,,,
48,428,0.00046696,0.002991388,0.010940457,,,,
49,444,0.00046696,0.002991388,0.010940457,,,,
50,455,0.00046696,0.002991388,0.010940457,,,,
51,462,0.001243704,0.007042954,0.033789065,,,,
52,464,0.001243704,0.007042954,0.033789065,,,,
53,507,0.001243704,0.007042954,0.033789065,,,,
54,509,0.001243704,0.007042954,0.033789065,,,,
55,510,0.001243704,0.007042954,0.033789065,,,,
56,524,0.001243704,0.007042954,0.033789065,,,,
57,530,0.001243704,0.007042954,0.033789065,,,,
58,531,0.001243704,0.007042954,0.033789065,,,,
59,534,0.001243704,0.007042954,0.033789065,,,,
60,554,0.00295113,0.016274865,0.093085125,,0.24255356,,
61,555,0.00295113,0.016274865,0.093085125,,,,
62,573,0.00295113,0.016274865,0.093085125,,,,
63,574,0.00295113,0.016274865,0.093085125,,,,
64,585,0.00295113,0.016274865,0.093085125,,,,
65,586,0.00295113,0.016274865,0.093085125,,,,
66,588,0.00295113,0.016274865,0.093085125,,,,
67,626,0.00295113,0.016274865,0.093085125,,,,
68,627,0.00295113,0.016274865,0.093085125,,,,
69,629,0.00295113,0.016274865,0.093085125,,,,
70,632,0.00295113,0.016274865,0.093085125,,,,
