,agemid,low95,median,up95,,
1,37,0.001166452,0.005529833,0.042672552,,
2,41,0.001166452,0.005529833,0.042672552,,
3,53,0.001166452,0.005529833,0.042672552,,
4,57,0.001166452,0.005529833,0.042672552,,
5,59,0.001166452,0.005529833,0.042672552,,
6,82,0.001166452,0.005529833,0.042672552,,
7,85,0.001166452,0.005529833,0.042672552,,
8,94,0.00025848,0.001451062,0.004646662,,
9,97,0.00025848,0.001451062,0.004646662,,
10,100,0.00025848,0.001451062,0.004646662,,
11,102,0.00025848,0.001451062,0.004646662,,
12,106,0.00025848,0.001451062,0.004646662,,
13,110,0.00025848,0.001451062,0.004646662,,
14,137,0.00025848,0.001451062,0.004646662,,
15,140,0.00025848,0.001451062,0.004646662,,
16,142,0.00025848,0.001451062,0.004646662,,
17,150,0.00025848,0.001451062,0.004646662,,
18,155,0.00025848,0.001451062,0.004646662,,
19,158,0.00025848,0.001451062,0.004646662,,
20,159,0.00025848,0.001451062,0.004646662,,
21,196,0.000888051,0.004799205,0.032416152,,
22,202,0.000888051,0.004799205,0.032416152,,
23,208,0.000888051,0.004799205,0.032416152,,
24,214,0.000888051,0.004799205,0.032416152,,
25,215,0.000888051,0.004799205,0.032416152,,
26,216,0.000888051,0.004799205,0.032416152,,
27,226,0.000888051,0.004799205,0.032416152,,
28,257,0.000888051,0.004799205,0.032416152,,
29,258,0.000888051,0.004799205,0.032416152,,
30,264,0.000888051,0.004799205,0.032416152,,
31,267,0.000888051,0.004799205,0.032416152,,
32,273,0.000888051,0.004799205,0.032416152,,
33,276,0.001491101,0.009952343,0.089018429,,
34,297,0.001491101,0.009952343,0.089018429,,
35,321,0.001491101,0.009952343,0.089018429,,
36,325,0.001491101,0.009952343,0.089018429,,
37,328,0.001491101,0.009952343,0.089018429,,
38,329,0.001491101,0.009952343,0.089018429,,
39,337,0.001491101,0.009952343,0.089018429,,
40,338,0.001491101,0.009952343,0.089018429,,
41,359,0.001491101,0.009952343,0.089018429,,
42,363,0.001491101,0.009952343,0.089018429,,Yearly increase
43,370,0.00127074,0.005681632,0.042791073,,1.027450935
44,372,0.00127074,0.005681632,0.042791073,,
45,375,0.00127074,0.005681632,0.042791073,,
46,376,0.00127074,0.005681632,0.042791073,,
47,407,0.00127074,0.005681632,0.042791073,,
48,428,0.00127074,0.005681632,0.042791073,,
49,444,0.00127074,0.005681632,0.042791073,,
50,455,0.00127074,0.005681632,0.042791073,,
51,462,0.000276909,0.001615401,0.004987439,,
52,464,0.000276909,0.001615401,0.004987439,,
53,507,0.000276909,0.001615401,0.004987439,,
54,509,0.000276909,0.001615401,0.004987439,,
55,510,0.000276909,0.001615401,0.004987439,,
56,524,0.000276909,0.001615401,0.004987439,,
57,530,0.000276909,0.001615401,0.004987439,,
58,531,0.000276909,0.001615401,0.004987439,,
59,534,0.000276909,0.001615401,0.004987439,,
60,554,0.000862274,0.004664743,0.032344918,,
61,555,0.000862274,0.004664743,0.032344918,,
62,573,0.000862274,0.004664743,0.032344918,,
63,574,0.000862274,0.004664743,0.032344918,,
64,585,0.000862274,0.004664743,0.032344918,,
65,586,0.000862274,0.004664743,0.032344918,,
66,588,0.000862274,0.004664743,0.032344918,,
67,626,0.000862274,0.004664743,0.032344918,,
68,627,0.000862274,0.004664743,0.032344918,,
69,629,0.000862274,0.004664743,0.032344918,,
70,632,0.000862274,0.004664743,0.032344918,,
71,644,0.001421256,0.009831192,0.088873349,,
72,653,0.001421256,0.009831192,0.088873349,,
73,654,0.001421256,0.009831192,0.088873349,,
74,680,0.001421256,0.009831192,0.088873349,,
75,693,0.001421256,0.009831192,0.088873349,,
76,713,0.001421256,0.009831192,0.088873349,,
77,715,0.001421256,0.009831192,0.088873349,,
78,728,0.001421256,0.009831192,0.088873349,,
79,749,0.00137983,0.005976393,0.042975764,,
80,760,0.00137983,0.005976393,0.042975764,,
81,772,0.00137983,0.005976393,0.042975764,,
82,825,0.000296294,0.001795768,0.005584929,,
83,837,0.000296294,0.001795768,0.005584929,,
84,867,0.000296294,0.001795768,0.005584929,,
85,884,0.000296294,0.001795768,0.005584929,,
86,967,0.001005915,0.005638481,0.03309409,,
