,agemid,low95,median,up95,,,,,,
1,37,0.000251878,0.001341484,0.004481749,,,,,,
2,41,0.000251878,0.001341484,0.004481749,,,,,,
3,53,0.000251878,0.001341484,0.004481749,,,,,,
4,57,0.000251878,0.001341484,0.004481749,,,,,,
5,59,0.000251878,0.001341484,0.004481749,,,,,,
6,82,0.000251878,0.001341484,0.004481749,,,,,,
7,85,0.000251878,0.001341484,0.004481749,,,,,,
8,94,0.000900211,0.004488063,0.051598284,,,,,,
9,97,0.000900211,0.004488063,0.051598284,,,,,,
10,100,0.000900211,0.004488063,0.051598284,,,,,,
11,102,0.000900211,0.004488063,0.051598284,,,,,,
12,106,0.000900211,0.004488063,0.051598284,,,,,,
13,110,0.000900211,0.004488063,0.051598284,,,,,,
14,137,0.000900211,0.004488063,0.051598284,,,,,,
15,140,0.000900211,0.004488063,0.051598284,,,,,,
16,142,0.000900211,0.004488063,0.051598284,,,,,,
17,150,0.000900211,0.004488063,0.051598284,,,,,,
18,155,0.000900211,0.004488063,0.051598284,,,,,,
19,158,0.000900211,0.004488063,0.051598284,,,,,,
20,159,0.000900211,0.004488063,0.051598284,,,,,,
21,196,0.002142669,0.011186974,0.086085704,6 months,,,,,547.875
22,202,0.002142669,0.011186974,0.086085704,,,,,,
23,208,0.002142669,0.011186974,0.086085704,,,,,,
24,214,0.002142669,0.011186974,0.086085704,,,,,,
25,215,0.002142669,0.011186974,0.086085704,,,,,,
26,216,0.002142669,0.011186974,0.086085704,,,,,,
27,226,0.002142669,0.011186974,0.086085704,,,,,,
28,257,0.002142669,0.011186974,0.086085704,,,,,,
29,258,0.002142669,0.011186974,0.086085704,,,,,,
30,264,0.002142669,0.011186974,0.086085704,,,,,,
31,267,0.002142669,0.011186974,0.086085704,,,,,,
32,273,0.002142669,0.011186974,0.086085704,,,,,,
33,276,0.001388857,0.00758396,0.045942526,,,,,,
34,297,0.001388857,0.00758396,0.045942526,,,,,,
35,321,0.001388857,0.00758396,0.045942526,,,,,,
36,325,0.001388857,0.00758396,0.045942526,,,,,,
37,328,0.001388857,0.00758396,0.045942526,,,,,,
38,329,0.001388857,0.00758396,0.045942526,,,,,,
39,337,0.001388857,0.00758396,0.045942526,,,,,,
40,338,0.001388857,0.00758396,0.045942526,,,,,,
41,359,0.001388857,0.00758396,0.045942526,,,,,,
42,363,0.001388857,0.00758396,0.045942526,,prop increase per year,,,,
43,370,0.000444738,0.00294649,0.010713076,,2.196440859,,,,
44,372,0.000444738,0.00294649,0.010713076,,,,,,
45,375,0.000444738,0.00294649,0.010713076,,,,,,
46,376,0.000444738,0.00294649,0.010713076,,,,,,
47,407,0.000444738,0.00294649,0.010713076,,,,,,
48,428,0.000444738,0.00294649,0.010713076,,,,,,
49,444,0.000444738,0.00294649,0.010713076,,,,,,
50,455,0.000444738,0.00294649,0.010713076,,,,,,
51,462,0.001363867,0.006829639,0.052166642,,,,,,
52,464,0.001363867,0.006829639,0.052166642,,,,,,
53,507,0.001363867,0.006829639,0.052166642,,,,,,
54,509,0.001363867,0.006829639,0.052166642,,,,,,
55,510,0.001363867,0.006829639,0.052166642,,,,,,
56,524,0.001363867,0.006829639,0.052166642,,,,,,
57,530,0.001363867,0.006829639,0.052166642,,,,,,
58,531,0.001363867,0.006829639,0.052166642,,,,,,
59,534,0.001363867,0.006829639,0.052166642,,,,Prop made by C,,
60,554,0.002911484,0.014820306,0.087641386,18 months,,,24.5159,,
61,555,0.002911484,0.014820306,0.087641386,,,,,,
62,573,0.002911484,0.014820306,0.087641386,,,,,,
63,574,0.002911484,0.014820306,0.087641386,,,,,,
64,585,0.002911484,0.014820306,0.087641386,,,,,,
65,586,0.002911484,0.014820306,0.087641386,,,,,,
66,588,0.002911484,0.014820306,0.087641386,,,,,,
67,626,0.002911484,0.014820306,0.087641386,,,,,,
68,627,0.002911484,0.014820306,0.087641386,,,,,,
69,629,0.002911484,0.014820306,0.087641386,,,,,,
70,632,0.002911484,0.014820306,0.087641386,,,,,,
71,644,0.001691155,0.010394702,0.048969958,,,,,,
72,653,0.001691155,0.010394702,0.048969958,,,,,,
73,654,0.001691155,0.010394702,0.048969958,,,,,,
74,680,0.001691155,0.010394702,0.048969958,,,,,,
75,693,0.001691155,0.010394702,0.048969958,,,,,,
76,713,0.001691155,0.010394702,0.048969958,,,,,,
77,715,0.001691155,0.010394702,0.048969958,,,,,,
78,728,0.001691155,0.010394702,0.048969958,,,,,,
79,749,0.000688312,0.005304267,0.022028667,,,,,,
80,760,0.000688312,0.005304267,0.022028667,,,,,,
81,772,0.000688312,0.005304267,0.022028667,,,,,,
82,825,0.00173311,0.010159251,0.055113237,,,,,,
83,837,0.00173311,0.010159251,0.055113237,,,,,,
84,867,0.00173311,0.010159251,0.055113237,,,,,,
85,884,0.00173311,0.010159251,0.055113237,,,,,,
86,967,0.002716557,0.01386178,0.087329509,,,,,,
87,984,0.002716557,0.01386178,0.087329509,,,,,,
88,1010,0.001605065,0.009609902,0.048199257,,,,,,
89,1013,0.001605065,0.009609902,0.048199257,,,,,,
90,1014,0.001605065,0.009609902,0.048199257,,,,,,
91,1042,0.001605065,0.009609902,0.048199257,,,,,,
92,1047,0.001605065,0.009609902,0.048199257,,,,,,
93,1061,0.001605065,0.009609902,0.048199257,,,,,,
94,1120,0.000750888,0.006175793,0.026199891,,,,,,
95,1141,0.000750888,0.006175793,0.026199891,,,,,,
96,1148,0.000750888,0.006175793,0.026199891,,,,,,
97,1158,0.000750888,0.006175793,0.026199891,,,,,,
98,1176,0.000750888,0.006175793,0.026199891,,,,,,
99,1202,0.001834719,0.011383764,0.055659608,,,,,,
100,1230,0.001834719,0.011383764,0.055659608,,,,,,
101,1242,0.001834719,0.011383764,0.055659608,,,,,,
102,1334,0.003673039,0.018245295,0.091954941,,,,,,
103,1340,0.003673039,0.018245295,0.091954941,,,,,,
104,1377,0.001976065,0.013421063,0.056572724,,,,,,
105,1389,0.001976065,0.013421063,0.056572724,,,,,,
106,1414,0.001976065,0.013421063,0.056572724,,,,,,
107,1450,0.001976065,0.013421063,0.056572724,,,,,,
108,1523,0.001287197,0.015975737,0.071091033,,,,,,
109,1526,0.001287197,0.015975737,0.071091033,,,,,,
110,1537,0.001287197,0.015975737,0.071091033,,,,,,
111,1541,0.001287197,0.015975737,0.071091033,,,,,,
112,1551,0.001287197,0.015975737,0.071091033,,,,,,
113,1564,0.002818742,0.022154665,0.083301904,,,,,,
114,1592,0.002818742,0.022154665,0.083301904,,,,,,
115,1667,0.004038253,0.02000744,0.094810945,,,,,,
116,1721,0.004038253,0.02000744,0.094810945,,,,,,
117,1755,0.002148941,0.015054666,0.060417634,,,,,,
118,1760,0.002148941,0.015054666,0.060417634,,,,,,
119,1806,0.002148941,0.015054666,0.060417634,,,,,,
120,1823,0.002148941,0.015054666,0.060417634,,,,,,
121,1841,0.000914799,0.008598232,0.037602356,,,,,,
122,1848,0.000914799,0.008598232,0.037602356,,,,,,
