,agemid,low95,median,up95,,,,,
1,37,3.06E-05,0.000791693,0.003776294,,0.000931,0.02,0.11,(prop exposed per month)
2,41,3.06E-05,0.000791693,0.003776294,,,,,
3,53,3.06E-05,0.000791693,0.003776294,,,,,
4,57,3.06E-05,0.000791693,0.003776294,,,,,
5,59,3.06E-05,0.000791693,0.003776294,,,,,
6,82,3.06E-05,0.000791693,0.003776294,,,,,
7,85,3.06E-05,0.000791693,0.003776294,,,,,
8,94,3.06E-05,0.000791693,0.003776294,,,,,
9,97,3.06E-05,0.000791693,0.003776294,,,,,
10,100,3.06E-05,0.000791693,0.003776294,,,,,
11,102,3.06E-05,0.000791693,0.003776294,,,,,
12,106,3.06E-05,0.000791693,0.003776294,,,,,
13,110,3.06E-05,0.000791693,0.003776294,,,,,
14,137,3.06E-05,0.000791693,0.003776294,,,,,
15,140,3.06E-05,0.000791693,0.003776294,,,,,
16,142,3.06E-05,0.000791693,0.003776294,,,,,
17,150,3.06E-05,0.000791693,0.003776294,,,,,
18,155,3.06E-05,0.000791693,0.003776294,,,,,
19,158,3.06E-05,0.000791693,0.003776294,,,,,
20,159,3.06E-05,0.000791693,0.003776294,,,,,
21,196,3.06E-05,0.000791693,0.003776294,,,,,
22,202,3.06E-05,0.000791693,0.003776294,,,,,
23,208,3.06E-05,0.000791693,0.003776294,,,,,
24,214,3.06E-05,0.000791693,0.003776294,,,,,
25,215,3.06E-05,0.000791693,0.003776294,,,,,
26,216,3.06E-05,0.000791693,0.003776294,,,,,
27,226,3.06E-05,0.000791693,0.003776294,,,,,
28,257,3.06E-05,0.000791693,0.003776294,,,,,
29,258,3.06E-05,0.000791693,0.003776294,,,,,
30,264,3.06E-05,0.000791693,0.003776294,,,,,
31,267,3.06E-05,0.000791693,0.003776294,,,,,
32,273,3.06E-05,0.000791693,0.003776294,,,,,
33,276,3.06E-05,0.000791693,0.003776294,,,,,
34,297,3.06E-05,0.000791693,0.003776294,,,,,
35,321,3.06E-05,0.000791693,0.003776294,,,,,
36,325,3.06E-05,0.000791693,0.003776294,,,,,
37,328,3.06E-05,0.000791693,0.003776294,,,,,
38,329,3.06E-05,0.000791693,0.003776294,,,,,
39,337,3.06E-05,0.000791693,0.003776294,,,,,
40,338,3.06E-05,0.000791693,0.003776294,,,,,
41,359,3.06E-05,0.000791693,0.003776294,,,,,
42,363,3.06E-05,0.000791693,0.003776294,,,,,
43,370,3.06E-05,0.000791693,0.003776294,,,,,
44,372,3.06E-05,0.000791693,0.003776294,,,,,
45,375,3.06E-05,0.000791693,0.003776294,,,,,
46,376,3.06E-05,0.000791693,0.003776294,,,,,
47,407,3.06E-05,0.000791693,0.003776294,,,,,
48,428,3.06E-05,0.000791693,0.003776294,,,,,
49,444,3.06E-05,0.000791693,0.003776294,,,,,
50,455,3.06E-05,0.000791693,0.003776294,,,,,
51,462,3.06E-05,0.000791693,0.003776294,,,,,
52,464,3.06E-05,0.000791693,0.003776294,,,,,
53,507,3.06E-05,0.000791693,0.003776294,,,,,
54,509,3.06E-05,0.000791693,0.003776294,,,,,
55,510,3.06E-05,0.000791693,0.003776294,,,,,
56,524,3.06E-05,0.000791693,0.003776294,,,,,
57,530,3.06E-05,0.000791693,0.003776294,,,,,
58,531,3.06E-05,0.000791693,0.003776294,,,,,
59,534,3.06E-05,0.000791693,0.003776294,,,,,
60,554,3.06E-05,0.000791693,0.003776294,,,,,
61,555,3.06E-05,0.000791693,0.003776294,,,,,
62,573,3.06E-05,0.000791693,0.003776294,,,,,
63,574,3.06E-05,0.000791693,0.003776294,,,,,
64,585,3.06E-05,0.000791693,0.003776294,,,,,
65,586,3.06E-05,0.000791693,0.003776294,,,,,
66,588,3.06E-05,0.000791693,0.003776294,,,,,
67,626,3.06E-05,0.000791693,0.003776294,,,,,
68,627,3.06E-05,0.000791693,0.003776294,,,,,
69,629,3.06E-05,0.000791693,0.003776294,,,,,
70,632,3.06E-05,0.000791693,0.003776294,,,,,
71,644,3.06E-05,0.000791693,0.003776294,,,,,
72,653,3.06E-05,0.000791693,0.003776294,,,,,
73,654,3.06E-05,0.000791693,0.003776294,,,,,
74,680,3.06E-05,0.000791693,0.003776294,,,,,
75,693,3.06E-05,0.000791693,0.003776294,,,,,
76,713,3.06E-05,0.000791693,0.003776294,,,,,
77,715,3.06E-05,0.000791693,0.003776294,,,,,
78,728,3.06E-05,0.000791693,0.003776294,,,,,
79,749,3.06E-05,0.000791693,0.003776294,,,,,
80,760,3.06E-05,0.000791693,0.003776294,,,,,
81,772,3.06E-05,0.000791693,0.003776294,,,,,
82,825,3.06E-05,0.000791693,0.003776294,,,,,
83,837,3.06E-05,0.000791693,0.003776294,,,,,
84,867,3.06E-05,0.000791693,0.003776294,,,,,
85,884,3.06E-05,0.000791693,0.003776294,,,,,
86,967,3.06E-05,0.000791693,0.003776294,,,,,
87,984,3.06E-05,0.000791693,0.003776294,,,,,
88,1010,3.06E-05,0.000791693,0.003776294,,,,,
89,1013,3.06E-05,0.000791693,0.003776294,,,,,
90,1014,3.06E-05,0.000791693,0.003776294,,,,,
91,1042,3.06E-05,0.000791693,0.003776294,,,,,
92,1047,3.06E-05,0.000791693,0.003776294,,,,,
93,1061,3.06E-05,0.000791693,0.003776294,,,,,
94,1120,3.06E-05,0.000791693,0.003776294,,,,,
95,1141,3.06E-05,0.000791693,0.003776294,,,,,
96,1148,3.06E-05,0.000791693,0.003776294,,,,,
97,1158,3.06E-05,0.000791693,0.003776294,,,,,
98,1176,3.06E-05,0.000791693,0.003776294,,,,,
99,1202,3.06E-05,0.000791693,0.003776294,,,,,
100,1230,3.06E-05,0.000791693,0.003776294,,,,,
101,1242,3.06E-05,0.000791693,0.003776294,,,,,
102,1334,3.06E-05,0.000791693,0.003776294,,,,,
103,1340,3.06E-05,0.000791693,0.003776294,,,,,
104,1377,3.06E-05,0.000791693,0.003776294,,,,,
105,1389,3.06E-05,0.000791693,0.003776294,,,,,
106,1414,3.06E-05,0.000791693,0.003776294,,,,,
107,1450,3.06E-05,0.000791693,0.003776294,,,,,
108,1523,3.06E-05,0.000791693,0.003776294,,,,,
109,1526,3.06E-05,0.000791693,0.003776294,,,,,
110,1537,3.06E-05,0.000791693,0.003776294,,,,,
111,1541,3.06E-05,0.000791693,0.003776294,,,,,
112,1551,3.06E-05,0.000791693,0.003776294,,,,,
113,1564,3.06E-05,0.000791693,0.003776294,,,,,
114,1592,3.06E-05,0.000791693,0.003776294,,,,,
115,1667,3.06E-05,0.000791693,0.003776294,,,,,
116,1721,3.06E-05,0.000791693,0.003776294,,,,,
117,1755,3.06E-05,0.000791693,0.003776294,,,,,
118,1760,3.06E-05,0.000791693,0.003776294,,,,,
119,1806,3.06E-05,0.000791693,0.003776294,,,,,
120,1823,3.06E-05,0.000791693,0.003776294,,,,,
121,1841,3.06E-05,0.000791693,0.003776294,,,,,
122,1848,3.06E-05,0.000791693,0.003776294,,,,,
