,agemid,low95,median,up95,,,,,
1,37,0.002618396,0.003236648,0.004571022,,381.9132679,308.961656,218.7694676,(duration of immunity in days)
2,41,0.002618396,0.003236648,0.004571022,,,,,
3,53,0.002618396,0.003236648,0.004571022,,,,,
4,57,0.002618396,0.003236648,0.004571022,,,,,
5,59,0.002618396,0.003236648,0.004571022,,,,,
6,82,0.002618396,0.003236648,0.004571022,,,,,
7,85,0.002618396,0.003236648,0.004571022,,,,,
8,94,0.002618396,0.003236648,0.004571022,,,,,
9,97,0.002618396,0.003236648,0.004571022,,,,,
10,100,0.002618396,0.003236648,0.004571022,,,,,
11,102,0.002618396,0.003236648,0.004571022,,,,,
12,106,0.002618396,0.003236648,0.004571022,,,,,
13,110,0.002618396,0.003236648,0.004571022,,,,,
14,137,0.002618396,0.003236648,0.004571022,,,,,
15,140,0.002618396,0.003236648,0.004571022,,,,,
16,142,0.002618396,0.003236648,0.004571022,,,,,
17,150,0.002618396,0.003236648,0.004571022,,,,,
18,155,0.002618396,0.003236648,0.004571022,,,,,
19,158,0.002618396,0.003236648,0.004571022,,,,,
20,159,0.002618396,0.003236648,0.004571022,,,,,
21,196,0.002618396,0.003236648,0.004571022,,,,,
22,202,0.002618396,0.003236648,0.004571022,,,,,
23,208,0.002618396,0.003236648,0.004571022,,,,,
24,214,0.002618396,0.003236648,0.004571022,,,,,
25,215,0.002618396,0.003236648,0.004571022,,,,,
26,216,0.002618396,0.003236648,0.004571022,,,,,
27,226,0.002618396,0.003236648,0.004571022,,,,,
28,257,0.002618396,0.003236648,0.004571022,,,,,
29,258,0.002618396,0.003236648,0.004571022,,,,,
30,264,0.002618396,0.003236648,0.004571022,,,,,
31,267,0.002618396,0.003236648,0.004571022,,,,,
32,273,0.002618396,0.003236648,0.004571022,,,,,
33,276,0.002618396,0.003236648,0.004571022,,,,,
34,297,0.002618396,0.003236648,0.004571022,,,,,
35,321,0.002618396,0.003236648,0.004571022,,,,,
36,325,0.002618396,0.003236648,0.004571022,,,,,
37,328,0.002618396,0.003236648,0.004571022,,,,,
38,329,0.002618396,0.003236648,0.004571022,,,,,
39,337,0.002618396,0.003236648,0.004571022,,,,,
40,338,0.002618396,0.003236648,0.004571022,,,,,
41,359,0.002618396,0.003236648,0.004571022,,,,,
42,363,0.002618396,0.003236648,0.004571022,,,,,
43,370,0.002618396,0.003236648,0.004571022,,,,,
44,372,0.002618396,0.003236648,0.004571022,,,,,
45,375,0.002618396,0.003236648,0.004571022,,,,,
46,376,0.002618396,0.003236648,0.004571022,,,,,
47,407,0.002618396,0.003236648,0.004571022,,,,,
48,428,0.002618396,0.003236648,0.004571022,,,,,
49,444,0.002618396,0.003236648,0.004571022,,,,,
50,455,0.002618396,0.003236648,0.004571022,,,,,
51,462,0.002618396,0.003236648,0.004571022,,,,,
52,464,0.002618396,0.003236648,0.004571022,,,,,
53,507,0.002618396,0.003236648,0.004571022,,,,,
54,509,0.002618396,0.003236648,0.004571022,,,,,
55,510,0.002618396,0.003236648,0.004571022,,,,,
56,524,0.002618396,0.003236648,0.004571022,,,,,
57,530,0.002618396,0.003236648,0.004571022,,,,,
58,531,0.002618396,0.003236648,0.004571022,,,,,
59,534,0.002618396,0.003236648,0.004571022,,,,,
60,554,0.002618396,0.003236648,0.004571022,,,,,
61,555,0.002618396,0.003236648,0.004571022,,,,,
62,573,0.002618396,0.003236648,0.004571022,,,,,
63,574,0.002618396,0.003236648,0.004571022,,,,,
64,585,0.002618396,0.003236648,0.004571022,,,,,
65,586,0.002618396,0.003236648,0.004571022,,,,,
66,588,0.002618396,0.003236648,0.004571022,,,,,
67,626,0.002618396,0.003236648,0.004571022,,,,,
68,627,0.002618396,0.003236648,0.004571022,,,,,
69,629,0.002618396,0.003236648,0.004571022,,,,,
70,632,0.002618396,0.003236648,0.004571022,,,,,
71,644,0.002618396,0.003236648,0.004571022,,,,,
72,653,0.002618396,0.003236648,0.004571022,,,,,
73,654,0.002618396,0.003236648,0.004571022,,,,,
74,680,0.002618396,0.003236648,0.004571022,,,,,
75,693,0.002618396,0.003236648,0.004571022,,,,,
76,713,0.002618396,0.003236648,0.004571022,,,,,
77,715,0.002618396,0.003236648,0.004571022,,,,,
78,728,0.002618396,0.003236648,0.004571022,,,,,
79,749,0.002618396,0.003236648,0.004571022,,,,,
80,760,0.002618396,0.003236648,0.004571022,,,,,
81,772,0.002618396,0.003236648,0.004571022,,,,,
82,825,0.002618396,0.003236648,0.004571022,,,,,
83,837,0.002618396,0.003236648,0.004571022,,,,,
84,867,0.002618396,0.003236648,0.004571022,,,,,
85,884,0.002618396,0.003236648,0.004571022,,,,,
86,967,0.002618396,0.003236648,0.004571022,,,,,
87,984,0.002618396,0.003236648,0.004571022,,,,,
88,1010,0.002618396,0.003236648,0.004571022,,,,,
89,1013,0.002618396,0.003236648,0.004571022,,,,,
90,1014,0.002618396,0.003236648,0.004571022,,,,,
91,1042,0.002618396,0.003236648,0.004571022,,,,,
92,1047,0.002618396,0.003236648,0.004571022,,,,,
93,1061,0.002618396,0.003236648,0.004571022,,,,,
94,1120,0.002618396,0.003236648,0.004571022,,,,,
95,1141,0.002618396,0.003236648,0.004571022,,,,,
96,1148,0.002618396,0.003236648,0.004571022,,,,,
97,1158,0.002618396,0.003236648,0.004571022,,,,,
98,1176,0.002618396,0.003236648,0.004571022,,,,,
99,1202,0.002618396,0.003236648,0.004571022,,,,,
100,1230,0.002618396,0.003236648,0.004571022,,,,,
101,1242,0.002618396,0.003236648,0.004571022,,,,,
102,1334,0.002618396,0.003236648,0.004571022,,,,,
103,1340,0.002618396,0.003236648,0.004571022,,,,,
104,1377,0.002618396,0.003236648,0.004571022,,,,,
105,1389,0.002618396,0.003236648,0.004571022,,,,,
106,1414,0.002618396,0.003236648,0.004571022,,,,,
107,1450,0.002618396,0.003236648,0.004571022,,,,,
108,1523,0.002618396,0.003236648,0.004571022,,,,,
109,1526,0.002618396,0.003236648,0.004571022,,,,,
110,1537,0.002618396,0.003236648,0.004571022,,,,,
111,1541,0.002618396,0.003236648,0.004571022,,,,,
112,1551,0.002618396,0.003236648,0.004571022,,,,,
113,1564,0.002618396,0.003236648,0.004571022,,,,,
114,1592,0.002618396,0.003236648,0.004571022,,,,,
115,1667,0.002618396,0.003236648,0.004571022,,,,,
116,1721,0.002618396,0.003236648,0.004571022,,,,,
117,1755,0.002618396,0.003236648,0.004571022,,,,,
