,agemid,low95,median,up95,,,,,
1,37,2.39E-05,0.000635708,0.003439439,,0.00,0.02,0.10,(prop exposed per month)
2,41,2.39E-05,0.000635708,0.003439439,,,,,
3,53,2.39E-05,0.000635708,0.003439439,,,,,
4,57,2.39E-05,0.000635708,0.003439439,,,,,
5,59,2.39E-05,0.000635708,0.003439439,,,,,
6,82,2.39E-05,0.000635708,0.003439439,,,,,
7,85,2.39E-05,0.000635708,0.003439439,,,,,
8,94,2.39E-05,0.000635708,0.003439439,,,,,
9,97,2.39E-05,0.000635708,0.003439439,,,,,
10,100,2.39E-05,0.000635708,0.003439439,,,,,
11,102,2.39E-05,0.000635708,0.003439439,,,,,
12,106,2.39E-05,0.000635708,0.003439439,,,,,
13,110,2.39E-05,0.000635708,0.003439439,,,,,
14,137,2.39E-05,0.000635708,0.003439439,,,,,
15,140,2.39E-05,0.000635708,0.003439439,,,,,
16,142,2.39E-05,0.000635708,0.003439439,,,,,
17,150,2.39E-05,0.000635708,0.003439439,,,,,
18,155,2.39E-05,0.000635708,0.003439439,,,,,
19,158,2.39E-05,0.000635708,0.003439439,,,,,
20,159,2.39E-05,0.000635708,0.003439439,,,,,
21,196,2.39E-05,0.000635708,0.003439439,,,,,
22,202,2.39E-05,0.000635708,0.003439439,,,,,
23,208,2.39E-05,0.000635708,0.003439439,,,,,
24,214,2.39E-05,0.000635708,0.003439439,,,,,
25,215,2.39E-05,0.000635708,0.003439439,,,,,
26,216,2.39E-05,0.000635708,0.003439439,,,,,
27,226,2.39E-05,0.000635708,0.003439439,,,,,
28,257,2.39E-05,0.000635708,0.003439439,,,,,
29,258,2.39E-05,0.000635708,0.003439439,,,,,
30,264,2.39E-05,0.000635708,0.003439439,,,,,
31,267,2.39E-05,0.000635708,0.003439439,,,,,
32,273,2.39E-05,0.000635708,0.003439439,,,,,
33,276,2.39E-05,0.000635708,0.003439439,,,,,
34,297,2.39E-05,0.000635708,0.003439439,,,,,
35,321,2.39E-05,0.000635708,0.003439439,,,,,
36,325,2.39E-05,0.000635708,0.003439439,,,,,
37,328,2.39E-05,0.000635708,0.003439439,,,,,
38,329,2.39E-05,0.000635708,0.003439439,,,,,
39,337,2.39E-05,0.000635708,0.003439439,,,,,
40,338,2.39E-05,0.000635708,0.003439439,,,,,
41,359,2.39E-05,0.000635708,0.003439439,,,,,
42,363,2.39E-05,0.000635708,0.003439439,,,,,
43,370,2.39E-05,0.000635708,0.003439439,,,,,
44,372,2.39E-05,0.000635708,0.003439439,,,,,
45,375,2.39E-05,0.000635708,0.003439439,,,,,
46,376,2.39E-05,0.000635708,0.003439439,,,,,
47,407,2.39E-05,0.000635708,0.003439439,,,,,
48,428,2.39E-05,0.000635708,0.003439439,,,,,
49,444,2.39E-05,0.000635708,0.003439439,,,,,
50,455,2.39E-05,0.000635708,0.003439439,,,,,
51,462,2.39E-05,0.000635708,0.003439439,,,,,
52,464,2.39E-05,0.000635708,0.003439439,,,,,
53,507,2.39E-05,0.000635708,0.003439439,,,,,
54,509,2.39E-05,0.000635708,0.003439439,,,,,
55,510,2.39E-05,0.000635708,0.003439439,,,,,
56,524,2.39E-05,0.000635708,0.003439439,,,,,
57,530,2.39E-05,0.000635708,0.003439439,,,,,
58,531,2.39E-05,0.000635708,0.003439439,,,,,
59,534,2.39E-05,0.000635708,0.003439439,,,,,
60,554,2.39E-05,0.000635708,0.003439439,,,,,
61,555,2.39E-05,0.000635708,0.003439439,,,,,
62,573,2.39E-05,0.000635708,0.003439439,,,,,
63,574,2.39E-05,0.000635708,0.003439439,,,,,
64,585,2.39E-05,0.000635708,0.003439439,,,,,
65,586,2.39E-05,0.000635708,0.003439439,,,,,
66,588,2.39E-05,0.000635708,0.003439439,,,,,
67,626,2.39E-05,0.000635708,0.003439439,,,,,
68,627,2.39E-05,0.000635708,0.003439439,,,,,
69,629,2.39E-05,0.000635708,0.003439439,,,,,
70,632,2.39E-05,0.000635708,0.003439439,,,,,
71,644,2.39E-05,0.000635708,0.003439439,,,,,
72,653,2.39E-05,0.000635708,0.003439439,,,,,
73,654,2.39E-05,0.000635708,0.003439439,,,,,
74,680,2.39E-05,0.000635708,0.003439439,,,,,
75,693,2.39E-05,0.000635708,0.003439439,,,,,
76,713,2.39E-05,0.000635708,0.003439439,,,,,
77,715,2.39E-05,0.000635708,0.003439439,,,,,
78,728,2.39E-05,0.000635708,0.003439439,,,,,
79,749,2.39E-05,0.000635708,0.003439439,,,,,
80,760,2.39E-05,0.000635708,0.003439439,,,,,
81,772,2.39E-05,0.000635708,0.003439439,,,,,
82,825,2.39E-05,0.000635708,0.003439439,,,,,
83,837,2.39E-05,0.000635708,0.003439439,,,,,
84,867,2.39E-05,0.000635708,0.003439439,,,,,
85,884,2.39E-05,0.000635708,0.003439439,,,,,
86,967,2.39E-05,0.000635708,0.003439439,,,,,
87,984,2.39E-05,0.000635708,0.003439439,,,,,
88,1010,2.39E-05,0.000635708,0.003439439,,,,,
89,1013,2.39E-05,0.000635708,0.003439439,,,,,
90,1014,2.39E-05,0.000635708,0.003439439,,,,,
91,1042,2.39E-05,0.000635708,0.003439439,,,,,
92,1047,2.39E-05,0.000635708,0.003439439,,,,,
93,1061,2.39E-05,0.000635708,0.003439439,,,,,
94,1120,2.39E-05,0.000635708,0.003439439,,,,,
95,1141,2.39E-05,0.000635708,0.003439439,,,,,
96,1148,2.39E-05,0.000635708,0.003439439,,,,,
97,1158,2.39E-05,0.000635708,0.003439439,,,,,
98,1176,2.39E-05,0.000635708,0.003439439,,,,,
99,1202,2.39E-05,0.000635708,0.003439439,,,,,
100,1230,2.39E-05,0.000635708,0.003439439,,,,,
101,1242,2.39E-05,0.000635708,0.003439439,,,,,
102,1334,2.39E-05,0.000635708,0.003439439,,,,,
103,1340,2.39E-05,0.000635708,0.003439439,,,,,
104,1377,2.39E-05,0.000635708,0.003439439,,,,,
105,1389,2.39E-05,0.000635708,0.003439439,,,,,
106,1414,2.39E-05,0.000635708,0.003439439,,,,,
107,1450,2.39E-05,0.000635708,0.003439439,,,,,
108,1523,2.39E-05,0.000635708,0.003439439,,,,,
109,1526,2.39E-05,0.000635708,0.003439439,,,,,
110,1537,2.39E-05,0.000635708,0.003439439,,,,,
111,1541,2.39E-05,0.000635708,0.003439439,,,,,
