,agemid,low95,median,up95
1,37,1.00E-12,1.00E-12,1.00E-12
2,41,9.78E-05,0.00064966,0.002077371
3,53,0.001521283,0.009216059,0.023736544
4,57,0.002354939,0.013889373,0.034057453
5,59,0.00283623,0.016467436,0.039239237
6,82,0.011249746,0.056071692,0.104970672
7,85,0.012711268,0.062184942,0.113675725
8,94,0.021688494,0.080938357,0.133711142
9,97,0.026574258,0.085386437,0.136364485
10,100,0.029730525,0.091345482,0.1398557
11,102,0.031310873,0.095210633,0.142430704
12,106,0.034562439,0.101782211,0.15038412
13,110,0.038391252,0.107706137,0.161791535
14,137,0.06453137,0.144286573,0.237672328
15,140,0.067193068,0.148947582,0.245308292
16,142,0.069380081,0.151899702,0.250085009
17,150,0.076536064,0.164665866,0.270611501
18,155,0.081714993,0.171053545,0.282151864
19,158,0.083030227,0.175540113,0.288941842
20,159,0.083420715,0.177053586,0.291186336
21,196,0.128523936,0.228141998,0.352653879
22,202,0.13517464,0.232224363,0.353465328
23,208,0.142306136,0.236947892,0.354300739
24,214,0.150517851,0.241583165,0.35721645
25,215,0.152035956,0.242491417,0.357727776
26,216,0.153164837,0.24381281,0.358244796
27,226,0.166885622,0.252717904,0.363803786
28,257,0.197458633,0.284750568,0.389379151
29,258,0.198454492,0.286227643,0.389704407
30,264,0.205384351,0.293318892,0.395227763
31,267,0.208075652,0.296531727,0.3972672
32,273,0.213290658,0.302402922,0.401494284
33,276,0.216423376,0.305057001,0.404882564
34,297,0.239721061,0.324088143,0.415286465
35,321,0.258108661,0.345834921,0.440177511
36,325,0.260753596,0.348678986,0.444892251
37,328,0.262739141,0.351020452,0.448289078
38,329,0.263414236,0.35211151,0.449471243
39,337,0.268336313,0.358518395,0.46069674
40,338,0.2691809,0.359423593,0.462590762
41,359,0.278345905,0.376757975,0.491448409
42,363,0.27963302,0.379904087,0.497785174
43,370,0.353219704,0.454338563,0.592744482
44,372,0.371600096,0.47335323,0.620173278
45,375,0.389746164,0.495409213,0.640302584
46,376,0.39549923,0.503637066,0.643993814
47,407,0.496420885,0.627384194,0.721037469
48,428,0.538101188,0.664175998,0.74495913
49,444,0.563452536,0.68588759,0.763367222
50,455,0.579732987,0.699518277,0.779874582
51,462,0.610562566,0.706945931,0.783121589
52,464,0.617897339,0.70877659,0.783324413
53,507,0.677946874,0.745269198,0.809762186
54,509,0.679512194,0.746386322,0.811312007
55,510,0.680291894,0.747228942,0.8123656
56,524,0.691350362,0.756913609,0.824331477
57,530,0.695467902,0.760810551,0.829803195
58,531,0.696202661,0.761304959,0.830518155
59,534,0.69769605,0.763517112,0.83261647
60,554,0.711219697,0.774501544,0.842339646
61,555,0.711595613,0.774715939,0.842382023
62,573,0.724735606,0.781964739,0.845710759
63,574,0.725331214,0.782323807,0.845810334
64,585,0.728660444,0.786672629,0.84764847
65,586,0.728943218,0.786981193,0.847735441
66,588,0.730149088,0.78749112,0.848398712
67,626,0.745349359,0.802776664,0.863970952
68,627,0.745890578,0.803129311,0.864919563
69,629,0.74698601,0.803875948,0.865854334
70,632,0.748039635,0.804887472,0.866936013
71,644,0.751327377,0.808199239,0.87139183
72,653,0.753437165,0.81000857,0.872551319
73,654,0.753712798,0.810172303,0.872680271
74,680,0.758100003,0.815996566,0.876231861
75,693,0.759703698,0.819400395,0.878094233
76,713,0.764044106,0.824726395,0.883561586
77,715,0.764502939,0.825237236,0.884099413
78,728,0.767514742,0.827930897,0.887244591
79,749,0.82342112,0.869608929,0.915248449
80,760,0.833490203,0.879517122,0.922008632
81,772,0.84373359,0.887550138,0.92878445
82,825,0.867731337,0.91075534,0.947496703
83,837,0.871437917,0.914946274,0.949568863
84,867,0.879787536,0.921674147,0.956008088
85,884,0.884791997,0.92514691,0.959214935
86,967,0.901156798,0.93757508,0.970069808
87,984,0.903823939,0.939775672,0.971851092
88,1010,0.905999852,0.942575969,0.974337695
89,1013,0.906475871,0.942727285,0.974538032
90,1014,0.906636496,0.942829431,0.974604814
91,1042,0.909828737,0.944669916,0.97519109
92,1047,0.910064708,0.944994085,0.975403443
93,1061,0.911616456,0.946085338,0.975987455
94,1120,0.936841081,0.963370759,0.982329691
95,1141,0.941506576,0.967291028,0.984877283
96,1148,0.942619856,0.968373989,0.985568586
97,1158,0.94419882,0.96977068,0.98669572
98,1176,0.947165804,0.971745311,0.988324673
99,1202,0.95065202,0.974122268,0.989889894
100,1230,0.95384257,0.976302912,0.990928149
101,1242,0.955197646,0.977033104,0.991577409
102,1334,0.962826033,0.981496189,0.994552293
103,1340,0.963186448,0.98175815,0.99467464
104,1377,0.965266664,0.983137799,0.99522342
105,1389,0.965871064,0.983434569,0.995372093
106,1414,0.967108655,0.984068132,0.995576176
107,1450,0.968611274,0.984952261,0.996046551
108,1523,0.978662065,0.990832548,0.997586471
109,1526,0.978827512,0.990933875,0.997673851
110,1537,0.979539691,0.991313786,0.997820535
111,1541,0.979760358,0.991445332,0.99787424
112,1551,0.980280977,0.991763812,0.998065434
113,1564,0.980713433,0.992176826,0.998158721
114,1592,0.982001573,0.99273375,0.998396392
115,1667,0.984922326,0.993959719,0.998821023
116,1721,0.986294481,0.994596127,0.999060679
117,1755,0.986726904,0.994921031,0.99913514
118,1760,0.986822244,0.994960381,0.999141782
119,1806,0.987805073,0.995330007,0.999231199
120,1823,0.988202691,0.99546543,0.999239123
121,1841,0.990385836,0.996480218,0.999328748
122,1848,0.990634191,0.996637588,0.999363541
