,agemid,low95,median,up95,,,,,,,
1,37,0.000265199,0.001746828,0.005431664,,,,,,,
2,41,0.000265199,0.001746828,0.005431664,,,,,,,
3,53,0.000265199,0.001746828,0.005431664,,,,,,,
4,57,0.000265199,0.001746828,0.005431664,,,,,,,
5,59,0.000265199,0.001746828,0.005431664,,,,,,,
6,82,0.000265199,0.001746828,0.005431664,,,,,,,
7,85,0.000265199,0.001746828,0.005431664,,,,,,,
8,94,0.003455639,0.026723079,0.096251921,,,,,,,
9,97,0.003455639,0.026723079,0.096251921,,,,,,,
10,100,0.003455639,0.026723079,0.096251921,,,,,,,
11,102,0.003455639,0.026723079,0.096251921,,,,,,,
12,106,0.003455639,0.026723079,0.096251921,,,,,,,
13,110,0.003455639,0.026723079,0.096251921,,,,,,,
14,137,0.003455639,0.026723079,0.096251921,,,,,,,
15,140,0.003455639,0.026723079,0.096251921,,,,,,,
16,142,0.003455639,0.026723079,0.096251921,,,,,,,
17,150,0.003455639,0.026723079,0.096251921,,,,,,,
18,155,0.003455639,0.026723079,0.096251921,,,,,,,
19,158,0.003455639,0.026723079,0.096251921,,,,,,,
20,159,0.003455639,0.026723079,0.096251921,,,,,,,
21,196,0.002932017,0.013919854,0.081642604,6 months,,,,,,
22,202,0.002932017,0.013919854,0.081642604,,,,,,,
23,208,0.002932017,0.013919854,0.081642604,,,,,,,
24,214,0.002932017,0.013919854,0.081642604,,,,,,,
25,215,0.002932017,0.013919854,0.081642604,,,,,,,
26,216,0.002932017,0.013919854,0.081642604,,,,,,,
27,226,0.002932017,0.013919854,0.081642604,,,,,,,
28,257,0.002932017,0.013919854,0.081642604,,,,,,,
29,258,0.002932017,0.013919854,0.081642604,,,,,,,
30,264,0.002932017,0.013919854,0.081642604,,,,,,,
31,267,0.002932017,0.013919854,0.081642604,,,,,,,
32,273,0.002932017,0.013919854,0.081642604,,,,,,,
33,276,0.001573044,0.006606969,0.019161675,,,,,,,
34,297,0.001573044,0.006606969,0.019161675,,,,,,,
35,321,0.001573044,0.006606969,0.019161675,,,,,,,
36,325,0.001573044,0.006606969,0.019161675,,,,,,,
37,328,0.001573044,0.006606969,0.019161675,,,,,,,
38,329,0.001573044,0.006606969,0.019161675,,,,,,,
39,337,0.001573044,0.006606969,0.019161675,,,,,,,
40,338,0.001573044,0.006606969,0.019161675,,,,,,,
41,359,0.001573044,0.006606969,0.019161675,,,,,,,
42,363,0.001573044,0.006606969,0.019161675,,C per month,Prop made up by C,,Increase per year,,
43,370,0.000464267,0.00384434,0.014169974,,0.06378534,0.54561043,,2.200754739,,
44,372,0.000464267,0.00384434,0.014169974,,,,,,,
45,375,0.000464267,0.00384434,0.014169974,,,,,,,
46,376,0.000464267,0.00384434,0.014169974,,,,,,,
47,407,0.000464267,0.00384434,0.014169974,,,,,,,
48,428,0.000464267,0.00384434,0.014169974,,,,,,,
49,444,0.000464267,0.00384434,0.014169974,,,,,,,
50,455,0.000464267,0.00384434,0.014169974,,,,,,,
51,462,0.005552471,0.029614444,0.097696918,,,,,,,
52,464,0.005552471,0.029614444,0.097696918,,,,,,,
53,507,0.005552471,0.029614444,0.097696918,,,,,,,
54,509,0.005552471,0.029614444,0.097696918,,,,,,,
55,510,0.005552471,0.029614444,0.097696918,,,,,,,
56,524,0.005552471,0.029614444,0.097696918,,,,,,,
57,530,0.005552471,0.029614444,0.097696918,,,,,,,
58,531,0.005552471,0.029614444,0.097696918,,,,,,,
59,534,0.005552471,0.029614444,0.097696918,,,,,C per month,,Prop of total FOI
60,554,0.003689012,0.018362924,0.086283138,,18 months ,0.004443069,,0.135113741,,0.241958715
61,555,0.003689012,0.018362924,0.086283138,,,,,,,
62,573,0.003689012,0.018362924,0.086283138,,,,,,,
63,574,0.003689012,0.018362924,0.086283138,,,,,,,
64,585,0.003689012,0.018362924,0.086283138,,,,,,,
65,586,0.003689012,0.018362924,0.086283138,,,,,,,
66,588,0.003689012,0.018362924,0.086283138,,,,,,,
67,626,0.003689012,0.018362924,0.086283138,,,,,,,
68,627,0.003689012,0.018362924,0.086283138,,,,,,,
69,629,0.003689012,0.018362924,0.086283138,,,,,,,
70,632,0.003689012,0.018362924,0.086283138,,,,,,,
71,644,0.002140929,0.009431737,0.030323354,,,,,,,
72,653,0.002140929,0.009431737,0.030323354,,,,,,,
73,654,0.002140929,0.009431737,0.030323354,,,,,,,
74,680,0.002140929,0.009431737,0.030323354,,,,,,,
75,693,0.002140929,0.009431737,0.030323354,,,,,,,
76,713,0.002140929,0.009431737,0.030323354,,,,,,,
77,715,0.002140929,0.009431737,0.030323354,,,,,,,
78,728,0.002140929,0.009431737,0.030323354,,C per month,Prop made by C,,Increase oer year,,
79,749,0.000725996,0.007139447,0.028746709,,0.163989544,0.755327268,,1.857132043,,
80,760,0.000725996,0.007139447,0.028746709,,,,,,,
81,772,0.000725996,0.007139447,0.028746709,,,,,,,
82,825,0.006930532,0.033843878,0.100986478,,,,,,,
83,837,0.006930532,0.033843878,0.100986478,,,,,,,
84,867,0.006930532,0.033843878,0.100986478,,,,,,,
