,agemid,low95,median,up95,,,,,,
1,37,0.003455639,0.026723079,0.096251921,,,,,,
2,41,0.003455639,0.026723079,0.096251921,,,,,,
3,53,0.003455639,0.026723079,0.096251921,,,,,,
4,57,0.003455639,0.026723079,0.096251921,,,,,,
5,59,0.003455639,0.026723079,0.096251921,,,,,,
6,82,0.003455639,0.026723079,0.096251921,,,,,,
7,85,0.003455639,0.026723079,0.096251921,,,,,,
8,94,0.001887123,0.011013772,0.080039963,,,,,,
9,97,0.001887123,0.011013772,0.080039963,,,,,,
10,100,0.001887123,0.011013772,0.080039963,,,,,,
11,102,0.001887123,0.011013772,0.080039963,,,,,,
12,106,0.001887123,0.011013772,0.080039963,,,,,,
13,110,0.001887123,0.011013772,0.080039963,,,,,,
14,137,0.001887123,0.011013772,0.080039963,,,,,,
15,140,0.001887123,0.011013772,0.080039963,,,,,,
16,142,0.001887123,0.011013772,0.080039963,,,,,,
17,150,0.001887123,0.011013772,0.080039963,,,,,,
18,155,0.001887123,0.011013772,0.080039963,,,,,,
19,158,0.001887123,0.011013772,0.080039963,,,,,,
20,159,0.001887123,0.011013772,0.080039963,,,,,,
21,196,0.000943465,0.003871948,0.012598573,,,,,,
22,202,0.000943465,0.003871948,0.012598573,,,,,,
23,208,0.000943465,0.003871948,0.012598573,,,,,,
24,214,0.000943465,0.003871948,0.012598573,,,,,,
25,215,0.000943465,0.003871948,0.012598573,,,,,,
26,216,0.000943465,0.003871948,0.012598573,,,,,,
27,226,0.000943465,0.003871948,0.012598573,,,,,,
28,257,0.000943465,0.003871948,0.012598573,,,,,,
29,258,0.000943465,0.003871948,0.012598573,,,,,,
30,264,0.000943465,0.003871948,0.012598573,,,,,,
31,267,0.000943465,0.003871948,0.012598573,,,,,,
32,273,0.000943465,0.003871948,0.012598573,,,,,,
33,276,0.0002235,0.001497697,0.004835083,,,,,,
34,297,0.0002235,0.001497697,0.004835083,,,,,,
35,321,0.0002235,0.001497697,0.004835083,,,,,,
36,325,0.0002235,0.001497697,0.004835083,,,,,,
37,328,0.0002235,0.001497697,0.004835083,,,,,,
38,329,0.0002235,0.001497697,0.004835083,,,,,,
39,337,0.0002235,0.001497697,0.004835083,,,,,,
40,338,0.0002235,0.001497697,0.004835083,,,,,,
41,359,0.0002235,0.001497697,0.004835083,,,,,,
42,363,0.0002235,0.001497697,0.004835083,,C per month,,Prop made by C,,Increase per year
43,370,0.003747675,0.027063379,0.096304855,,0.010348538,,0.012574205,,1.012734329
44,372,0.003747675,0.027063379,0.096304855,,,,,,
45,375,0.003747675,0.027063379,0.096304855,,,,,,
46,376,0.003747675,0.027063379,0.096304855,,,,,,
47,407,0.003747675,0.027063379,0.096304855,,,,,,
48,428,0.003747675,0.027063379,0.096304855,,,,,,
49,444,0.003747675,0.027063379,0.096304855,,,,,,
50,455,0.003747675,0.027063379,0.096304855,,,,,,
51,462,0.002092623,0.011212286,0.080091908,,,,,,
52,464,0.002092623,0.011212286,0.080091908,,,,,,
53,507,0.002092623,0.011212286,0.080091908,,,,,,
54,509,0.002092623,0.011212286,0.080091908,,,,,,
55,510,0.002092623,0.011212286,0.080091908,,,,,,
56,524,0.002092623,0.011212286,0.080091908,,,,,,
57,530,0.002092623,0.011212286,0.080091908,,,,,,
58,531,0.002092623,0.011212286,0.080091908,,,,,,
59,534,0.002092623,0.011212286,0.080091908,,,,,,
60,554,0.000993364,0.004186179,0.013020129,,,,,,
61,555,0.000993364,0.004186179,0.013020129,,,,,,
62,573,0.000993364,0.004186179,0.013020129,,,,,,
63,574,0.000993364,0.004186179,0.013020129,,,,,,
64,585,0.000993364,0.004186179,0.013020129,,,,,,
