,agemid,low95,median,up95
1,37,1.00E-12,1.00E-12,1.00E-12
2,41,2.51E-05,0.000110312,0.000310766
3,53,0.000396024,0.001712487,0.004686695
4,57,0.000615609,0.00264909,0.007166202
5,59,0.000742973,0.0031894,0.00857291
6,82,0.003018149,0.012601048,0.031558371
7,85,0.003420835,0.01423093,0.035325782
8,94,0.00458531,0.018614558,0.04565269
9,97,0.004875578,0.019672843,0.04661187
10,100,0.005180689,0.020727278,0.048668814
11,102,0.005388847,0.02140509,0.049342302
12,106,0.005651863,0.022617973,0.051013075
13,110,0.006017178,0.024076278,0.053271327
14,137,0.009295252,0.035021885,0.072709574
15,140,0.009618281,0.036214942,0.075354922
16,142,0.009782258,0.037040288,0.076831943
17,150,0.010556374,0.040398757,0.084869554
18,155,0.011249668,0.042758894,0.089933314
19,158,0.011639241,0.043912585,0.09297908
20,159,0.011809664,0.044320752,0.094026606
21,196,0.069236546,0.161848563,0.289867294
22,202,0.07978296,0.196947145,0.340343193
23,208,0.093013714,0.228031165,0.373187356
24,214,0.102197919,0.255330207,0.401095983
25,215,0.104236459,0.260160167,0.405738967
26,216,0.106489575,0.265050454,0.410785147
27,226,0.123742179,0.305406522,0.442357927
28,257,0.168711458,0.400488928,0.518958893
29,258,0.170416291,0.402458473,0.520855769
30,264,0.179813142,0.417102719,0.533353965
31,267,0.185647335,0.42371511,0.539312331
32,273,0.194270261,0.4379815,0.550773621
33,276,0.240743773,0.445988024,0.552916048
34,297,0.346697426,0.494217254,0.576211419
35,321,0.404058719,0.530182469,0.608918605
36,325,0.412976291,0.536072071,0.618397516
37,328,0.419518746,0.539932027,0.622682806
38,329,0.422270724,0.541275927,0.623324843
39,337,0.436315135,0.55263989,0.636130969
40,338,0.438201199,0.554054656,0.638651238
41,359,0.474324443,0.581604482,0.671320899
42,363,0.477537857,0.586615418,0.676557643
43,370,0.491082468,0.592236451,0.680201547
44,372,0.495277159,0.593318473,0.681034079
45,375,0.502876578,0.595070593,0.682549996
46,376,0.503578948,0.595666172,0.682762054
47,407,0.550645201,0.616606207,0.695023433
48,428,0.568142448,0.634395592,0.707648837
49,444,0.580896811,0.647093807,0.72227699
50,455,0.588574305,0.655320575,0.731182316
51,462,0.591963796,0.658478916,0.733023371
52,464,0.592606927,0.659116472,0.73365769
53,507,0.601477466,0.677667819,0.752908751
54,509,0.601890345,0.678507993,0.753786802
55,510,0.602103715,0.678898302,0.754227205
56,524,0.608928215,0.68485095,0.76040218
57,530,0.609850415,0.687697229,0.763072844
58,531,0.609969094,0.688194537,0.763527573
59,534,0.610329115,0.689779048,0.764939351
60,554,0.661069832,0.731352083,0.803575939
61,555,0.664679536,0.735340052,0.807483574
62,573,0.711488482,0.775794888,0.841923804
63,574,0.713192099,0.777642925,0.843010141
64,585,0.727629135,0.792298672,0.85273617
65,586,0.729005733,0.793365812,0.853460242
66,588,0.731885947,0.795132152,0.855068305
67,626,0.767329713,0.826461138,0.885590607
68,627,0.767870042,0.827131972,0.88613239
69,629,0.768948889,0.828641397,0.887175653
70,632,0.770562613,0.830736429,0.888671026
71,644,0.785312992,0.8382284,0.893026025
72,653,0.790913967,0.843606355,0.895419179
73,654,0.791434099,0.844164236,0.895828811
74,680,0.801832592,0.856066466,0.905374999
75,693,0.806468328,0.86134835,0.910574643
76,713,0.813987558,0.86895176,0.917649561
77,715,0.814861129,0.869610215,0.918185806
78,728,0.82026705,0.87395704,0.922854285
79,749,0.828127351,0.878753018,0.925796432
80,760,0.832159105,0.881056339,0.928499982
81,772,0.836646732,0.883820741,0.931050612
82,825,0.848325873,0.895500236,0.942978542
83,837,0.849887284,0.897026824,0.944244605
84,867,0.855049717,0.900972868,0.946169409
85,884,0.857861784,0.903216353,0.947564053
86,967,0.907812509,0.942600891,0.969208764
87,984,0.911803038,0.946808289,0.972348286
88,1010,0.91859896,0.952023548,0.976472486
89,1013,0.91907308,0.952521087,0.976885486
90,1014,0.919226745,0.952746497,0.976999101
91,1042,0.924812338,0.956479012,0.979921537
92,1047,0.925772054,0.956930509,0.980334678
93,1061,0.927862299,0.95842889,0.98156196
94,1120,0.93670907,0.964335499,0.986276683
95,1141,0.939352951,0.966332503,0.987650846
96,1148,0.939898471,0.966963035,0.988084828
97,1158,0.940741438,0.967621321,0.988327902
98,1176,0.943098282,0.96918699,0.989142993
99,1202,0.945440608,0.970723186,0.99014062
100,1230,0.947809694,0.972270733,0.990929159
101,1242,0.948475649,0.972992767,0.991294672
102,1334,0.965165365,0.983273074,0.994440258
103,1340,0.965703628,0.983633587,0.994834591
104,1377,0.968703754,0.98568457,0.99598804
105,1389,0.969614672,0.98615239,0.996136845
106,1414,0.971410303,0.98706699,0.996564082
107,1450,0.973957582,0.988259658,0.997097156
108,1523,0.977544265,0.990363894,0.997917803
109,1526,0.97761187,0.990443017,0.997957858
110,1537,0.978094399,0.990715346,0.998080861
111,1541,0.978276737,0.990808214,0.998118381
112,1551,0.97867913,0.991027617,0.998220657
113,1564,0.979155926,0.991263558,0.998296028
114,1592,0.98030441,0.991761731,0.998403088
115,1667,0.98531294,0.994202078,0.998926812
116,1721,0.987350363,0.995389411,0.999282102
117,1755,0.988258339,0.995848883,0.999399491
118,1760,0.988401985,0.995900844,0.9994114
119,1806,0.989695287,0.996387372,0.999530783
120,1823,0.990141407,0.99655923,0.999557499
121,1841,0.990647475,0.99668191,0.999582078
122,1848,0.9906763,0.996725515,0.999591334
