,agemid,low95,median,up95
1,37,1.00E-12,1.00E-12,1.00E-12
2,41,6.86E-06,4.51E-05,0.000130356
3,53,0.000108371,0.000706689,0.002015451
4,57,0.000168615,0.001096931,0.003113532
5,59,0.000203594,0.001322913,0.00374604
6,82,0.000831485,0.005316718,0.014688046
7,85,0.000943085,0.00601746,0.016571733
8,94,0.006380487,0.020382437,0.042150565
9,97,0.009426562,0.03162814,0.072957596
10,100,0.012356438,0.042061571,0.098275159
11,102,0.014133927,0.04907991,0.113210846
12,106,0.017654321,0.062918633,0.137733329
13,110,0.021213139,0.077368544,0.158281585
14,137,0.045255404,0.161303548,0.254944763
15,140,0.048041072,0.170034546,0.263678719
16,142,0.04979083,0.175863325,0.270419173
17,150,0.056994596,0.197282459,0.292516252
18,155,0.061655758,0.209752579,0.305706446
19,158,0.064508198,0.217870899,0.313641293
20,159,0.065468038,0.220550812,0.316084221
21,196,0.147277479,0.302915414,0.382311688
22,202,0.162794391,0.313595828,0.392639252
23,208,0.173564267,0.32436023,0.400352468
24,214,0.186650712,0.333733697,0.411637921
25,215,0.188549017,0.335442538,0.412999175
26,216,0.19044701,0.337228697,0.414849506
27,226,0.209368603,0.3521894,0.433789207
28,257,0.268251624,0.398422066,0.496817695
29,258,0.270127664,0.400040619,0.498842603
30,264,0.281421499,0.410176482,0.509925207
31,267,0.286923648,0.414323711,0.515544142
32,273,0.294284647,0.423574081,0.525661162
33,276,0.312398457,0.428265647,0.528370385
34,297,0.379626432,0.464943096,0.546410009
35,321,0.424814307,0.499115446,0.573368487
36,325,0.42851588,0.504218866,0.582160756
37,328,0.432195163,0.507558793,0.583747015
38,329,0.432687038,0.509484429,0.585165167
39,337,0.443388454,0.520949158,0.59710458
40,338,0.444594336,0.5226715,0.599560114
41,359,0.462621148,0.548537469,0.632943812
42,363,0.466363362,0.553304036,0.63980217
43,370,0.470163384,0.559739202,0.647017349
44,372,0.471981453,0.56105182,0.647920775
45,375,0.473027202,0.563576002,0.649892712
46,376,0.473115965,0.564660548,0.65100769
47,407,0.486723194,0.590122976,0.684490362
48,428,0.494814958,0.605772067,0.705948021
49,444,0.499970213,0.619455661,0.723023114
50,455,0.505606049,0.628337927,0.733762512
51,462,0.562659653,0.664888335,0.748279384
52,464,0.576285627,0.672638456,0.75344157
53,507,0.674812706,0.749763967,0.8163271
54,509,0.678205499,0.752088411,0.818978757
55,510,0.679884161,0.753155898,0.819978697
56,524,0.698442124,0.767482958,0.831610152
57,530,0.704175285,0.772724123,0.837553856
58,531,0.704935725,0.773634866,0.838585877
59,534,0.70720158,0.776113383,0.84103899
60,554,0.732031104,0.7921333,0.854100168
61,555,0.733919858,0.792968146,0.854487814
62,573,0.744840617,0.805110516,0.864544292
63,574,0.745489634,0.806011323,0.865303487
64,585,0.751773265,0.812046409,0.873918718
65,586,0.752369199,0.812527593,0.874509682
66,588,0.753450051,0.81369033,0.875775549
67,626,0.7763916,0.833722413,0.900468149
68,627,0.776970877,0.8342161,0.900988372
69,629,0.778125123,0.8351999,0.902010717
70,632,0.779845711,0.836685892,0.903501412
71,644,0.785025129,0.841656282,0.9073843
72,653,0.787838992,0.844479444,0.90922345
73,654,0.788191686,0.844836288,0.90958915
74,680,0.796339869,0.854422413,0.918317512
75,693,0.801669807,0.859119216,0.921809013
76,713,0.809513564,0.865590211,0.928720447
77,715,0.810396952,0.866354899,0.929260787
78,728,0.815657582,0.870309896,0.93267687
79,749,0.820197937,0.876510497,0.937707249
80,760,0.822457818,0.879400451,0.938646101
81,772,0.825558646,0.88274732,0.941528925
82,825,0.852916074,0.901720539,0.953404146
83,837,0.868818772,0.91258595,0.956317987
84,867,0.882121693,0.925172725,0.963620321
85,884,0.887206567,0.929812057,0.966738959
86,967,0.908849729,0.945705714,0.97826555
87,984,0.912608388,0.948350406,0.979675511
88,1010,0.917637431,0.951477619,0.981683337
89,1013,0.918006105,0.951680394,0.981903074
90,1014,0.918091937,0.951776096,0.981969753
91,1042,0.922418102,0.95494584,0.98379074
92,1047,0.922842198,0.955570932,0.984071853
93,1061,0.924308572,0.956982185,0.98488063
94,1120,0.932711415,0.962791554,0.98803309
95,1141,0.934791354,0.964594404,0.98904747
96,1148,0.935862791,0.965321665,0.989368987
97,1158,0.937080315,0.966198232,0.989747828
98,1176,0.939172582,0.967719811,0.990427822
99,1202,0.95020153,0.973793862,0.991807181
100,1230,0.954560047,0.976991016,0.993373459
101,1242,0.955962743,0.978111225,0.993747533
102,1334,0.965042705,0.98366156,0.99620158
103,1340,0.965582175,0.983962574,0.996348222
104,1377,0.968636594,0.985550296,0.996936553
105,1389,0.969314276,0.985961545,0.997053488
106,1414,0.970990791,0.986833678,0.997342008
107,1450,0.972781707,0.988036089,0.997709707
108,1523,0.977323828,0.990633265,0.998440308
109,1526,0.977501967,0.990721569,0.998457339
110,1537,0.978024471,0.991033882,0.998518324
111,1541,0.97812162,0.991147095,0.998539941
112,1551,0.978671859,0.991424306,0.998579097
113,1564,0.980880947,0.99229702,0.998721833
114,1592,0.982366753,0.993167261,0.998932755
115,1667,0.98555182,0.994570719,0.999267194
116,1721,0.987410353,0.995339497,0.999398081
117,1755,0.988238299,0.995758382,0.999475963
118,1760,0.988355561,0.995800074,0.99948256
119,1806,0.989471741,0.996290336,0.999549136
120,1823,0.989849365,0.996450093,0.999596462
121,1841,0.990200653,0.996610884,0.99961227
122,1848,0.990305791,0.996663991,0.999617242
