,agemid,low95,median,up95
1,37,1.32E-12,1.32E-12,1.32E-12
2,41,0.000128767,0.000285715,0.00070203
3,53,0.001905017,0.00415769,0.008995192
4,57,0.002886758,0.006309249,0.013189346
5,59,0.003442234,0.007539434,0.01547994
6,82,0.01323883,0.027343541,0.04794571
7,85,0.014877964,0.030584317,0.052854403
8,94,0.021139677,0.039751823,0.068445933
9,97,0.023316116,0.042070824,0.072446984
10,100,0.025596985,0.044194342,0.076874815
11,102,0.026652892,0.045666693,0.078980403
12,106,0.029174945,0.048701698,0.083320369
13,110,0.031721185,0.051697306,0.086727144
14,137,0.045043456,0.07419196,0.116643831
15,140,0.046603,0.076765722,0.119652792
16,142,0.047861528,0.078572177,0.122308345
17,150,0.052098142,0.085364622,0.132112388
18,155,0.055082866,0.090161654,0.139769926
19,158,0.056525777,0.092939693,0.14436448
20,159,0.05701254,0.093738378,0.145818008
21,196,0.11428959,0.161575104,0.21805976
22,202,0.123236146,0.172582554,0.229158404
23,208,0.130405455,0.181739141,0.238881371
24,214,0.137472203,0.189189653,0.247630274
25,215,0.138411649,0.190530159,0.248806682
26,216,0.139291281,0.191772354,0.250383255
27,226,0.149136345,0.203002455,0.263616415
28,257,0.174328468,0.236249864,0.307033912
29,258,0.175277966,0.237330438,0.308428727
30,264,0.179602901,0.243538631,0.316355676
31,267,0.181206155,0.246645378,0.320018373
32,273,0.18466074,0.252222319,0.326327602
33,276,0.22031335,0.291829264,0.371617015
34,297,0.31599119,0.418241397,0.495006473
35,321,0.375062696,0.472032046,0.531832573
36,325,0.384565686,0.478889312,0.53727794
37,328,0.391554008,0.483702705,0.541033811
38,329,0.393850971,0.485332544,0.542336899
39,337,0.411287841,0.497758755,0.555514904
40,338,0.412836468,0.499303468,0.556896107
41,359,0.449795641,0.526759986,0.584709592
42,363,0.45550681,0.531914498,0.589727134
43,370,0.480112844,0.564142974,0.632437696
44,372,0.486695681,0.571958752,0.643603968
45,375,0.495294377,0.5812643,0.653900572
46,376,0.498006904,0.584081393,0.656673715
47,407,0.563339644,0.636248734,0.699723638
48,428,0.595669623,0.658983195,0.721598129
49,444,0.612684689,0.675261322,0.736198545
50,455,0.625197704,0.685517618,0.745899137
51,462,0.63162234,0.691265204,0.753913152
52,464,0.632893134,0.692559767,0.755090768
53,507,0.658640073,0.715821659,0.781930791
54,509,0.659358841,0.717109459,0.783165699
55,510,0.659720336,0.717540231,0.783775169
56,524,0.667376647,0.725590255,0.791503303
57,530,0.669678317,0.729036244,0.794337108
58,531,0.670060828,0.729576667,0.79480106
59,534,0.671218787,0.73118446,0.796180969
60,554,0.693530759,0.749925451,0.809015103
61,555,0.695156045,0.751103273,0.809740155
62,573,0.712242796,0.765972694,0.823347335
63,574,0.712998448,0.76666834,0.824045449
64,585,0.717841021,0.773399489,0.828732828
65,586,0.71836422,0.773924996,0.829084117
66,588,0.719107795,0.775026792,0.830395024
67,626,0.733733484,0.791776724,0.848518316
68,627,0.734112687,0.792166327,0.848959099
69,629,0.734881193,0.792933126,0.849830811
70,632,0.736218299,0.794179809,0.85122832
71,644,0.758828617,0.810372944,0.864063831
72,653,0.772646527,0.823399236,0.873891044
73,654,0.774020922,0.824466494,0.874867309
74,680,0.797260487,0.843416169,0.891276625
75,693,0.803324618,0.849946451,0.897208861
76,713,0.810851706,0.859037188,0.903950573
77,715,0.811586514,0.859791399,0.904574594
78,728,0.816226427,0.864427507,0.90939052
79,749,0.834749822,0.881447777,0.922740144
80,760,0.840516844,0.886726885,0.926597306
81,772,0.845360284,0.891299044,0.929997623
82,825,0.862912082,0.906659672,0.944436185
83,837,0.865609052,0.908392612,0.947307061
84,867,0.871782029,0.913674431,0.951698442
85,884,0.875350007,0.91661496,0.954873572
86,967,0.898206315,0.934635571,0.965978098
87,984,0.900948368,0.937040564,0.968041626
88,1010,0.911564912,0.944016421,0.971163599
89,1013,0.913415125,0.94553613,0.971675351
90,1014,0.914100541,0.946105675,0.971841042
91,1042,0.9222646,0.952882418,0.976369739
92,1047,0.923180757,0.953666077,0.977017105
93,1061,0.925849437,0.955645347,0.978593041
94,1120,0.938544274,0.965366407,0.984294773
95,1141,0.941878695,0.967678161,0.985874047
96,1148,0.94290231,0.968388748,0.986303814
97,1158,0.944153837,0.969379109,0.986950314
98,1176,0.946664774,0.971050272,0.988251019
99,1202,0.949080274,0.972828346,0.989865354
100,1230,0.951733677,0.974299641,0.991236238
101,1242,0.952618321,0.974956796,0.991548441
102,1334,0.961736812,0.980615905,0.99386246
103,1340,0.962273937,0.980935448,0.994019859
104,1377,0.967740208,0.983727015,0.994883809
105,1389,0.969069337,0.984980638,0.995247705
106,1414,0.970940396,0.986342283,0.995860089
107,1450,0.973427065,0.987756472,0.996510779
108,1523,0.978628838,0.990838329,0.997761799
109,1526,0.978794411,0.990928098,0.997800237
110,1537,0.979379109,0.991233308,0.997957005
111,1541,0.979563592,0.991343881,0.9980154
112,1551,0.980080393,0.991616998,0.998144957
113,1564,0.980446417,0.991871361,0.998238334
114,1592,0.981672035,0.992357273,0.998381283
115,1667,0.984752201,0.993922455,0.99882205
116,1721,0.986196149,0.994698749,0.999083322
117,1755,0.988133453,0.995532948,0.999232284
118,1760,0.988256288,0.995626918,0.999253145
119,1806,0.98958091,0.996215088,0.99939649
120,1823,0.989992656,0.996395553,0.999447314
121,1841,0.990668201,0.996754164,0.999510104
122,1848,0.990839746,0.996836846,0.99953229
