,agemid,low95,median,up95,,,,
1,37,0.000744508,0.022808049,0.092843571,,0.022640484,0.693592775,2.823372997
2,41,0.000744508,0.022808049,0.092843571,,,,
3,53,0.000744508,0.022808049,0.092843571,,,,
4,57,0.000744508,0.022808049,0.092843571,,,,
5,59,0.000744508,0.022808049,0.092843571,,,,
6,82,0.000744508,0.022808049,0.092843571,,,,
7,85,0.000744508,0.022808049,0.092843571,,,,
8,94,0.000744508,0.022808049,0.092843571,,,,
9,97,0.000744508,0.022808049,0.092843571,,,,
10,100,0.000744508,0.022808049,0.092843571,,,,
11,102,0.000744508,0.022808049,0.092843571,,,,
12,106,0.000744508,0.022808049,0.092843571,,,,
13,110,0.000744508,0.022808049,0.092843571,,,,
14,137,0.000744508,0.022808049,0.092843571,,,,
15,140,0.000744508,0.022808049,0.092843571,,,,
16,142,0.000744508,0.022808049,0.092843571,,,,
17,150,0.000744508,0.022808049,0.092843571,,,,
18,155,0.000744508,0.022808049,0.092843571,,,,
19,158,0.000744508,0.022808049,0.092843571,,,,
20,159,0.000744508,0.022808049,0.092843571,,,,
21,196,0.000744508,0.022808049,0.092843571,,,,
22,202,0.000744508,0.022808049,0.092843571,,,,
23,208,0.000744508,0.022808049,0.092843571,,,,
24,214,0.000744508,0.022808049,0.092843571,,,,
25,215,0.000744508,0.022808049,0.092843571,,,,
26,216,0.000744508,0.022808049,0.092843571,,,,
27,226,0.000744508,0.022808049,0.092843571,,,,
28,257,0.000744508,0.022808049,0.092843571,,,,
29,258,0.000744508,0.022808049,0.092843571,,,,
30,264,0.000744508,0.022808049,0.092843571,,,,
31,267,0.000744508,0.022808049,0.092843571,,,,
32,273,0.000744508,0.022808049,0.092843571,,,,
33,276,0.000744508,0.022808049,0.092843571,,,,
34,297,0.000744508,0.022808049,0.092843571,,,,
35,321,0.000744508,0.022808049,0.092843571,,,,
36,325,0.000744508,0.022808049,0.092843571,,,,
37,328,0.000744508,0.022808049,0.092843571,,,,
38,329,0.000744508,0.022808049,0.092843571,,,,
39,337,0.000744508,0.022808049,0.092843571,,,,
40,338,0.000744508,0.022808049,0.092843571,,,,
41,359,0.000744508,0.022808049,0.092843571,,,,
42,363,0.000744508,0.022808049,0.092843571,,,,
43,370,0.000744508,0.022808049,0.092843571,,,,
44,372,0.000744508,0.022808049,0.092843571,,,,
45,375,0.000744508,0.022808049,0.092843571,,,,
46,376,0.000744508,0.022808049,0.092843571,,,,
47,407,0.000744508,0.022808049,0.092843571,,,,
48,428,0.000744508,0.022808049,0.092843571,,,,
49,444,0.000744508,0.022808049,0.092843571,,,,
50,455,0.000744508,0.022808049,0.092843571,,,,
51,462,0.000744508,0.022808049,0.092843571,,,,
52,464,0.000744508,0.022808049,0.092843571,,,,
53,507,0.000744508,0.022808049,0.092843571,,,,
54,509,0.000744508,0.022808049,0.092843571,,,,
55,510,0.000744508,0.022808049,0.092843571,,,,
56,524,0.000744508,0.022808049,0.092843571,,,,
57,530,0.000744508,0.022808049,0.092843571,,,,
58,531,0.000744508,0.022808049,0.092843571,,,,
59,534,0.000744508,0.022808049,0.092843571,,,,
60,554,0.000744508,0.022808049,0.092843571,,,,
61,555,0.000744508,0.022808049,0.092843571,,,,
62,573,0.000744508,0.022808049,0.092843571,,,,
63,574,0.000744508,0.022808049,0.092843571,,,,
64,585,0.000744508,0.022808049,0.092843571,,,,
65,586,0.000744508,0.022808049,0.092843571,,,,
66,588,0.000744508,0.022808049,0.092843571,,,,
67,626,0.000744508,0.022808049,0.092843571,,,,
68,627,0.000744508,0.022808049,0.092843571,,,,
69,629,0.000744508,0.022808049,0.092843571,,,,
70,632,0.000744508,0.022808049,0.092843571,,,,
71,644,0.000744508,0.022808049,0.092843571,,,,
72,653,0.000744508,0.022808049,0.092843571,,,,
73,654,0.000744508,0.022808049,0.092843571,,,,
74,680,0.000744508,0.022808049,0.092843571,,,,
75,693,0.000744508,0.022808049,0.092843571,,,,
76,713,0.000744508,0.022808049,0.092843571,,,,
77,715,0.000744508,0.022808049,0.092843571,,,,
78,728,0.000744508,0.022808049,0.092843571,,,,
79,749,0.000744508,0.022808049,0.092843571,,,,
80,760,0.000744508,0.022808049,0.092843571,,,,
81,772,0.000744508,0.022808049,0.092843571,,,,
82,825,0.000744508,0.022808049,0.092843571,,,,
83,837,0.000744508,0.022808049,0.092843571,,,,
84,867,0.000744508,0.022808049,0.092843571,,,,
85,884,0.000744508,0.022808049,0.092843571,,,,
86,967,0.000744508,0.022808049,0.092843571,,,,
87,984,0.000744508,0.022808049,0.092843571,,,,
88,1010,0.000744508,0.022808049,0.092843571,,,,
89,1013,0.000744508,0.022808049,0.092843571,,,,
90,1014,0.000744508,0.022808049,0.092843571,,,,
91,1042,0.000744508,0.022808049,0.092843571,,,,
92,1047,0.000744508,0.022808049,0.092843571,,,,
93,1061,0.000744508,0.022808049,0.092843571,,,,
94,1120,0.000744508,0.022808049,0.092843571,,,,
95,1141,0.000744508,0.022808049,0.092843571,,,,
96,1148,0.000744508,0.022808049,0.092843571,,,,
97,1158,0.000744508,0.022808049,0.092843571,,,,
98,1176,0.000744508,0.022808049,0.092843571,,,,
99,1202,0.000744508,0.022808049,0.092843571,,,,
100,1230,0.000744508,0.022808049,0.092843571,,,,
101,1242,0.000744508,0.022808049,0.092843571,,,,
102,1334,0.000744508,0.022808049,0.092843571,,,,
103,1340,0.000744508,0.022808049,0.092843571,,,,
104,1377,0.000744508,0.022808049,0.092843571,,,,
105,1389,0.000744508,0.022808049,0.092843571,,,,
106,1414,0.000744508,0.022808049,0.092843571,,,,
107,1450,0.000744508,0.022808049,0.092843571,,,,
108,1523,0.000744508,0.022808049,0.092843571,,,,
109,1526,0.000744508,0.022808049,0.092843571,,,,
110,1537,0.000744508,0.022808049,0.092843571,,,,
111,1541,0.000744508,0.022808049,0.092843571,,,,
112,1551,0.000744508,0.022808049,0.092843571,,,,
113,1564,0.000744508,0.022808049,0.092843571,,,,
114,1592,0.000744508,0.022808049,0.092843571,,,,
115,1667,0.000744508,0.022808049,0.092843571,,,,
116,1721,0.000744508,0.022808049,0.092843571,,,,
117,1755,0.000744508,0.022808049,0.092843571,,,,
118,1760,0.000744508,0.022808049,0.092843571,,,,
119,1806,0.000744508,0.022808049,0.092843571,,,,
120,1823,0.000744508,0.022808049,0.092843571,,,,
121,1841,0.000744508,0.022808049,0.092843571,,,,
122,1848,0.000744508,0.022808049,0.092843571,,,,
