,agemid,low95,median,up95,,,,
1,37,2.52E-05,0.000784573,0.003792184,,0.00,0.02,0.12
2,41,2.52E-05,0.000784573,0.003792184,,,,
3,53,2.52E-05,0.000784573,0.003792184,,,,
4,57,2.52E-05,0.000784573,0.003792184,,,,
5,59,2.52E-05,0.000784573,0.003792184,,,,
6,82,2.52E-05,0.000784573,0.003792184,,,,
7,85,2.52E-05,0.000784573,0.003792184,,,,
8,94,2.52E-05,0.000784573,0.003792184,,,,
9,97,2.52E-05,0.000784573,0.003792184,,,,
10,100,2.52E-05,0.000784573,0.003792184,,,,
11,102,2.52E-05,0.000784573,0.003792184,,,,
12,106,2.52E-05,0.000784573,0.003792184,,,,
13,110,2.52E-05,0.000784573,0.003792184,,,,
14,137,2.52E-05,0.000784573,0.003792184,,,,
15,140,2.52E-05,0.000784573,0.003792184,,,,
16,142,2.52E-05,0.000784573,0.003792184,,,,
17,150,2.52E-05,0.000784573,0.003792184,,,,
18,155,2.52E-05,0.000784573,0.003792184,,,,
19,158,2.52E-05,0.000784573,0.003792184,,,,
20,159,2.52E-05,0.000784573,0.003792184,,,,
21,196,2.52E-05,0.000784573,0.003792184,,,,
22,202,2.52E-05,0.000784573,0.003792184,,,,
23,208,2.52E-05,0.000784573,0.003792184,,,,
24,214,2.52E-05,0.000784573,0.003792184,,,,
25,215,2.52E-05,0.000784573,0.003792184,,,,
26,216,2.52E-05,0.000784573,0.003792184,,,,
27,226,2.52E-05,0.000784573,0.003792184,,,,
28,257,2.52E-05,0.000784573,0.003792184,,,,
29,258,2.52E-05,0.000784573,0.003792184,,,,
30,264,2.52E-05,0.000784573,0.003792184,,,,
31,267,2.52E-05,0.000784573,0.003792184,,,,
32,273,2.52E-05,0.000784573,0.003792184,,,,
33,276,2.52E-05,0.000784573,0.003792184,,,,
34,297,2.52E-05,0.000784573,0.003792184,,,,
35,321,2.52E-05,0.000784573,0.003792184,,,,
36,325,2.52E-05,0.000784573,0.003792184,,,,
37,328,2.52E-05,0.000784573,0.003792184,,,,
38,329,2.52E-05,0.000784573,0.003792184,,,,
39,337,2.52E-05,0.000784573,0.003792184,,,,
40,338,2.52E-05,0.000784573,0.003792184,,,,
41,359,2.52E-05,0.000784573,0.003792184,,,,
42,363,2.52E-05,0.000784573,0.003792184,,,,
43,370,2.52E-05,0.000784573,0.003792184,,,,
44,372,2.52E-05,0.000784573,0.003792184,,,,
45,375,2.52E-05,0.000784573,0.003792184,,,,
46,376,2.52E-05,0.000784573,0.003792184,,,,
47,407,2.52E-05,0.000784573,0.003792184,,,,
48,428,2.52E-05,0.000784573,0.003792184,,,,
49,444,2.52E-05,0.000784573,0.003792184,,,,
50,455,2.52E-05,0.000784573,0.003792184,,,,
51,462,2.52E-05,0.000784573,0.003792184,,,,
52,464,2.52E-05,0.000784573,0.003792184,,,,
53,507,2.52E-05,0.000784573,0.003792184,,,,
54,509,2.52E-05,0.000784573,0.003792184,,,,
55,510,2.52E-05,0.000784573,0.003792184,,,,
56,524,2.52E-05,0.000784573,0.003792184,,,,
57,530,2.52E-05,0.000784573,0.003792184,,,,
