,agemid,low95,median,up95,,,,
1,37,0.002568539,0.003250027,0.004857127,,389.3263135,307.6897657,205.8830124
2,41,0.002568539,0.003250027,0.004857127,,,,
3,53,0.002568539,0.003250027,0.004857127,,,,
4,57,0.002568539,0.003250027,0.004857127,,,,
5,59,0.002568539,0.003250027,0.004857127,,,,
6,82,0.002568539,0.003250027,0.004857127,,,,
7,85,0.002568539,0.003250027,0.004857127,,,,
8,94,0.002568539,0.003250027,0.004857127,,,,
9,97,0.002568539,0.003250027,0.004857127,,,,
10,100,0.002568539,0.003250027,0.004857127,,,,
11,102,0.002568539,0.003250027,0.004857127,,,,
12,106,0.002568539,0.003250027,0.004857127,,,,
13,110,0.002568539,0.003250027,0.004857127,,,,
14,137,0.002568539,0.003250027,0.004857127,,,,
15,140,0.002568539,0.003250027,0.004857127,,,,
16,142,0.002568539,0.003250027,0.004857127,,,,
17,150,0.002568539,0.003250027,0.004857127,,,,
18,155,0.002568539,0.003250027,0.004857127,,,,
19,158,0.002568539,0.003250027,0.004857127,,,,
20,159,0.002568539,0.003250027,0.004857127,,,,
21,196,0.002568539,0.003250027,0.004857127,,,,
22,202,0.002568539,0.003250027,0.004857127,,,,
23,208,0.002568539,0.003250027,0.004857127,,,,
24,214,0.002568539,0.003250027,0.004857127,,,,
25,215,0.002568539,0.003250027,0.004857127,,,,
26,216,0.002568539,0.003250027,0.004857127,,,,
27,226,0.002568539,0.003250027,0.004857127,,,,
28,257,0.002568539,0.003250027,0.004857127,,,,
29,258,0.002568539,0.003250027,0.004857127,,,,
30,264,0.002568539,0.003250027,0.004857127,,,,
31,267,0.002568539,0.003250027,0.004857127,,,,
32,273,0.002568539,0.003250027,0.004857127,,,,
33,276,0.002568539,0.003250027,0.004857127,,,,
34,297,0.002568539,0.003250027,0.004857127,,,,
35,321,0.002568539,0.003250027,0.004857127,,,,
36,325,0.002568539,0.003250027,0.004857127,,,,
37,328,0.002568539,0.003250027,0.004857127,,,,
38,329,0.002568539,0.003250027,0.004857127,,,,
39,337,0.002568539,0.003250027,0.004857127,,,,
40,338,0.002568539,0.003250027,0.004857127,,,,
41,359,0.002568539,0.003250027,0.004857127,,,,
42,363,0.002568539,0.003250027,0.004857127,,,,
43,370,0.002568539,0.003250027,0.004857127,,,,
44,372,0.002568539,0.003250027,0.004857127,,,,
45,375,0.002568539,0.003250027,0.004857127,,,,
46,376,0.002568539,0.003250027,0.004857127,,,,
47,407,0.002568539,0.003250027,0.004857127,,,,
48,428,0.002568539,0.003250027,0.004857127,,,,
49,444,0.002568539,0.003250027,0.004857127,,,,
50,455,0.002568539,0.003250027,0.004857127,,,,
51,462,0.002568539,0.003250027,0.004857127,,,,
52,464,0.002568539,0.003250027,0.004857127,,,,
53,507,0.002568539,0.003250027,0.004857127,,,,
54,509,0.002568539,0.003250027,0.004857127,,,,
55,510,0.002568539,0.003250027,0.004857127,,,,
56,524,0.002568539,0.003250027,0.004857127,,,,
57,530,0.002568539,0.003250027,0.004857127,,,,
58,531,0.002568539,0.003250027,0.004857127,,,,
59,534,0.002568539,0.003250027,0.004857127,,,,
60,554,0.002568539,0.003250027,0.004857127,,,,
61,555,0.002568539,0.003250027,0.004857127,,,,
62,573,0.002568539,0.003250027,0.004857127,,,,
63,574,0.002568539,0.003250027,0.004857127,,,,
64,585,0.002568539,0.003250027,0.004857127,,,,
65,586,0.002568539,0.003250027,0.004857127,,,,
66,588,0.002568539,0.003250027,0.004857127,,,,
67,626,0.002568539,0.003250027,0.004857127,,,,
68,627,0.002568539,0.003250027,0.004857127,,,,
69,629,0.002568539,0.003250027,0.004857127,,,,
70,632,0.002568539,0.003250027,0.004857127,,,,
71,644,0.002568539,0.003250027,0.004857127,,,,
72,653,0.002568539,0.003250027,0.004857127,,,,
73,654,0.002568539,0.003250027,0.004857127,,,,
74,680,0.002568539,0.003250027,0.004857127,,,,
75,693,0.002568539,0.003250027,0.004857127,,,,
76,713,0.002568539,0.003250027,0.004857127,,,,
77,715,0.002568539,0.003250027,0.004857127,,,,
78,728,0.002568539,0.003250027,0.004857127,,,,
79,749,0.002568539,0.003250027,0.004857127,,,,
80,760,0.002568539,0.003250027,0.004857127,,,,
81,772,0.002568539,0.003250027,0.004857127,,,,
82,825,0.002568539,0.003250027,0.004857127,,,,
83,837,0.002568539,0.003250027,0.004857127,,,,
84,867,0.002568539,0.003250027,0.004857127,,,,
85,884,0.002568539,0.003250027,0.004857127,,,,
86,967,0.002568539,0.003250027,0.004857127,,,,
87,984,0.002568539,0.003250027,0.004857127,,,,
88,1010,0.002568539,0.003250027,0.004857127,,,,
89,1013,0.002568539,0.003250027,0.004857127,,,,
90,1014,0.002568539,0.003250027,0.004857127,,,,
91,1042,0.002568539,0.003250027,0.004857127,,,,
92,1047,0.002568539,0.003250027,0.004857127,,,,
93,1061,0.002568539,0.003250027,0.004857127,,,,
94,1120,0.002568539,0.003250027,0.004857127,,,,
95,1141,0.002568539,0.003250027,0.004857127,,,,
96,1148,0.002568539,0.003250027,0.004857127,,,,
97,1158,0.002568539,0.003250027,0.004857127,,,,
98,1176,0.002568539,0.003250027,0.004857127,,,,
99,1202,0.002568539,0.003250027,0.004857127,,,,
100,1230,0.002568539,0.003250027,0.004857127,,,,
101,1242,0.002568539,0.003250027,0.004857127,,,,
102,1334,0.002568539,0.003250027,0.004857127,,,,
103,1340,0.002568539,0.003250027,0.004857127,,,,
104,1377,0.002568539,0.003250027,0.004857127,,,,
105,1389,0.002568539,0.003250027,0.004857127,,,,
106,1414,0.002568539,0.003250027,0.004857127,,,,
107,1450,0.002568539,0.003250027,0.004857127,,,,
108,1523,0.002568539,0.003250027,0.004857127,,,,
109,1526,0.002568539,0.003250027,0.004857127,,,,
110,1537,0.002568539,0.003250027,0.004857127,,,,
111,1541,0.002568539,0.003250027,0.004857127,,,,
112,1551,0.002568539,0.003250027,0.004857127,,,,
113,1564,0.002568539,0.003250027,0.004857127,,,,
114,1592,0.002568539,0.003250027,0.004857127,,,,
115,1667,0.002568539,0.003250027,0.004857127,,,,
116,1721,0.002568539,0.003250027,0.004857127,,,,
117,1755,0.002568539,0.003250027,0.004857127,,,,
118,1760,0.002568539,0.003250027,0.004857127,,,,
119,1806,0.002568539,0.003250027,0.004857127,,,,
120,1823,0.002568539,0.003250027,0.004857127,,,,
121,1841,0.002568539,0.003250027,0.004857127,,,,
122,1848,0.002568539,0.003250027,0.004857127,,,,
