,agemid,low95,median,up95,,,,
1,37,2.49E-05,0.000661223,0.003243842,,0.00,0.02,0.10
2,41,2.49E-05,0.000661223,0.003243842,,,,
3,53,2.49E-05,0.000661223,0.003243842,,,,
4,57,2.49E-05,0.000661223,0.003243842,,,,
5,59,2.49E-05,0.000661223,0.003243842,,,,
6,82,2.49E-05,0.000661223,0.003243842,,,,
7,85,2.49E-05,0.000661223,0.003243842,,,,
8,94,2.49E-05,0.000661223,0.003243842,,,,
9,97,2.49E-05,0.000661223,0.003243842,,,,
10,100,2.49E-05,0.000661223,0.003243842,,,,
11,102,2.49E-05,0.000661223,0.003243842,,,,
12,106,2.49E-05,0.000661223,0.003243842,,,,
13,110,2.49E-05,0.000661223,0.003243842,,,,
14,137,2.49E-05,0.000661223,0.003243842,,,,
15,140,2.49E-05,0.000661223,0.003243842,,,,
16,142,2.49E-05,0.000661223,0.003243842,,,,
17,150,2.49E-05,0.000661223,0.003243842,,,,
18,155,2.49E-05,0.000661223,0.003243842,,,,
19,158,2.49E-05,0.000661223,0.003243842,,,,
20,159,2.49E-05,0.000661223,0.003243842,,,,
21,196,2.49E-05,0.000661223,0.003243842,,,,
22,202,2.49E-05,0.000661223,0.003243842,,,,
23,208,2.49E-05,0.000661223,0.003243842,,,,
24,214,2.49E-05,0.000661223,0.003243842,,,,
25,215,2.49E-05,0.000661223,0.003243842,,,,
26,216,2.49E-05,0.000661223,0.003243842,,,,
27,226,2.49E-05,0.000661223,0.003243842,,,,
28,257,2.49E-05,0.000661223,0.003243842,,,,
29,258,2.49E-05,0.000661223,0.003243842,,,,
30,264,2.49E-05,0.000661223,0.003243842,,,,
31,267,2.49E-05,0.000661223,0.003243842,,,,
32,273,2.49E-05,0.000661223,0.003243842,,,,
33,276,2.49E-05,0.000661223,0.003243842,,,,
34,297,2.49E-05,0.000661223,0.003243842,,,,
35,321,2.49E-05,0.000661223,0.003243842,,,,
36,325,2.49E-05,0.000661223,0.003243842,,,,
37,328,2.49E-05,0.000661223,0.003243842,,,,
38,329,2.49E-05,0.000661223,0.003243842,,,,
39,337,2.49E-05,0.000661223,0.003243842,,,,
40,338,2.49E-05,0.000661223,0.003243842,,,,
41,359,2.49E-05,0.000661223,0.003243842,,,,
42,363,2.49E-05,0.000661223,0.003243842,,,,
43,370,2.49E-05,0.000661223,0.003243842,,,,
44,372,2.49E-05,0.000661223,0.003243842,,,,
45,375,2.49E-05,0.000661223,0.003243842,,,,
46,376,2.49E-05,0.000661223,0.003243842,,,,
47,407,2.49E-05,0.000661223,0.003243842,,,,
48,428,2.49E-05,0.000661223,0.003243842,,,,
49,444,2.49E-05,0.000661223,0.003243842,,,,
50,455,2.49E-05,0.000661223,0.003243842,,,,
51,462,2.49E-05,0.000661223,0.003243842,,,,
52,464,2.49E-05,0.000661223,0.003243842,,,,
53,507,2.49E-05,0.000661223,0.003243842,,,,
54,509,2.49E-05,0.000661223,0.003243842,,,,
55,510,2.49E-05,0.000661223,0.003243842,,,,
56,524,2.49E-05,0.000661223,0.003243842,,,,
57,530,2.49E-05,0.000661223,0.003243842,,,,
58,531,2.49E-05,0.000661223,0.003243842,,,,
59,534,2.49E-05,0.000661223,0.003243842,,,,
60,554,2.49E-05,0.000661223,0.003243842,,,,
61,555,2.49E-05,0.000661223,0.003243842,,,,
62,573,2.49E-05,0.000661223,0.003243842,,,,
63,574,2.49E-05,0.000661223,0.003243842,,,,
64,585,2.49E-05,0.000661223,0.003243842,,,,
65,586,2.49E-05,0.000661223,0.003243842,,,,
66,588,2.49E-05,0.000661223,0.003243842,,,,
67,626,2.49E-05,0.000661223,0.003243842,,,,
68,627,2.49E-05,0.000661223,0.003243842,,,,
69,629,2.49E-05,0.000661223,0.003243842,,,,
70,632,2.49E-05,0.000661223,0.003243842,,,,
71,644,2.49E-05,0.000661223,0.003243842,,,,
72,653,2.49E-05,0.000661223,0.003243842,,,,
73,654,2.49E-05,0.000661223,0.003243842,,,,
74,680,2.49E-05,0.000661223,0.003243842,,,,
75,693,2.49E-05,0.000661223,0.003243842,,,,
76,713,2.49E-05,0.000661223,0.003243842,,,,
77,715,2.49E-05,0.000661223,0.003243842,,,,
78,728,2.49E-05,0.000661223,0.003243842,,,,
79,749,2.49E-05,0.000661223,0.003243842,,,,
80,760,2.49E-05,0.000661223,0.003243842,,,,
81,772,2.49E-05,0.000661223,0.003243842,,,,
82,825,2.49E-05,0.000661223,0.003243842,,,,
83,837,2.49E-05,0.000661223,0.003243842,,,,
84,867,2.49E-05,0.000661223,0.003243842,,,,
85,884,2.49E-05,0.000661223,0.003243842,,,,
86,967,2.49E-05,0.000661223,0.003243842,,,,
87,984,2.49E-05,0.000661223,0.003243842,,,,
88,1010,2.49E-05,0.000661223,0.003243842,,,,
89,1013,2.49E-05,0.000661223,0.003243842,,,,
90,1014,2.49E-05,0.000661223,0.003243842,,,,
91,1042,2.49E-05,0.000661223,0.003243842,,,,
92,1047,2.49E-05,0.000661223,0.003243842,,,,
93,1061,2.49E-05,0.000661223,0.003243842,,,,
94,1120,2.49E-05,0.000661223,0.003243842,,,,
95,1141,2.49E-05,0.000661223,0.003243842,,,,
96,1148,2.49E-05,0.000661223,0.003243842,,,,
97,1158,2.49E-05,0.000661223,0.003243842,,,,
98,1176,2.49E-05,0.000661223,0.003243842,,,,
99,1202,2.49E-05,0.000661223,0.003243842,,,,
100,1230,2.49E-05,0.000661223,0.003243842,,,,
101,1242,2.49E-05,0.000661223,0.003243842,,,,
102,1334,2.49E-05,0.000661223,0.003243842,,,,
103,1340,2.49E-05,0.000661223,0.003243842,,,,
104,1377,2.49E-05,0.000661223,0.003243842,,,,
105,1389,2.49E-05,0.000661223,0.003243842,,,,
106,1414,2.49E-05,0.000661223,0.003243842,,,,
107,1450,2.49E-05,0.000661223,0.003243842,,,,
108,1523,2.49E-05,0.000661223,0.003243842,,,,
109,1526,2.49E-05,0.000661223,0.003243842,,,,
110,1537,2.49E-05,0.000661223,0.003243842,,,,
111,1541,2.49E-05,0.000661223,0.003243842,,,,
112,1551,2.49E-05,0.000661223,0.003243842,,,,
113,1564,2.49E-05,0.000661223,0.003243842,,,,
114,1592,2.49E-05,0.000661223,0.003243842,,,,
115,1667,2.49E-05,0.000661223,0.003243842,,,,
116,1721,2.49E-05,0.000661223,0.003243842,,,,
117,1755,2.49E-05,0.000661223,0.003243842,,,,
118,1760,2.49E-05,0.000661223,0.003243842,,,,
119,1806,2.49E-05,0.000661223,0.003243842,,,,
120,1823,2.49E-05,0.000661223,0.003243842,,,,
121,1841,2.49E-05,0.000661223,0.003243842,,,,
122,1848,2.49E-05,0.000661223,0.003243842,,,,
