,agemid,low95,median,up95,,,,
1,37,0.000101509,0.00205665,0.011325847,,0.003086895,0.062542721,0.344419011
2,41,0.000101509,0.00205665,0.011325847,,,,
3,53,0.000101509,0.00205665,0.011325847,,,,
4,57,0.000101509,0.00205665,0.011325847,,,,
5,59,0.000101509,0.00205665,0.011325847,,,,
6,82,0.000101509,0.00205665,0.011325847,,,,
7,85,0.000101509,0.00205665,0.011325847,,,,
8,94,0.000101509,0.00205665,0.011325847,,,,
9,97,0.000101509,0.00205665,0.011325847,,,,
10,100,0.000101509,0.00205665,0.011325847,,,,
11,102,0.000101509,0.00205665,0.011325847,,,,
12,106,0.000101509,0.00205665,0.011325847,,,,
13,110,0.000101509,0.00205665,0.011325847,,,,
14,137,0.000101509,0.00205665,0.011325847,,,,
15,140,0.000101509,0.00205665,0.011325847,,,,
16,142,0.000101509,0.00205665,0.011325847,,,,
17,150,0.000101509,0.00205665,0.011325847,,,,
18,155,0.000101509,0.00205665,0.011325847,,,,
19,158,0.000101509,0.00205665,0.011325847,,,,
20,159,0.000101509,0.00205665,0.011325847,,,,
21,196,0.000101509,0.00205665,0.011325847,,,,
22,202,0.000101509,0.00205665,0.011325847,,,,
23,208,0.000101509,0.00205665,0.011325847,,,,
24,214,0.000101509,0.00205665,0.011325847,,,,
25,215,0.000101509,0.00205665,0.011325847,,,,
26,216,0.000101509,0.00205665,0.011325847,,,,
27,226,0.000101509,0.00205665,0.011325847,,,,
28,257,0.000101509,0.00205665,0.011325847,,,,
29,258,0.000101509,0.00205665,0.011325847,,,,
30,264,0.000101509,0.00205665,0.011325847,,,,
31,267,0.000101509,0.00205665,0.011325847,,,,
32,273,0.000101509,0.00205665,0.011325847,,,,
33,276,0.000101509,0.00205665,0.011325847,,,,
34,297,0.000101509,0.00205665,0.011325847,,,,
35,321,0.000101509,0.00205665,0.011325847,,,,
36,325,0.000101509,0.00205665,0.011325847,,,,
37,328,0.000101509,0.00205665,0.011325847,,,,
38,329,0.000101509,0.00205665,0.011325847,,,,
39,337,0.000101509,0.00205665,0.011325847,,,,
40,338,0.000101509,0.00205665,0.011325847,,,,
41,359,0.000101509,0.00205665,0.011325847,,,,
42,363,0.000101509,0.00205665,0.011325847,,,,
43,370,0.000101509,0.00205665,0.011325847,,,,
44,372,0.000101509,0.00205665,0.011325847,,,,
45,375,0.000101509,0.00205665,0.011325847,,,,
46,376,0.000101509,0.00205665,0.011325847,,,,
47,407,0.000101509,0.00205665,0.011325847,,,,
48,428,0.000101509,0.00205665,0.011325847,,,,
49,444,0.000101509,0.00205665,0.011325847,,,,
50,455,0.000101509,0.00205665,0.011325847,,,,
51,462,0.000101509,0.00205665,0.011325847,,,,
52,464,0.000101509,0.00205665,0.011325847,,,,
53,507,0.000101509,0.00205665,0.011325847,,,,
54,509,0.000101509,0.00205665,0.011325847,,,,
55,510,0.000101509,0.00205665,0.011325847,,,,
56,524,0.000101509,0.00205665,0.011325847,,,,
57,530,0.000101509,0.00205665,0.011325847,,,,
58,531,0.000101509,0.00205665,0.011325847,,,,
59,534,0.000101509,0.00205665,0.011325847,,,,
60,554,0.000101509,0.00205665,0.011325847,,,,
61,555,0.000101509,0.00205665,0.011325847,,,,
62,573,0.000101509,0.00205665,0.011325847,,,,
63,574,0.000101509,0.00205665,0.011325847,,,,
64,585,0.000101509,0.00205665,0.011325847,,,,
65,586,0.000101509,0.00205665,0.011325847,,,,
66,588,0.000101509,0.00205665,0.011325847,,,,
67,626,0.000101509,0.00205665,0.011325847,,,,
68,627,0.000101509,0.00205665,0.011325847,,,,
69,629,0.000101509,0.00205665,0.011325847,,,,
70,632,0.000101509,0.00205665,0.011325847,,,,
71,644,0.000101509,0.00205665,0.011325847,,,,
72,653,0.000101509,0.00205665,0.011325847,,,,
73,654,0.000101509,0.00205665,0.011325847,,,,
74,680,0.000101509,0.00205665,0.011325847,,,,
75,693,0.000101509,0.00205665,0.011325847,,,,
76,713,0.000101509,0.00205665,0.011325847,,,,
77,715,0.000101509,0.00205665,0.011325847,,,,
78,728,0.000101509,0.00205665,0.011325847,,,,
79,749,0.000101509,0.00205665,0.011325847,,,,
80,760,0.000101509,0.00205665,0.011325847,,,,
81,772,0.000101509,0.00205665,0.011325847,,,,
82,825,0.000101509,0.00205665,0.011325847,,,,
83,837,0.000101509,0.00205665,0.011325847,,,,
84,867,0.000101509,0.00205665,0.011325847,,,,
85,884,0.000101509,0.00205665,0.011325847,,,,
86,967,0.000101509,0.00205665,0.011325847,,,,
87,984,0.000101509,0.00205665,0.011325847,,,,
88,1010,0.000101509,0.00205665,0.011325847,,,,
89,1013,0.000101509,0.00205665,0.011325847,,,,
90,1014,0.000101509,0.00205665,0.011325847,,,,
91,1042,0.000101509,0.00205665,0.011325847,,,,
92,1047,0.000101509,0.00205665,0.011325847,,,,
93,1061,0.000101509,0.00205665,0.011325847,,,,
94,1120,0.000101509,0.00205665,0.011325847,,,,
95,1141,0.000101509,0.00205665,0.011325847,,,,
96,1148,0.000101509,0.00205665,0.011325847,,,,
97,1158,0.000101509,0.00205665,0.011325847,,,,
98,1176,0.000101509,0.00205665,0.011325847,,,,
99,1202,0.000101509,0.00205665,0.011325847,,,,
100,1230,0.000101509,0.00205665,0.011325847,,,,
101,1242,0.000101509,0.00205665,0.011325847,,,,
102,1334,0.000101509,0.00205665,0.011325847,,,,
103,1340,0.000101509,0.00205665,0.011325847,,,,
104,1377,0.000101509,0.00205665,0.011325847,,,,
105,1389,0.000101509,0.00205665,0.011325847,,,,
106,1414,0.000101509,0.00205665,0.011325847,,,,
107,1450,0.000101509,0.00205665,0.011325847,,,,
108,1523,0.000101509,0.00205665,0.011325847,,,,
109,1526,0.000101509,0.00205665,0.011325847,,,,
110,1537,0.000101509,0.00205665,0.011325847,,,,
111,1541,0.000101509,0.00205665,0.011325847,,,,
112,1551,0.000101509,0.00205665,0.011325847,,,,
113,1564,0.000101509,0.00205665,0.011325847,,,,
114,1592,0.000101509,0.00205665,0.011325847,,,,
115,1667,0.000101509,0.00205665,0.011325847,,,,
116,1721,0.000101509,0.00205665,0.011325847,,,,
117,1755,0.000101509,0.00205665,0.011325847,,,,
118,1760,0.000101509,0.00205665,0.011325847,,,,
119,1806,0.000101509,0.00205665,0.011325847,,,,
120,1823,0.000101509,0.00205665,0.011325847,,,,
121,1841,0.000101509,0.00205665,0.011325847,,,,
122,1848,0.000101509,0.00205665,0.011325847,,,,
