,agemid,low95,median,up95,,,,,
1,37,0.001105197,0.024837669,0.094702011,,0.033609033,0.75531352,2.879888148,(prop exposed per month = summer + this)
2,41,0.001105197,0.024837669,0.094702011,,,,,
3,53,0.001105197,0.024837669,0.094702011,,,,,
4,57,0.001105197,0.024837669,0.094702011,,,,,
5,59,0.001105197,0.024837669,0.094702011,,,,,
6,82,0.001105197,0.024837669,0.094702011,,,,,
7,85,0.001105197,0.024837669,0.094702011,,,,,
8,94,0.001105197,0.024837669,0.094702011,,,,,
9,97,0.001105197,0.024837669,0.094702011,,,,,
10,100,0.001105197,0.024837669,0.094702011,,,,,
11,102,0.001105197,0.024837669,0.094702011,,,,,
12,106,0.001105197,0.024837669,0.094702011,,,,,
13,110,0.001105197,0.024837669,0.094702011,,,,,
14,137,0.001105197,0.024837669,0.094702011,,,,,
15,140,0.001105197,0.024837669,0.094702011,,,,,
16,142,0.001105197,0.024837669,0.094702011,,,,,
17,150,0.001105197,0.024837669,0.094702011,,,,,
18,155,0.001105197,0.024837669,0.094702011,,,,,
19,158,0.001105197,0.024837669,0.094702011,,,,,
20,159,0.001105197,0.024837669,0.094702011,,,,,
21,196,0.001105197,0.024837669,0.094702011,,,,,
22,202,0.001105197,0.024837669,0.094702011,,,,,
23,208,0.001105197,0.024837669,0.094702011,,,,,
24,214,0.001105197,0.024837669,0.094702011,,,,,
25,215,0.001105197,0.024837669,0.094702011,,,,,
26,216,0.001105197,0.024837669,0.094702011,,,,,
27,226,0.001105197,0.024837669,0.094702011,,,,,
28,257,0.001105197,0.024837669,0.094702011,,,,,
29,258,0.001105197,0.024837669,0.094702011,,,,,
30,264,0.001105197,0.024837669,0.094702011,,,,,
31,267,0.001105197,0.024837669,0.094702011,,,,,
32,273,0.001105197,0.024837669,0.094702011,,,,,
33,276,0.001105197,0.024837669,0.094702011,,,,,
34,297,0.001105197,0.024837669,0.094702011,,,,,
35,321,0.001105197,0.024837669,0.094702011,,,,,
36,325,0.001105197,0.024837669,0.094702011,,,,,
37,328,0.001105197,0.024837669,0.094702011,,,,,
38,329,0.001105197,0.024837669,0.094702011,,,,,
39,337,0.001105197,0.024837669,0.094702011,,,,,
40,338,0.001105197,0.024837669,0.094702011,,,,,
41,359,0.001105197,0.024837669,0.094702011,,,,,
42,363,0.001105197,0.024837669,0.094702011,,,,,
43,370,0.001105197,0.024837669,0.094702011,,,,,
44,372,0.001105197,0.024837669,0.094702011,,,,,
45,375,0.001105197,0.024837669,0.094702011,,,,,
46,376,0.001105197,0.024837669,0.094702011,,,,,
47,407,0.001105197,0.024837669,0.094702011,,,,,
48,428,0.001105197,0.024837669,0.094702011,,,,,
49,444,0.001105197,0.024837669,0.094702011,,,,,
50,455,0.001105197,0.024837669,0.094702011,,,,,
51,462,0.001105197,0.024837669,0.094702011,,,,,
52,464,0.001105197,0.024837669,0.094702011,,,,,
53,507,0.001105197,0.024837669,0.094702011,,,,,
54,509,0.001105197,0.024837669,0.094702011,,,,,
55,510,0.001105197,0.024837669,0.094702011,,,,,
56,524,0.001105197,0.024837669,0.094702011,,,,,
57,530,0.001105197,0.024837669,0.094702011,,,,,
58,531,0.001105197,0.024837669,0.094702011,,,,,
59,534,0.001105197,0.024837669,0.094702011,,,,,
60,554,0.001105197,0.024837669,0.094702011,,,,,
61,555,0.001105197,0.024837669,0.094702011,,,,,
62,573,0.001105197,0.024837669,0.094702011,,,,,
63,574,0.001105197,0.024837669,0.094702011,,,,,
64,585,0.001105197,0.024837669,0.094702011,,,,,
65,586,0.001105197,0.024837669,0.094702011,,,,,
66,588,0.001105197,0.024837669,0.094702011,,,,,
67,626,0.001105197,0.024837669,0.094702011,,,,,
68,627,0.001105197,0.024837669,0.094702011,,,,,
69,629,0.001105197,0.024837669,0.094702011,,,,,
70,632,0.001105197,0.024837669,0.094702011,,,,,
71,644,0.001105197,0.024837669,0.094702011,,,,,
72,653,0.001105197,0.024837669,0.094702011,,,,,
73,654,0.001105197,0.024837669,0.094702011,,,,,
74,680,0.001105197,0.024837669,0.094702011,,,,,
75,693,0.001105197,0.024837669,0.094702011,,,,,
76,713,0.001105197,0.024837669,0.094702011,,,,,
77,715,0.001105197,0.024837669,0.094702011,,,,,
78,728,0.001105197,0.024837669,0.094702011,,,,,
79,749,0.001105197,0.024837669,0.094702011,,,,,
80,760,0.001105197,0.024837669,0.094702011,,,,,
81,772,0.001105197,0.024837669,0.094702011,,,,,
82,825,0.001105197,0.024837669,0.094702011,,,,,
83,837,0.001105197,0.024837669,0.094702011,,,,,
84,867,0.001105197,0.024837669,0.094702011,,,,,
85,884,0.001105197,0.024837669,0.094702011,,,,,
86,967,0.001105197,0.024837669,0.094702011,,,,,
87,984,0.001105197,0.024837669,0.094702011,,,,,
88,1010,0.001105197,0.024837669,0.094702011,,,,,
89,1013,0.001105197,0.024837669,0.094702011,,,,,
90,1014,0.001105197,0.024837669,0.094702011,,,,,
91,1042,0.001105197,0.024837669,0.094702011,,,,,
92,1047,0.001105197,0.024837669,0.094702011,,,,,
93,1061,0.001105197,0.024837669,0.094702011,,,,,
94,1120,0.001105197,0.024837669,0.094702011,,,,,
95,1141,0.001105197,0.024837669,0.094702011,,,,,
96,1148,0.001105197,0.024837669,0.094702011,,,,,
97,1158,0.001105197,0.024837669,0.094702011,,,,,
98,1176,0.001105197,0.024837669,0.094702011,,,,,
99,1202,0.001105197,0.024837669,0.094702011,,,,,
100,1230,0.001105197,0.024837669,0.094702011,,,,,
101,1242,0.001105197,0.024837669,0.094702011,,,,,
102,1334,0.001105197,0.024837669,0.094702011,,,,,
103,1340,0.001105197,0.024837669,0.094702011,,,,,
104,1377,0.001105197,0.024837669,0.094702011,,,,,
105,1389,0.001105197,0.024837669,0.094702011,,,,,
106,1414,0.001105197,0.024837669,0.094702011,,,,,
107,1450,0.001105197,0.024837669,0.094702011,,,,,
108,1523,0.001105197,0.024837669,0.094702011,,,,,
109,1526,0.001105197,0.024837669,0.094702011,,,,,
110,1537,0.001105197,0.024837669,0.094702011,,,,,
111,1541,0.001105197,0.024837669,0.094702011,,,,,
112,1551,0.001105197,0.024837669,0.094702011,,,,,
113,1564,0.001105197,0.024837669,0.094702011,,,,,
114,1592,0.001105197,0.024837669,0.094702011,,,,,
115,1667,0.001105197,0.024837669,0.094702011,,,,,
116,1721,0.001105197,0.024837669,0.094702011,,,,,
117,1755,0.001105197,0.024837669,0.094702011,,,,,
118,1760,0.001105197,0.024837669,0.094702011,,,,,
119,1806,0.001105197,0.024837669,0.094702011,,,,,
120,1823,0.001105197,0.024837669,0.094702011,,,,,
121,1841,0.001105197,0.024837669,0.094702011,,,,,
122,1848,0.001105197,0.024837669,0.094702011,,,,,
