,agemid,low95,median,up95,,,,,
1,37,0.000240062,0.008795477,0.077722499,,0.007300298,0.267470441,2.36354118,(prop exposed per month = summer + this)
2,41,0.000240062,0.008795477,0.077722499,,,,,
3,53,0.000240062,0.008795477,0.077722499,,,,,
4,57,0.000240062,0.008795477,0.077722499,,,,,
5,59,0.000240062,0.008795477,0.077722499,,,,,
6,82,0.000240062,0.008795477,0.077722499,,,,,
7,85,0.000240062,0.008795477,0.077722499,,,,,
8,94,0.000240062,0.008795477,0.077722499,,,,,
9,97,0.000240062,0.008795477,0.077722499,,,,,
10,100,0.000240062,0.008795477,0.077722499,,,,,
11,102,0.000240062,0.008795477,0.077722499,,,,,
12,106,0.000240062,0.008795477,0.077722499,,,,,
13,110,0.000240062,0.008795477,0.077722499,,,,,
14,137,0.000240062,0.008795477,0.077722499,,,,,
15,140,0.000240062,0.008795477,0.077722499,,,,,
16,142,0.000240062,0.008795477,0.077722499,,,,,
17,150,0.000240062,0.008795477,0.077722499,,,,,
18,155,0.000240062,0.008795477,0.077722499,,,,,
19,158,0.000240062,0.008795477,0.077722499,,,,,
20,159,0.000240062,0.008795477,0.077722499,,,,,
21,196,0.000240062,0.008795477,0.077722499,,,,,
22,202,0.000240062,0.008795477,0.077722499,,,,,
23,208,0.000240062,0.008795477,0.077722499,,,,,
24,214,0.000240062,0.008795477,0.077722499,,,,,
25,215,0.000240062,0.008795477,0.077722499,,,,,
26,216,0.000240062,0.008795477,0.077722499,,,,,
27,226,0.000240062,0.008795477,0.077722499,,,,,
28,257,0.000240062,0.008795477,0.077722499,,,,,
29,258,0.000240062,0.008795477,0.077722499,,,,,
30,264,0.000240062,0.008795477,0.077722499,,,,,
31,267,0.000240062,0.008795477,0.077722499,,,,,
32,273,0.000240062,0.008795477,0.077722499,,,,,
33,276,0.000240062,0.008795477,0.077722499,,,,,
34,297,0.000240062,0.008795477,0.077722499,,,,,
35,321,0.000240062,0.008795477,0.077722499,,,,,
36,325,0.000240062,0.008795477,0.077722499,,,,,
37,328,0.000240062,0.008795477,0.077722499,,,,,
38,329,0.000240062,0.008795477,0.077722499,,,,,
39,337,0.000240062,0.008795477,0.077722499,,,,,
40,338,0.000240062,0.008795477,0.077722499,,,,,
41,359,0.000240062,0.008795477,0.077722499,,,,,
42,363,0.000240062,0.008795477,0.077722499,,,,,
43,370,0.000240062,0.008795477,0.077722499,,,,,
44,372,0.000240062,0.008795477,0.077722499,,,,,
45,375,0.000240062,0.008795477,0.077722499,,,,,
46,376,0.000240062,0.008795477,0.077722499,,,,,
47,407,0.000240062,0.008795477,0.077722499,,,,,
48,428,0.000240062,0.008795477,0.077722499,,,,,
49,444,0.000240062,0.008795477,0.077722499,,,,,
50,455,0.000240062,0.008795477,0.077722499,,,,,
51,462,0.000240062,0.008795477,0.077722499,,,,,
52,464,0.000240062,0.008795477,0.077722499,,,,,
53,507,0.000240062,0.008795477,0.077722499,,,,,
54,509,0.000240062,0.008795477,0.077722499,,,,,
55,510,0.000240062,0.008795477,0.077722499,,,,,
56,524,0.000240062,0.008795477,0.077722499,,,,,
57,530,0.000240062,0.008795477,0.077722499,,,,,
58,531,0.000240062,0.008795477,0.077722499,,,,,
59,534,0.000240062,0.008795477,0.077722499,,,,,
60,554,0.000240062,0.008795477,0.077722499,,,,,
61,555,0.000240062,0.008795477,0.077722499,,,,,
62,573,0.000240062,0.008795477,0.077722499,,,,,
63,574,0.000240062,0.008795477,0.077722499,,,,,
64,585,0.000240062,0.008795477,0.077722499,,,,,
65,586,0.000240062,0.008795477,0.077722499,,,,,
66,588,0.000240062,0.008795477,0.077722499,,,,,
67,626,0.000240062,0.008795477,0.077722499,,,,,
68,627,0.000240062,0.008795477,0.077722499,,,,,
69,629,0.000240062,0.008795477,0.077722499,,,,,
70,632,0.000240062,0.008795477,0.077722499,,,,,
71,644,0.000240062,0.008795477,0.077722499,,,,,
