,agemid,low95,median,up95,,,,,
1,42,9.58E-05,0.00247372,0.025727116,,0.29,7.52,78.24,(%/month)
2,47,9.58E-05,0.00247372,0.025727116,,,,,
3,53,9.58E-05,0.00247372,0.025727116,,,,,
4,59,9.58E-05,0.00247372,0.025727116,,,,,
5,85,9.58E-05,0.00247372,0.025727116,,,,,
6,96,9.58E-05,0.00247372,0.025727116,,,,,
7,98,9.58E-05,0.00247372,0.025727116,,,,,
8,110,9.58E-05,0.00247372,0.025727116,,,,,
9,141,9.58E-05,0.00247372,0.025727116,,,,,
10,146,9.58E-05,0.00247372,0.025727116,,,,,
11,158,9.58E-05,0.00247372,0.025727116,,,,,
12,159,9.58E-05,0.00247372,0.025727116,,,,,
13,206,9.58E-05,0.00247372,0.025727116,,,,,
14,214,9.58E-05,0.00247372,0.025727116,,,,,
15,216,9.58E-05,0.00247372,0.025727116,,,,,
16,224,9.58E-05,0.00247372,0.025727116,,,,,
17,257,9.58E-05,0.00247372,0.025727116,,,,,
18,266,9.58E-05,0.00247372,0.025727116,,,,,
19,271,9.58E-05,0.00247372,0.025727116,,,,,
20,276,9.58E-05,0.00247372,0.025727116,,,,,
21,330,9.58E-05,0.00247372,0.025727116,,,,,
22,336,9.58E-05,0.00247372,0.025727116,,,,,
23,340,9.58E-05,0.00247372,0.025727116,,,,,
24,343,9.58E-05,0.00247372,0.025727116,,,,,
25,375,9.58E-05,0.00247372,0.025727116,,,,,
26,379,9.58E-05,0.00247372,0.025727116,,,,,
27,385,9.58E-05,0.00247372,0.025727116,,,,,
28,432,9.58E-05,0.00247372,0.025727116,,,,,
29,453,9.58E-05,0.00247372,0.025727116,,,,,
30,460,9.58E-05,0.00247372,0.025727116,,,,,
31,464,9.58E-05,0.00247372,0.025727116,,,,,
32,510,9.58E-05,0.00247372,0.025727116,,,,,
33,516,9.58E-05,0.00247372,0.025727116,,,,,
34,531,9.58E-05,0.00247372,0.025727116,,,,,
35,534,9.58E-05,0.00247372,0.025727116,,,,,
36,571,9.58E-05,0.00247372,0.025727116,,,,,
37,586,9.58E-05,0.00247372,0.025727116,,,,,
38,588,9.58E-05,0.00247372,0.025727116,,,,,
39,629,9.58E-05,0.00247372,0.025727116,,,,,
40,631,9.58E-05,0.00247372,0.025727116,,,,,
41,647,9.58E-05,0.00247372,0.025727116,,,,,
42,690,9.58E-05,0.00247372,0.025727116,,,,,
43,693,9.58E-05,0.00247372,0.025727116,,,,,
44,706,9.58E-05,0.00247372,0.025727116,,,,,
45,722,9.58E-05,0.00247372,0.025727116,,,,,
46,770,9.58E-05,0.00247372,0.025727116,,,,,
47,780,9.58E-05,0.00247372,0.025727116,,,,,
48,850,9.58E-05,0.00247372,0.025727116,,,,,
49,857,9.58E-05,0.00247372,0.025727116,,,,,
50,980,9.58E-05,0.00247372,0.025727116,,,,,
51,997,9.58E-05,0.00247372,0.025727116,,,,,
52,1014,9.58E-05,0.00247372,0.025727116,,,,,
53,1052,9.58E-05,0.00247372,0.025727116,,,,,
54,1134,9.58E-05,0.00247372,0.025727116,,,,,
55,1176,9.58E-05,0.00247372,0.025727116,,,,,
56,1188,9.58E-05,0.00247372,0.025727116,,,,,
57,1226,9.58E-05,0.00247372,0.025727116,,,,,
58,1348,9.58E-05,0.00247372,0.025727116,,,,,
59,1356,9.58E-05,0.00247372,0.025727116,,,,,
60,1377,9.58E-05,0.00247372,0.025727116,,,,,
61,1389,9.58E-05,0.00247372,0.025727116,,,,,
62,1519,9.58E-05,0.00247372,0.025727116,,,,,
63,1526,9.58E-05,0.00247372,0.025727116,,,,,
64,1564,9.58E-05,0.00247372,0.025727116,,,,,
65,1592,9.58E-05,0.00247372,0.025727116,,,,,
66,1676,9.58E-05,0.00247372,0.025727116,,,,,
67,1721,9.58E-05,0.00247372,0.025727116,,,,,
68,1755,9.58E-05,0.00247372,0.025727116,,,,,
69,1807,9.58E-05,0.00247372,0.025727116,,,,,
70,1833,9.58E-05,0.00247372,0.025727116,,,,,
71,1841,9.58E-05,0.00247372,0.025727116,,,,,
72,1848,9.58E-05,0.00247372,0.025727116,,,,,
