,agemid,low95,median,up95,,,,,
1,42,2.13E-05,0.000487951,0.002005767,,0.00,0.01,0.06,(prop exposed per month)
2,47,2.13E-05,0.000487951,0.002005767,,,,,
3,53,2.13E-05,0.000487951,0.002005767,,,,,
4,59,2.13E-05,0.000487951,0.002005767,,,,,
5,85,2.13E-05,0.000487951,0.002005767,,,,,
6,96,2.13E-05,0.000487951,0.002005767,,,,,
7,97,2.13E-05,0.000487951,0.002005767,,,,,
8,109,2.13E-05,0.000487951,0.002005767,,,,,
9,140,2.13E-05,0.000487951,0.002005767,,,,,
10,146,2.13E-05,0.000487951,0.002005767,,,,,
11,157,2.13E-05,0.000487951,0.002005767,,,,,
12,159,2.13E-05,0.000487951,0.002005767,,,,,
13,205,2.13E-05,0.000487951,0.002005767,,,,,
14,214,2.13E-05,0.000487951,0.002005767,,,,,
15,216,2.13E-05,0.000487951,0.002005767,,,,,
16,224,2.13E-05,0.000487951,0.002005767,,,,,
17,256,2.13E-05,0.000487951,0.002005767,,,,,
18,266,2.13E-05,0.000487951,0.002005767,,,,,
19,271,2.13E-05,0.000487951,0.002005767,,,,,
20,276,2.13E-05,0.000487951,0.002005767,,,,,
21,328,2.13E-05,0.000487951,0.002005767,,,,,
22,336,2.13E-05,0.000487951,0.002005767,,,,,
23,338,2.13E-05,0.000487951,0.002005767,,,,,
24,340,2.13E-05,0.000487951,0.002005767,,,,,
25,364,2.13E-05,0.000487951,0.002005767,,,,,
26,374,2.13E-05,0.000487951,0.002005767,,,,,
27,375,2.13E-05,0.000487951,0.002005767,,,,,
28,382,2.13E-05,0.000487951,0.002005767,,,,,
29,432,2.13E-05,0.000487951,0.002005767,,,,,
30,444,2.13E-05,0.000487951,0.002005767,,,,,
31,453,2.13E-05,0.000487951,0.002005767,,,,,
32,464,2.13E-05,0.000487951,0.002005767,,,,,
33,510,2.13E-05,0.000487951,0.002005767,,,,,
34,513,2.13E-05,0.000487951,0.002005767,,,,,
35,528,2.13E-05,0.000487951,0.002005767,,,,,
36,565,2.13E-05,0.000487951,0.002005767,,,,,
37,580,2.13E-05,0.000487951,0.002005767,,,,,
38,581,2.13E-05,0.000487951,0.002005767,,,,,
39,587,2.13E-05,0.000487951,0.002005767,,,,,
40,628,2.13E-05,0.000487951,0.002005767,,,,,
41,629,2.13E-05,0.000487951,0.002005767,,,,,
42,639,2.13E-05,0.000487951,0.002005767,,,,,
43,644,2.13E-05,0.000487951,0.002005767,,,,,
44,680,2.13E-05,0.000487951,0.002005767,,,,,
45,686,2.13E-05,0.000487951,0.002005767,,,,,
46,699,2.13E-05,0.000487951,0.002005767,,,,,
47,715,2.13E-05,0.000487951,0.002005767,,,,,
48,768,2.13E-05,0.000487951,0.002005767,,,,,
49,780,2.13E-05,0.000487951,0.002005767,,,,,
50,786,2.13E-05,0.000487951,0.002005767,,,,,
51,850,2.13E-05,0.000487951,0.002005767,,,,,
52,980,2.13E-05,0.000487951,0.002005767,,,,,
53,997,2.13E-05,0.000487951,0.002005767,,,,,
54,1014,2.13E-05,0.000487951,0.002005767,,,,,
55,1052,2.13E-05,0.000487951,0.002005767,,,,,
56,1134,2.13E-05,0.000487951,0.002005767,,,,,
57,1176,2.13E-05,0.000487951,0.002005767,,,,,
58,1188,2.13E-05,0.000487951,0.002005767,,,,,
59,1226,2.13E-05,0.000487951,0.002005767,,,,,
60,1348,2.13E-05,0.000487951,0.002005767,,,,,
61,1356,2.13E-05,0.000487951,0.002005767,,,,,
62,1377,2.13E-05,0.000487951,0.002005767,,,,,
63,1389,2.13E-05,0.000487951,0.002005767,,,,,
64,1519,2.13E-05,0.000487951,0.002005767,,,,,
65,1526,2.13E-05,0.000487951,0.002005767,,,,,
66,1564,2.13E-05,0.000487951,0.002005767,,,,,
67,1592,2.13E-05,0.000487951,0.002005767,,,,,
68,1676,2.13E-05,0.000487951,0.002005767,,,,,
69,1721,2.13E-05,0.000487951,0.002005767,,,,,
70,1755,2.13E-05,0.000487951,0.002005767,,,,,
71,1806,2.13E-05,0.000487951,0.002005767,,,,,
72,1823,2.13E-05,0.000487951,0.002005767,,,,,
73,1841,2.13E-05,0.000487951,0.002005767,,,,,
74,1848,2.13E-05,0.000487951,0.002005767,,,,,
