,agemid,low95,median,up95,,,,,
1,42,7.20E-05,0.0011119,0.003618898,,0.00,0.03,0.11,(prop exposed per month)
2,47,7.20E-05,0.0011119,0.003618898,,,,,
3,53,7.20E-05,0.0011119,0.003618898,,,,,
4,59,7.20E-05,0.0011119,0.003618898,,,,,
5,85,7.20E-05,0.0011119,0.003618898,,,,,
6,96,7.20E-05,0.0011119,0.003618898,,,,,
7,97,7.20E-05,0.0011119,0.003618898,,,,,
8,109,7.20E-05,0.0011119,0.003618898,,,,,
9,140,7.20E-05,0.0011119,0.003618898,,,,,
10,146,7.20E-05,0.0011119,0.003618898,,,,,
11,157,7.20E-05,0.0011119,0.003618898,,,,,
12,159,7.20E-05,0.0011119,0.003618898,,,,,
13,205,7.20E-05,0.0011119,0.003618898,,,,,
14,214,7.20E-05,0.0011119,0.003618898,,,,,
15,216,7.20E-05,0.0011119,0.003618898,,,,,
16,224,7.20E-05,0.0011119,0.003618898,,,,,
17,256,7.20E-05,0.0011119,0.003618898,,,,,
18,266,7.20E-05,0.0011119,0.003618898,,,,,
19,271,7.20E-05,0.0011119,0.003618898,,,,,
20,276,7.20E-05,0.0011119,0.003618898,,,,,
21,328,7.20E-05,0.0011119,0.003618898,,,,,
22,336,7.20E-05,0.0011119,0.003618898,,,,,
23,338,7.20E-05,0.0011119,0.003618898,,,,,
24,340,7.20E-05,0.0011119,0.003618898,,,,,
25,364,7.20E-05,0.0011119,0.003618898,,,,,
26,374,7.20E-05,0.0011119,0.003618898,,,,,
27,375,7.20E-05,0.0011119,0.003618898,,,,,
28,382,7.20E-05,0.0011119,0.003618898,,,,,
29,432,7.20E-05,0.0011119,0.003618898,,,,,
30,444,7.20E-05,0.0011119,0.003618898,,,,,
31,453,7.20E-05,0.0011119,0.003618898,,,,,
32,464,7.20E-05,0.0011119,0.003618898,,,,,
33,510,7.20E-05,0.0011119,0.003618898,,,,,
34,513,7.20E-05,0.0011119,0.003618898,,,,,
35,528,7.20E-05,0.0011119,0.003618898,,,,,
36,565,7.20E-05,0.0011119,0.003618898,,,,,
37,580,7.20E-05,0.0011119,0.003618898,,,,,
38,581,7.20E-05,0.0011119,0.003618898,,,,,
39,587,7.20E-05,0.0011119,0.003618898,,,,,
40,628,7.20E-05,0.0011119,0.003618898,,,,,
41,629,7.20E-05,0.0011119,0.003618898,,,,,
42,639,7.20E-05,0.0011119,0.003618898,,,,,
43,644,7.20E-05,0.0011119,0.003618898,,,,,
44,680,7.20E-05,0.0011119,0.003618898,,,,,
45,686,7.20E-05,0.0011119,0.003618898,,,,,
46,699,7.20E-05,0.0011119,0.003618898,,,,,
47,715,7.20E-05,0.0011119,0.003618898,,,,,
48,768,7.20E-05,0.0011119,0.003618898,,,,,
49,780,7.20E-05,0.0011119,0.003618898,,,,,
50,786,7.20E-05,0.0011119,0.003618898,,,,,
51,850,7.20E-05,0.0011119,0.003618898,,,,,
52,980,7.20E-05,0.0011119,0.003618898,,,,,
53,997,7.20E-05,0.0011119,0.003618898,,,,,
54,1014,7.20E-05,0.0011119,0.003618898,,,,,
55,1052,7.20E-05,0.0011119,0.003618898,,,,,
56,1134,7.20E-05,0.0011119,0.003618898,,,,,
57,1176,7.20E-05,0.0011119,0.003618898,,,,,
58,1188,7.20E-05,0.0011119,0.003618898,,,,,
59,1226,7.20E-05,0.0011119,0.003618898,,,,,
60,1348,7.20E-05,0.0011119,0.003618898,,,,,
61,1356,7.20E-05,0.0011119,0.003618898,,,,,
62,1377,7.20E-05,0.0011119,0.003618898,,,,,
63,1389,7.20E-05,0.0011119,0.003618898,,,,,
64,1519,7.20E-05,0.0011119,0.003618898,,,,,
65,1526,7.20E-05,0.0011119,0.003618898,,,,,
66,1564,7.20E-05,0.0011119,0.003618898,,,,,
67,1592,7.20E-05,0.0011119,0.003618898,,,,,
68,1676,7.20E-05,0.0011119,0.003618898,,,,,
69,1721,7.20E-05,0.0011119,0.003618898,,,,,
70,1755,7.20E-05,0.0011119,0.003618898,,,,,
71,1806,7.20E-05,0.0011119,0.003618898,,,,,
72,1823,7.20E-05,0.0011119,0.003618898,,,,,
73,1841,7.20E-05,0.0011119,0.003618898,,,,,
74,1848,7.20E-05,0.0011119,0.003618898,,,,,
