,agemid,low95,median,up95,,,,,
1,42,0.000527703,0.006218413,0.009795613,,0.016047451,0.189101954,0.297884593,(prop exposed per month = summer + this)
2,47,0.000527703,0.006218413,0.009795613,,,,,
3,53,0.000527703,0.006218413,0.009795613,,,,,
4,59,0.000527703,0.006218413,0.009795613,,,,,
5,85,0.000527703,0.006218413,0.009795613,,,,,
6,96,0.000527703,0.006218413,0.009795613,,,,,
7,97,0.000527703,0.006218413,0.009795613,,,,,
8,109,0.000527703,0.006218413,0.009795613,,,,,
9,140,0.000527703,0.006218413,0.009795613,,,,,
10,146,0.000527703,0.006218413,0.009795613,,,,,
11,157,0.000527703,0.006218413,0.009795613,,,,,
12,159,0.000527703,0.006218413,0.009795613,,,,,
13,205,0.000527703,0.006218413,0.009795613,,,,,
14,214,0.000527703,0.006218413,0.009795613,,,,,
15,216,0.000527703,0.006218413,0.009795613,,,,,
16,224,0.000527703,0.006218413,0.009795613,,,,,
17,256,0.000527703,0.006218413,0.009795613,,,,,
18,266,0.000527703,0.006218413,0.009795613,,,,,
19,271,0.000527703,0.006218413,0.009795613,,,,,
20,276,0.000527703,0.006218413,0.009795613,,,,,
21,328,0.000527703,0.006218413,0.009795613,,,,,
22,336,0.000527703,0.006218413,0.009795613,,,,,
23,338,0.000527703,0.006218413,0.009795613,,,,,
24,340,0.000527703,0.006218413,0.009795613,,,,,
25,364,0.000527703,0.006218413,0.009795613,,,,,
26,374,0.000527703,0.006218413,0.009795613,,,,,
27,375,0.000527703,0.006218413,0.009795613,,,,,
28,382,0.000527703,0.006218413,0.009795613,,,,,
29,432,0.000527703,0.006218413,0.009795613,,,,,
30,444,0.000527703,0.006218413,0.009795613,,,,,
31,453,0.000527703,0.006218413,0.009795613,,,,,
32,464,0.000527703,0.006218413,0.009795613,,,,,
33,510,0.000527703,0.006218413,0.009795613,,,,,
34,513,0.000527703,0.006218413,0.009795613,,,,,
35,528,0.000527703,0.006218413,0.009795613,,,,,
36,565,0.000527703,0.006218413,0.009795613,,,,,
37,580,0.000527703,0.006218413,0.009795613,,,,,
38,581,0.000527703,0.006218413,0.009795613,,,,,
39,587,0.000527703,0.006218413,0.009795613,,,,,
40,628,0.000527703,0.006218413,0.009795613,,,,,
41,629,0.000527703,0.006218413,0.009795613,,,,,
42,639,0.000527703,0.006218413,0.009795613,,,,,
43,644,0.000527703,0.006218413,0.009795613,,,,,
44,680,0.000527703,0.006218413,0.009795613,,,,,
45,686,0.000527703,0.006218413,0.009795613,,,,,
46,699,0.000527703,0.006218413,0.009795613,,,,,
47,715,0.000527703,0.006218413,0.009795613,,,,,
48,768,0.000527703,0.006218413,0.009795613,,,,,
49,780,0.000527703,0.006218413,0.009795613,,,,,
50,786,0.000527703,0.006218413,0.009795613,,,,,
51,850,0.000527703,0.006218413,0.009795613,,,,,
52,980,0.000527703,0.006218413,0.009795613,,,,,
53,997,0.000527703,0.006218413,0.009795613,,,,,
54,1014,0.000527703,0.006218413,0.009795613,,,,,
55,1052,0.000527703,0.006218413,0.009795613,,,,,
56,1134,0.000527703,0.006218413,0.009795613,,,,,
57,1176,0.000527703,0.006218413,0.009795613,,,,,
58,1188,0.000527703,0.006218413,0.009795613,,,,,
59,1226,0.000527703,0.006218413,0.009795613,,,,,
60,1348,0.000527703,0.006218413,0.009795613,,,,,
61,1356,0.000527703,0.006218413,0.009795613,,,,,
62,1377,0.000527703,0.006218413,0.009795613,,,,,
63,1389,0.000527703,0.006218413,0.009795613,,,,,
64,1519,0.000527703,0.006218413,0.009795613,,,,,
65,1526,0.000527703,0.006218413,0.009795613,,,,,
66,1564,0.000527703,0.006218413,0.009795613,,,,,
67,1592,0.000527703,0.006218413,0.009795613,,,,,
68,1676,0.000527703,0.006218413,0.009795613,,,,,
69,1721,0.000527703,0.006218413,0.009795613,,,,,
70,1755,0.000527703,0.006218413,0.009795613,,,,,
71,1806,0.000527703,0.006218413,0.009795613,,,,,
72,1823,0.000527703,0.006218413,0.009795613,,,,,
73,1841,0.000527703,0.006218413,0.009795613,,,,,
74,1848,0.000527703,0.006218413,0.009795613,,,,,
