,agemid,low95,median,up95,,,,,
1,42,0.003476361,0.005227534,0.009882614,,287.6571062,191.2947821,101.1878029,(duration of immunity in days)
2,47,0.003476361,0.005227534,0.009882614,,,,,
3,53,0.003476361,0.005227534,0.009882614,,,,,
4,59,0.003476361,0.005227534,0.009882614,,,,,
5,85,0.003476361,0.005227534,0.009882614,,,,,
6,96,0.003476361,0.005227534,0.009882614,,,,,
7,97,0.003476361,0.005227534,0.009882614,,,,,
8,109,0.003476361,0.005227534,0.009882614,,,,,
9,140,0.003476361,0.005227534,0.009882614,,,,,
10,146,0.003476361,0.005227534,0.009882614,,,,,
11,157,0.003476361,0.005227534,0.009882614,,,,,
12,159,0.003476361,0.005227534,0.009882614,,,,,
13,205,0.003476361,0.005227534,0.009882614,,,,,
14,214,0.003476361,0.005227534,0.009882614,,,,,
15,216,0.003476361,0.005227534,0.009882614,,,,,
16,224,0.003476361,0.005227534,0.009882614,,,,,
17,256,0.003476361,0.005227534,0.009882614,,,,,
18,266,0.003476361,0.005227534,0.009882614,,,,,
19,271,0.003476361,0.005227534,0.009882614,,,,,
20,276,0.003476361,0.005227534,0.009882614,,,,,
21,328,0.003476361,0.005227534,0.009882614,,,,,
22,336,0.003476361,0.005227534,0.009882614,,,,,
23,338,0.003476361,0.005227534,0.009882614,,,,,
24,340,0.003476361,0.005227534,0.009882614,,,,,
25,364,0.003476361,0.005227534,0.009882614,,,,,
26,374,0.003476361,0.005227534,0.009882614,,,,,
27,375,0.003476361,0.005227534,0.009882614,,,,,
28,382,0.003476361,0.005227534,0.009882614,,,,,
29,432,0.003476361,0.005227534,0.009882614,,,,,
30,444,0.003476361,0.005227534,0.009882614,,,,,
31,453,0.003476361,0.005227534,0.009882614,,,,,
32,464,0.003476361,0.005227534,0.009882614,,,,,
33,510,0.003476361,0.005227534,0.009882614,,,,,
34,513,0.003476361,0.005227534,0.009882614,,,,,
35,528,0.003476361,0.005227534,0.009882614,,,,,
36,565,0.003476361,0.005227534,0.009882614,,,,,
37,580,0.003476361,0.005227534,0.009882614,,,,,
38,581,0.003476361,0.005227534,0.009882614,,,,,
39,587,0.003476361,0.005227534,0.009882614,,,,,
40,628,0.003476361,0.005227534,0.009882614,,,,,
41,629,0.003476361,0.005227534,0.009882614,,,,,
42,639,0.003476361,0.005227534,0.009882614,,,,,
43,644,0.003476361,0.005227534,0.009882614,,,,,
44,680,0.003476361,0.005227534,0.009882614,,,,,
45,686,0.003476361,0.005227534,0.009882614,,,,,
46,699,0.003476361,0.005227534,0.009882614,,,,,
47,715,0.003476361,0.005227534,0.009882614,,,,,
48,768,0.003476361,0.005227534,0.009882614,,,,,
49,780,0.003476361,0.005227534,0.009882614,,,,,
50,786,0.003476361,0.005227534,0.009882614,,,,,
51,850,0.003476361,0.005227534,0.009882614,,,,,
52,980,0.003476361,0.005227534,0.009882614,,,,,
53,997,0.003476361,0.005227534,0.009882614,,,,,
54,1014,0.003476361,0.005227534,0.009882614,,,,,
55,1052,0.003476361,0.005227534,0.009882614,,,,,
56,1134,0.003476361,0.005227534,0.009882614,,,,,
57,1176,0.003476361,0.005227534,0.009882614,,,,,
58,1188,0.003476361,0.005227534,0.009882614,,,,,
59,1226,0.003476361,0.005227534,0.009882614,,,,,
60,1348,0.003476361,0.005227534,0.009882614,,,,,
61,1356,0.003476361,0.005227534,0.009882614,,,,,
62,1377,0.003476361,0.005227534,0.009882614,,,,,
63,1389,0.003476361,0.005227534,0.009882614,,,,,
64,1519,0.003476361,0.005227534,0.009882614,,,,,
65,1526,0.003476361,0.005227534,0.009882614,,,,,
66,1564,0.003476361,0.005227534,0.009882614,,,,,
67,1592,0.003476361,0.005227534,0.009882614,,,,,
68,1676,0.003476361,0.005227534,0.009882614,,,,,
69,1721,0.003476361,0.005227534,0.009882614,,,,,
70,1755,0.003476361,0.005227534,0.009882614,,,,,
71,1806,0.003476361,0.005227534,0.009882614,,,,,
72,1823,0.003476361,0.005227534,0.009882614,,,,,
73,1841,0.003476361,0.005227534,0.009882614,,,,,
74,1848,0.003476361,0.005227534,0.009882614,,,,,
