,agemid,low95,median,up95,,,,,
1,42,6.55E-05,0.001563437,0.005448331,,0.00,0.05,0.17,(prop exposed per month)
2,47,6.55E-05,0.001563437,0.005448331,,,,,
3,53,6.55E-05,0.001563437,0.005448331,,,,,
4,59,6.55E-05,0.001563437,0.005448331,,,,,
5,85,6.55E-05,0.001563437,0.005448331,,,,,
6,96,6.55E-05,0.001563437,0.005448331,,,,,
7,97,6.55E-05,0.001563437,0.005448331,,,,,
8,109,6.55E-05,0.001563437,0.005448331,,,,,
9,140,6.55E-05,0.001563437,0.005448331,,,,,
10,146,6.55E-05,0.001563437,0.005448331,,,,,
11,157,6.55E-05,0.001563437,0.005448331,,,,,
12,159,6.55E-05,0.001563437,0.005448331,,,,,
13,205,6.55E-05,0.001563437,0.005448331,,,,,
14,214,6.55E-05,0.001563437,0.005448331,,,,,
15,216,6.55E-05,0.001563437,0.005448331,,,,,
16,224,6.55E-05,0.001563437,0.005448331,,,,,
17,256,6.55E-05,0.001563437,0.005448331,,,,,
18,266,6.55E-05,0.001563437,0.005448331,,,,,
19,271,6.55E-05,0.001563437,0.005448331,,,,,
20,276,6.55E-05,0.001563437,0.005448331,,,,,
21,328,6.55E-05,0.001563437,0.005448331,,,,,
22,336,6.55E-05,0.001563437,0.005448331,,,,,
23,338,6.55E-05,0.001563437,0.005448331,,,,,
24,340,6.55E-05,0.001563437,0.005448331,,,,,
25,364,6.55E-05,0.001563437,0.005448331,,,,,
26,374,6.55E-05,0.001563437,0.005448331,,,,,
27,375,6.55E-05,0.001563437,0.005448331,,,,,
28,382,6.55E-05,0.001563437,0.005448331,,,,,
29,432,6.55E-05,0.001563437,0.005448331,,,,,
30,444,6.55E-05,0.001563437,0.005448331,,,,,
31,453,6.55E-05,0.001563437,0.005448331,,,,,
32,464,6.55E-05,0.001563437,0.005448331,,,,,
33,510,6.55E-05,0.001563437,0.005448331,,,,,
34,513,6.55E-05,0.001563437,0.005448331,,,,,
35,528,6.55E-05,0.001563437,0.005448331,,,,,
36,565,6.55E-05,0.001563437,0.005448331,,,,,
37,580,6.55E-05,0.001563437,0.005448331,,,,,
38,581,6.55E-05,0.001563437,0.005448331,,,,,
39,587,6.55E-05,0.001563437,0.005448331,,,,,
40,628,6.55E-05,0.001563437,0.005448331,,,,,
41,629,6.55E-05,0.001563437,0.005448331,,,,,
42,639,6.55E-05,0.001563437,0.005448331,,,,,
43,644,6.55E-05,0.001563437,0.005448331,,,,,
44,680,6.55E-05,0.001563437,0.005448331,,,,,
45,686,6.55E-05,0.001563437,0.005448331,,,,,
46,699,6.55E-05,0.001563437,0.005448331,,,,,
47,715,6.55E-05,0.001563437,0.005448331,,,,,
48,768,6.55E-05,0.001563437,0.005448331,,,,,
49,780,6.55E-05,0.001563437,0.005448331,,,,,
50,786,6.55E-05,0.001563437,0.005448331,,,,,
51,850,6.55E-05,0.001563437,0.005448331,,,,,
52,980,6.55E-05,0.001563437,0.005448331,,,,,
53,997,6.55E-05,0.001563437,0.005448331,,,,,
54,1014,6.55E-05,0.001563437,0.005448331,,,,,
55,1052,6.55E-05,0.001563437,0.005448331,,,,,
56,1134,6.55E-05,0.001563437,0.005448331,,,,,
57,1176,6.55E-05,0.001563437,0.005448331,,,,,
58,1188,6.55E-05,0.001563437,0.005448331,,,,,
59,1226,6.55E-05,0.001563437,0.005448331,,,,,
60,1348,6.55E-05,0.001563437,0.005448331,,,,,
61,1356,6.55E-05,0.001563437,0.005448331,,,,,
62,1377,6.55E-05,0.001563437,0.005448331,,,,,
63,1389,6.55E-05,0.001563437,0.005448331,,,,,
64,1519,6.55E-05,0.001563437,0.005448331,,,,,
65,1526,6.55E-05,0.001563437,0.005448331,,,,,
66,1564,6.55E-05,0.001563437,0.005448331,,,,,
67,1592,6.55E-05,0.001563437,0.005448331,,,,,
68,1676,6.55E-05,0.001563437,0.005448331,,,,,
69,1721,6.55E-05,0.001563437,0.005448331,,,,,
70,1755,6.55E-05,0.001563437,0.005448331,,,,,
71,1806,6.55E-05,0.001563437,0.005448331,,,,,
72,1823,6.55E-05,0.001563437,0.005448331,,,,,
73,1841,6.55E-05,0.001563437,0.005448331,,,,,
74,1848,6.55E-05,0.001563437,0.005448331,,,,,
