,agemid,low95,median,up95,,,,,
1,42,0.000151907,0.002921107,0.009209675,,0.004619498,0.08883087,0.280066216,(prop exposed = summer + this)
2,47,0.000151907,0.002921107,0.009209675,,,,,
3,53,0.000151907,0.002921107,0.009209675,,,,,
4,59,0.000151907,0.002921107,0.009209675,,,,,
5,85,0.000151907,0.002921107,0.009209675,,,,,
6,96,0.000151907,0.002921107,0.009209675,,,,,
7,97,0.000151907,0.002921107,0.009209675,,,,,
8,109,0.000151907,0.002921107,0.009209675,,,,,
9,140,0.000151907,0.002921107,0.009209675,,,,,
10,146,0.000151907,0.002921107,0.009209675,,,,,
11,157,0.000151907,0.002921107,0.009209675,,,,,
12,159,0.000151907,0.002921107,0.009209675,,,,,
13,205,0.000151907,0.002921107,0.009209675,,,,,
14,214,0.000151907,0.002921107,0.009209675,,,,,
15,216,0.000151907,0.002921107,0.009209675,,,,,
16,224,0.000151907,0.002921107,0.009209675,,,,,
17,256,0.000151907,0.002921107,0.009209675,,,,,
18,266,0.000151907,0.002921107,0.009209675,,,,,
19,271,0.000151907,0.002921107,0.009209675,,,,,
20,276,0.000151907,0.002921107,0.009209675,,,,,
21,328,0.000151907,0.002921107,0.009209675,,,,,
22,336,0.000151907,0.002921107,0.009209675,,,,,
23,338,0.000151907,0.002921107,0.009209675,,,,,
24,340,0.000151907,0.002921107,0.009209675,,,,,
25,364,0.000151907,0.002921107,0.009209675,,,,,
26,374,0.000151907,0.002921107,0.009209675,,,,,
27,375,0.000151907,0.002921107,0.009209675,,,,,
28,382,0.000151907,0.002921107,0.009209675,,,,,
29,432,0.000151907,0.002921107,0.009209675,,,,,
30,444,0.000151907,0.002921107,0.009209675,,,,,
31,453,0.000151907,0.002921107,0.009209675,,,,,
32,464,0.000151907,0.002921107,0.009209675,,,,,
33,510,0.000151907,0.002921107,0.009209675,,,,,
34,513,0.000151907,0.002921107,0.009209675,,,,,
35,528,0.000151907,0.002921107,0.009209675,,,,,
36,565,0.000151907,0.002921107,0.009209675,,,,,
37,580,0.000151907,0.002921107,0.009209675,,,,,
38,581,0.000151907,0.002921107,0.009209675,,,,,
39,587,0.000151907,0.002921107,0.009209675,,,,,
40,628,0.000151907,0.002921107,0.009209675,,,,,
41,629,0.000151907,0.002921107,0.009209675,,,,,
42,639,0.000151907,0.002921107,0.009209675,,,,,
43,644,0.000151907,0.002921107,0.009209675,,,,,
44,680,0.000151907,0.002921107,0.009209675,,,,,
45,686,0.000151907,0.002921107,0.009209675,,,,,
46,699,0.000151907,0.002921107,0.009209675,,,,,
47,715,0.000151907,0.002921107,0.009209675,,,,,
48,768,0.000151907,0.002921107,0.009209675,,,,,
49,780,0.000151907,0.002921107,0.009209675,,,,,
50,786,0.000151907,0.002921107,0.009209675,,,,,
51,850,0.000151907,0.002921107,0.009209675,,,,,
52,980,0.000151907,0.002921107,0.009209675,,,,,
53,997,0.000151907,0.002921107,0.009209675,,,,,
54,1014,0.000151907,0.002921107,0.009209675,,,,,
55,1052,0.000151907,0.002921107,0.009209675,,,,,
56,1134,0.000151907,0.002921107,0.009209675,,,,,
57,1176,0.000151907,0.002921107,0.009209675,,,,,
58,1188,0.000151907,0.002921107,0.009209675,,,,,
59,1226,0.000151907,0.002921107,0.009209675,,,,,
60,1348,0.000151907,0.002921107,0.009209675,,,,,
61,1356,0.000151907,0.002921107,0.009209675,,,,,
62,1377,0.000151907,0.002921107,0.009209675,,,,,
63,1389,0.000151907,0.002921107,0.009209675,,,,,
64,1519,0.000151907,0.002921107,0.009209675,,,,,
65,1526,0.000151907,0.002921107,0.009209675,,,,,
66,1564,0.000151907,0.002921107,0.009209675,,,,,
67,1592,0.000151907,0.002921107,0.009209675,,,,,
68,1676,0.000151907,0.002921107,0.009209675,,,,,
69,1721,0.000151907,0.002921107,0.009209675,,,,,
70,1755,0.000151907,0.002921107,0.009209675,,,,,
71,1806,0.000151907,0.002921107,0.009209675,,,,,
72,1823,0.000151907,0.002921107,0.009209675,,,,,
73,1841,0.000151907,0.002921107,0.009209675,,,,,
74,1848,0.000151907,0.002921107,0.009209675,,,,,
