,agemid,low95,median,up95,,,,,
1,42,0.000370528,0.005473818,0.009763566,,0.011267767,0.166458817,0.296910035,(prop exposed per month = summer + this)
2,47,0.000370528,0.005473818,0.009763566,,,,,
3,53,0.000370528,0.005473818,0.009763566,,,,,
4,59,0.000370528,0.005473818,0.009763566,,,,,
5,85,0.000370528,0.005473818,0.009763566,,,,,
6,96,0.000370528,0.005473818,0.009763566,,,,,
7,97,0.000370528,0.005473818,0.009763566,,,,,
8,109,0.000370528,0.005473818,0.009763566,,,,,
9,140,0.000370528,0.005473818,0.009763566,,,,,
10,146,0.000370528,0.005473818,0.009763566,,,,,
11,157,0.000370528,0.005473818,0.009763566,,,,,
12,159,0.000370528,0.005473818,0.009763566,,,,,
13,205,0.000370528,0.005473818,0.009763566,,,,,
14,214,0.000370528,0.005473818,0.009763566,,,,,
15,216,0.000370528,0.005473818,0.009763566,,,,,
16,224,0.000370528,0.005473818,0.009763566,,,,,
17,256,0.000370528,0.005473818,0.009763566,,,,,
18,266,0.000370528,0.005473818,0.009763566,,,,,
19,271,0.000370528,0.005473818,0.009763566,,,,,
20,276,0.000370528,0.005473818,0.009763566,,,,,
21,328,0.000370528,0.005473818,0.009763566,,,,,
22,336,0.000370528,0.005473818,0.009763566,,,,,
23,338,0.000370528,0.005473818,0.009763566,,,,,
24,340,0.000370528,0.005473818,0.009763566,,,,,
25,364,0.000370528,0.005473818,0.009763566,,,,,
26,374,0.000370528,0.005473818,0.009763566,,,,,
27,375,0.000370528,0.005473818,0.009763566,,,,,
28,382,0.000370528,0.005473818,0.009763566,,,,,
29,432,0.000370528,0.005473818,0.009763566,,,,,
30,444,0.000370528,0.005473818,0.009763566,,,,,
31,453,0.000370528,0.005473818,0.009763566,,,,,
32,464,0.000370528,0.005473818,0.009763566,,,,,
33,510,0.000370528,0.005473818,0.009763566,,,,,
34,513,0.000370528,0.005473818,0.009763566,,,,,
35,528,0.000370528,0.005473818,0.009763566,,,,,
36,565,0.000370528,0.005473818,0.009763566,,,,,
37,580,0.000370528,0.005473818,0.009763566,,,,,
38,581,0.000370528,0.005473818,0.009763566,,,,,
39,587,0.000370528,0.005473818,0.009763566,,,,,
40,628,0.000370528,0.005473818,0.009763566,,,,,
41,629,0.000370528,0.005473818,0.009763566,,,,,
42,639,0.000370528,0.005473818,0.009763566,,,,,
43,644,0.000370528,0.005473818,0.009763566,,,,,
44,680,0.000370528,0.005473818,0.009763566,,,,,
45,686,0.000370528,0.005473818,0.009763566,,,,,
46,699,0.000370528,0.005473818,0.009763566,,,,,
47,715,0.000370528,0.005473818,0.009763566,,,,,
48,768,0.000370528,0.005473818,0.009763566,,,,,
49,780,0.000370528,0.005473818,0.009763566,,,,,
50,786,0.000370528,0.005473818,0.009763566,,,,,
51,850,0.000370528,0.005473818,0.009763566,,,,,
52,980,0.000370528,0.005473818,0.009763566,,,,,
53,997,0.000370528,0.005473818,0.009763566,,,,,
54,1014,0.000370528,0.005473818,0.009763566,,,,,
55,1052,0.000370528,0.005473818,0.009763566,,,,,
56,1134,0.000370528,0.005473818,0.009763566,,,,,
57,1176,0.000370528,0.005473818,0.009763566,,,,,
58,1188,0.000370528,0.005473818,0.009763566,,,,,
59,1226,0.000370528,0.005473818,0.009763566,,,,,
60,1348,0.000370528,0.005473818,0.009763566,,,,,
61,1356,0.000370528,0.005473818,0.009763566,,,,,
62,1377,0.000370528,0.005473818,0.009763566,,,,,
63,1389,0.000370528,0.005473818,0.009763566,,,,,
64,1519,0.000370528,0.005473818,0.009763566,,,,,
65,1526,0.000370528,0.005473818,0.009763566,,,,,
66,1564,0.000370528,0.005473818,0.009763566,,,,,
67,1592,0.000370528,0.005473818,0.009763566,,,,,
68,1676,0.000370528,0.005473818,0.009763566,,,,,
69,1721,0.000370528,0.005473818,0.009763566,,,,,
70,1755,0.000370528,0.005473818,0.009763566,,,,,
71,1806,0.000370528,0.005473818,0.009763566,,,,,
72,1823,0.000370528,0.005473818,0.009763566,,,,,
73,1841,0.000370528,0.005473818,0.009763566,,,,,
74,1848,0.000370528,0.005473818,0.009763566,,,,,
