"","agemid","low95","median","up95"
"1",42,1e-12,1e-12,1e-12
"2",47,1.26457205610974e-05,0.000150396161867749,0.000787970232420318
"3",53,5.81869671169999e-05,0.000696192508048489,0.00325138467536363
"4",59,0.000130666108154463,0.00158427209307891,0.00664324542969134
"5",85,0.000736208422528138,0.00868021054454813,0.0265964483114244
"6",96,0.00406534665341545,0.0146621550170168,0.0372635958033722
"7",97,0.0048337963401231,0.015524772934565,0.0391845562025194
"8",109,0.00902417955092733,0.0250283246847717,0.0610111111189954
"9",140,0.0175269020586739,0.0508020598003576,0.127775142233369
"10",146,0.0189847318158163,0.0562472756272291,0.140475112069198
"11",157,0.0214761257470116,0.066080012090338,0.164305669566257
"12",159,0.0219233425886552,0.0679442895606149,0.168342876260591
"13",205,0.16071725559988,0.219801968214418,0.309538364755495
"14",214,0.202372516361452,0.267535646814499,0.345862010071621
"15",216,0.212369885900897,0.277636521550577,0.35393331039709
"16",224,0.247421008373259,0.317894280453629,0.388229675254624
"17",256,0.366152831764321,0.454107233019292,0.510293934418987
"18",266,0.396546142329499,0.490356936204025,0.547340661958404
"19",271,0.414269852670832,0.507560530334789,0.565416850147016
"20",276,0.425744326541888,0.517737351666497,0.575808993833702
"21",328,0.476050943258468,0.532794302876862,0.587570683880091
"22",336,0.482910778276088,0.535590008609606,0.58832336906166
"23",338,0.484400597906059,0.536421947645842,0.588453264410944
"24",340,0.485610477526232,0.537248947869623,0.588705428904035
"25",364,0.494191064012018,0.546330363854401,0.594844858490809
"26",374,0.499311078998989,0.54874980182608,0.597195035043579
"27",375,0.499790143160153,0.548988459944031,0.597432106830611
"28",382,0.503225292602267,0.550415214195367,0.598977336645201
"29",432,0.52146240667015,0.564901855205205,0.609244901240236
"30",444,0.524674688568711,0.568373048843395,0.613218806046972
"31",453,0.526657864891882,0.570569330135161,0.615694048775387
"32",464,0.531469024247598,0.575906575561835,0.620335740616603
"33",510,0.549797875370756,0.597574185965371,0.6492701786226
"34",513,0.550483101279024,0.599391834184204,0.651602058763772
"35",528,0.553709088597244,0.606956585783944,0.661378621717612
"36",565,0.607592959988544,0.660942326797294,0.715739384964335
"37",580,0.643619999407599,0.695750705950984,0.746438419787899
"38",581,0.646225045305715,0.697942733738115,0.748730778305615
"39",587,0.659602109264113,0.710977173474433,0.761087730715047
"40",628,0.732286653076667,0.785244567623524,0.83356155312091
"41",629,0.733704032525878,0.786720062890434,0.83498823991324
"42",639,0.747641392304878,0.801264961777958,0.848575461172782
"43",644,0.749090203698935,0.801808799171727,0.849274286235867
"44",680,0.756696909535717,0.807494598137328,0.852361588193327
"45",686,0.757691415943501,0.808707402371822,0.85295023554805
"46",699,0.759843222451998,0.810783047284592,0.854548921715846
"47",715,0.761975393322701,0.812971551546159,0.85595360383327
"48",768,0.771214377619269,0.819069980911886,0.860574747135968
"49",780,0.772858461435423,0.820555077947425,0.862652848502618
"50",786,0.774015506004289,0.821405451397938,0.863121436238304
"51",850,0.785797170881142,0.831355992031407,0.871730933281048
"52",980,0.865399941567843,0.903995462986329,0.93566404779463
"53",997,0.876542250574843,0.915138822412359,0.944713524991211
"54",1014,0.882047835920991,0.919681621125482,0.948559194633703
"55",1052,0.885977754712605,0.921888493190984,0.950164445893922
"56",1134,0.892357563274693,0.926012759480163,0.953041757332178
"57",1176,0.894549929387648,0.928235046829575,0.954363714527606
"58",1188,0.895157114587639,0.928877145630276,0.954777151784717
"59",1226,0.900214422893365,0.931787089748896,0.957518243665112
"60",1348,0.937248211971977,0.961665977718014,0.978605135599962
"61",1356,0.9399489831104,0.963643455414874,0.980100228584866
"62",1377,0.944183421573248,0.967089522881762,0.982509989473341
"63",1389,0.944864479852243,0.96734547987116,0.982626132583768
"64",1519,0.949633196258983,0.970324226806316,0.984153806993434
"65",1526,0.949772749162346,0.970455606010461,0.984268135932004
"66",1564,0.951373116566081,0.971246224534966,0.985118536370637
"67",1592,0.95285203568194,0.972118319710066,0.985487973631535
"68",1676,0.963445725044982,0.979323717397005,0.989794939047535
"69",1721,0.971513629955442,0.985159038817614,0.993149788287573
"70",1755,0.974101259070829,0.986679342784353,0.994101355853482
"71",1806,0.975053955400688,0.987166445109201,0.994382908596027
"72",1823,0.975296044426815,0.987334472346462,0.994493363831638
"73",1841,0.975604907684805,0.987483728274962,0.99452338583091
"74",1848,0.975698907172974,0.987537232213186,0.994531350115273
