,agemid,low95,median,up95,,,,,,
1,42,2.05E-05,0.000591163,0.002433599,,,0.00,0.02,0.07,(prop exposed per month)
2,47,2.05E-05,0.000591163,0.002433599,,,,,,
3,53,2.05E-05,0.000591163,0.002433599,,,,,,
4,59,2.05E-05,0.000591163,0.002433599,,,,,,
5,85,2.05E-05,0.000591163,0.002433599,,,,,,
6,96,2.05E-05,0.000591163,0.002433599,,,,,,
7,97,2.05E-05,0.000591163,0.002433599,,,,,,
8,109,2.05E-05,0.000591163,0.002433599,,,,,,
9,140,2.05E-05,0.000591163,0.002433599,,,,,,
10,146,2.05E-05,0.000591163,0.002433599,,,,,,
11,157,2.05E-05,0.000591163,0.002433599,,,,,,
12,159,2.05E-05,0.000591163,0.002433599,,,,,,
13,205,2.05E-05,0.000591163,0.002433599,,,,,,
14,214,2.05E-05,0.000591163,0.002433599,,,,,,
15,216,2.05E-05,0.000591163,0.002433599,,,,,,
16,224,2.05E-05,0.000591163,0.002433599,,,,,,
17,256,2.05E-05,0.000591163,0.002433599,,,,,,
18,266,2.05E-05,0.000591163,0.002433599,,,,,,
19,271,2.05E-05,0.000591163,0.002433599,,,,,,
20,276,2.05E-05,0.000591163,0.002433599,,,,,,
21,328,2.05E-05,0.000591163,0.002433599,,,,,,
22,336,2.05E-05,0.000591163,0.002433599,,,,,,
23,338,2.05E-05,0.000591163,0.002433599,,,,,,
24,340,2.05E-05,0.000591163,0.002433599,,,,,,
25,364,2.05E-05,0.000591163,0.002433599,,,,,,
26,374,2.05E-05,0.000591163,0.002433599,,,,,,
27,375,2.05E-05,0.000591163,0.002433599,,,,,,
28,382,2.05E-05,0.000591163,0.002433599,,,,,,
29,432,2.05E-05,0.000591163,0.002433599,,,,,,
30,444,2.05E-05,0.000591163,0.002433599,,,,,,
31,453,2.05E-05,0.000591163,0.002433599,,,,,,
32,464,2.05E-05,0.000591163,0.002433599,,,,,,
33,510,2.05E-05,0.000591163,0.002433599,,,,,,
34,513,2.05E-05,0.000591163,0.002433599,,,,,,
35,528,2.05E-05,0.000591163,0.002433599,,,,,,
36,565,2.05E-05,0.000591163,0.002433599,,,,,,
37,580,2.05E-05,0.000591163,0.002433599,,,,,,
38,581,2.05E-05,0.000591163,0.002433599,,,,,,
39,587,2.05E-05,0.000591163,0.002433599,,,,,,
40,628,2.05E-05,0.000591163,0.002433599,,,,,,
41,629,2.05E-05,0.000591163,0.002433599,,,,,,
42,639,2.05E-05,0.000591163,0.002433599,,,,,,
43,644,2.05E-05,0.000591163,0.002433599,,,,,,
44,680,2.05E-05,0.000591163,0.002433599,,,,,,
45,686,2.05E-05,0.000591163,0.002433599,,,,,,
46,699,2.05E-05,0.000591163,0.002433599,,,,,,
47,715,2.05E-05,0.000591163,0.002433599,,,,,,
48,768,2.05E-05,0.000591163,0.002433599,,,,,,
49,780,2.05E-05,0.000591163,0.002433599,,,,,,
50,786,2.05E-05,0.000591163,0.002433599,,,,,,
51,850,2.05E-05,0.000591163,0.002433599,,,,,,
52,980,2.05E-05,0.000591163,0.002433599,,,,,,
53,997,2.05E-05,0.000591163,0.002433599,,,,,,
54,1014,2.05E-05,0.000591163,0.002433599,,,,,,
55,1052,2.05E-05,0.000591163,0.002433599,,,,,,
56,1134,2.05E-05,0.000591163,0.002433599,,,,,,
57,1176,2.05E-05,0.000591163,0.002433599,,,,,,
58,1188,2.05E-05,0.000591163,0.002433599,,,,,,
59,1226,2.05E-05,0.000591163,0.002433599,,,,,,
60,1348,2.05E-05,0.000591163,0.002433599,,,,,,
61,1356,2.05E-05,0.000591163,0.002433599,,,,,,
62,1377,2.05E-05,0.000591163,0.002433599,,,,,,
63,1389,2.05E-05,0.000591163,0.002433599,,,,,,
64,1519,2.05E-05,0.000591163,0.002433599,,,,,,
65,1526,2.05E-05,0.000591163,0.002433599,,,,,,
66,1564,2.05E-05,0.000591163,0.002433599,,,,,,
67,1592,2.05E-05,0.000591163,0.002433599,,,,,,
68,1676,2.05E-05,0.000591163,0.002433599,,,,,,
69,1721,2.05E-05,0.000591163,0.002433599,,,,,,
70,1755,2.05E-05,0.000591163,0.002433599,,,,,,
71,1806,2.05E-05,0.000591163,0.002433599,,,,,,
72,1823,2.05E-05,0.000591163,0.002433599,,,,,,
73,1841,2.05E-05,0.000591163,0.002433599,,,,,,
74,1848,2.05E-05,0.000591163,0.002433599,,,,,,
