,agemid,low95,median,up95,,,,,
1,42,0.004720421,0.007169238,0.009463553,,0.143548006,0.218016518,0.287786648,(prop exposed per month)
2,47,0.004720421,0.007169238,0.009463553,,,,,
3,53,0.004720421,0.007169238,0.009463553,,,,,
4,59,0.004720421,0.007169238,0.009463553,,,,,
5,85,0.004720421,0.007169238,0.009463553,,,,,
6,96,0.004720421,0.007169238,0.009463553,,,,,
7,97,0.004720421,0.007169238,0.009463553,,,,,
8,109,0.004720421,0.007169238,0.009463553,,,,,
9,140,0.004720421,0.007169238,0.009463553,,,,,
10,146,0.004720421,0.007169238,0.009463553,,,,,
11,157,0.004720421,0.007169238,0.009463553,,,,,
12,159,0.004720421,0.007169238,0.009463553,,,,,
13,205,0.004720421,0.007169238,0.009463553,,,,,
14,214,0.004720421,0.007169238,0.009463553,,,,,
15,216,0.004720421,0.007169238,0.009463553,,,,,
16,224,0.004720421,0.007169238,0.009463553,,,,,
17,256,0.004720421,0.007169238,0.009463553,,,,,
18,266,0.004720421,0.007169238,0.009463553,,,,,
19,271,0.004720421,0.007169238,0.009463553,,,,,
20,276,0.004720421,0.007169238,0.009463553,,,,,
21,328,0.004720421,0.007169238,0.009463553,,,,,
22,336,0.004720421,0.007169238,0.009463553,,,,,
23,338,0.004720421,0.007169238,0.009463553,,,,,
24,340,0.004720421,0.007169238,0.009463553,,,,,
25,364,0.004720421,0.007169238,0.009463553,,,,,
26,374,0.004720421,0.007169238,0.009463553,,,,,
27,375,0.004720421,0.007169238,0.009463553,,,,,
28,382,0.004720421,0.007169238,0.009463553,,,,,
29,432,0.004720421,0.007169238,0.009463553,,,,,
30,444,0.004720421,0.007169238,0.009463553,,,,,
31,453,0.004720421,0.007169238,0.009463553,,,,,
32,464,0.004720421,0.007169238,0.009463553,,,,,
33,510,0.004720421,0.007169238,0.009463553,,,,,
34,513,0.004720421,0.007169238,0.009463553,,,,,
35,528,0.004720421,0.007169238,0.009463553,,,,,
36,565,0.004720421,0.007169238,0.009463553,,,,,
37,580,0.004720421,0.007169238,0.009463553,,,,,
38,581,0.004720421,0.007169238,0.009463553,,,,,
39,587,0.004720421,0.007169238,0.009463553,,,,,
40,628,0.004720421,0.007169238,0.009463553,,,,,
41,629,0.004720421,0.007169238,0.009463553,,,,,
42,639,0.004720421,0.007169238,0.009463553,,,,,
43,644,0.004720421,0.007169238,0.009463553,,,,,
44,680,0.004720421,0.007169238,0.009463553,,,,,
45,686,0.004720421,0.007169238,0.009463553,,,,,
46,699,0.004720421,0.007169238,0.009463553,,,,,
47,715,0.004720421,0.007169238,0.009463553,,,,,
48,768,0.004720421,0.007169238,0.009463553,,,,,
49,780,0.004720421,0.007169238,0.009463553,,,,,
50,786,0.004720421,0.007169238,0.009463553,,,,,
51,850,0.004720421,0.007169238,0.009463553,,,,,
52,980,0.004720421,0.007169238,0.009463553,,,,,
53,997,0.004720421,0.007169238,0.009463553,,,,,
54,1014,0.004720421,0.007169238,0.009463553,,,,,
55,1052,0.004720421,0.007169238,0.009463553,,,,,
56,1134,0.004720421,0.007169238,0.009463553,,,,,
57,1176,0.004720421,0.007169238,0.009463553,,,,,
58,1188,0.004720421,0.007169238,0.009463553,,,,,
59,1226,0.004720421,0.007169238,0.009463553,,,,,
60,1348,0.004720421,0.007169238,0.009463553,,,,,
61,1356,0.004720421,0.007169238,0.009463553,,,,,
62,1377,0.004720421,0.007169238,0.009463553,,,,,
63,1389,0.004720421,0.007169238,0.009463553,,,,,
64,1519,0.004720421,0.007169238,0.009463553,,,,,
65,1526,0.004720421,0.007169238,0.009463553,,,,,
66,1564,0.004720421,0.007169238,0.009463553,,,,,
67,1592,0.004720421,0.007169238,0.009463553,,,,,
68,1676,0.004720421,0.007169238,0.009463553,,,,,
69,1721,0.004720421,0.007169238,0.009463553,,,,,
70,1755,0.004720421,0.007169238,0.009463553,,,,,
71,1806,0.004720421,0.007169238,0.009463553,,,,,
72,1823,0.004720421,0.007169238,0.009463553,,,,,
73,1841,0.004720421,0.007169238,0.009463553,,,,,
74,1848,0.004720421,0.007169238,0.009463553,,,,,
