,agemid,low95,median,up95,,,,,
1,42,5.91E-05,0.000543745,0.001565672,,0.00,0.02,0.05,(prop exposed per month)
2,47,5.91E-05,0.000543745,0.001565672,,,,,
3,53,5.91E-05,0.000543745,0.001565672,,,,,
4,59,5.91E-05,0.000543745,0.001565672,,,,,
5,85,5.91E-05,0.000543745,0.001565672,,,,,
6,96,5.91E-05,0.000543745,0.001565672,,,,,
7,97,5.91E-05,0.000543745,0.001565672,,,,,
8,109,5.91E-05,0.000543745,0.001565672,,,,,
9,140,5.91E-05,0.000543745,0.001565672,,,,,
10,146,5.91E-05,0.000543745,0.001565672,,,,,
11,157,5.91E-05,0.000543745,0.001565672,,,,,
12,159,5.91E-05,0.000543745,0.001565672,,,,,
13,205,5.91E-05,0.000543745,0.001565672,,,,,
14,214,5.91E-05,0.000543745,0.001565672,,,,,
15,216,5.91E-05,0.000543745,0.001565672,,,,,
16,224,5.91E-05,0.000543745,0.001565672,,,,,
17,256,5.91E-05,0.000543745,0.001565672,,,,,
18,266,5.91E-05,0.000543745,0.001565672,,,,,
19,271,5.91E-05,0.000543745,0.001565672,,,,,
20,276,5.91E-05,0.000543745,0.001565672,,,,,
21,328,5.91E-05,0.000543745,0.001565672,,,,,
22,336,5.91E-05,0.000543745,0.001565672,,,,,
23,338,5.91E-05,0.000543745,0.001565672,,,,,
24,340,5.91E-05,0.000543745,0.001565672,,,,,
25,364,5.91E-05,0.000543745,0.001565672,,,,,
26,374,5.91E-05,0.000543745,0.001565672,,,,,
27,375,5.91E-05,0.000543745,0.001565672,,,,,
28,382,5.91E-05,0.000543745,0.001565672,,,,,
29,432,5.91E-05,0.000543745,0.001565672,,,,,
30,444,5.91E-05,0.000543745,0.001565672,,,,,
31,453,5.91E-05,0.000543745,0.001565672,,,,,
32,464,5.91E-05,0.000543745,0.001565672,,,,,
33,510,5.91E-05,0.000543745,0.001565672,,,,,
34,513,5.91E-05,0.000543745,0.001565672,,,,,
35,528,5.91E-05,0.000543745,0.001565672,,,,,
36,565,5.91E-05,0.000543745,0.001565672,,,,,
37,580,5.91E-05,0.000543745,0.001565672,,,,,
38,581,5.91E-05,0.000543745,0.001565672,,,,,
39,587,5.91E-05,0.000543745,0.001565672,,,,,
40,628,5.91E-05,0.000543745,0.001565672,,,,,
41,629,5.91E-05,0.000543745,0.001565672,,,,,
42,639,5.91E-05,0.000543745,0.001565672,,,,,
43,644,5.91E-05,0.000543745,0.001565672,,,,,
44,680,5.91E-05,0.000543745,0.001565672,,,,,
45,686,5.91E-05,0.000543745,0.001565672,,,,,
46,699,5.91E-05,0.000543745,0.001565672,,,,,
47,715,5.91E-05,0.000543745,0.001565672,,,,,
48,768,5.91E-05,0.000543745,0.001565672,,,,,
49,780,5.91E-05,0.000543745,0.001565672,,,,,
50,786,5.91E-05,0.000543745,0.001565672,,,,,
51,850,5.91E-05,0.000543745,0.001565672,,,,,
52,980,5.91E-05,0.000543745,0.001565672,,,,,
53,997,5.91E-05,0.000543745,0.001565672,,,,,
54,1014,5.91E-05,0.000543745,0.001565672,,,,,
55,1052,5.91E-05,0.000543745,0.001565672,,,,,
56,1134,5.91E-05,0.000543745,0.001565672,,,,,
57,1176,5.91E-05,0.000543745,0.001565672,,,,,
58,1188,5.91E-05,0.000543745,0.001565672,,,,,
59,1226,5.91E-05,0.000543745,0.001565672,,,,,
60,1348,5.91E-05,0.000543745,0.001565672,,,,,
61,1356,5.91E-05,0.000543745,0.001565672,,,,,
62,1377,5.91E-05,0.000543745,0.001565672,,,,,
63,1389,5.91E-05,0.000543745,0.001565672,,,,,
64,1519,5.91E-05,0.000543745,0.001565672,,,,,
65,1526,5.91E-05,0.000543745,0.001565672,,,,,
66,1564,5.91E-05,0.000543745,0.001565672,,,,,
67,1592,5.91E-05,0.000543745,0.001565672,,,,,
68,1676,5.91E-05,0.000543745,0.001565672,,,,,
69,1721,5.91E-05,0.000543745,0.001565672,,,,,
70,1755,5.91E-05,0.000543745,0.001565672,,,,,
71,1806,5.91E-05,0.000543745,0.001565672,,,,,
72,1823,5.91E-05,0.000543745,0.001565672,,,,,
73,1841,5.91E-05,0.000543745,0.001565672,,,,,
74,1848,5.91E-05,0.000543745,0.001565672,,,,,
