,agemid,low95,median,up95
1,42,1.32E-12,1.32E-12,1.32E-12
2,47,6.44E-05,0.000279965,0.00094348
3,53,0.000292019,0.001268152,0.003837278
4,59,0.000658919,0.00285963,0.007874218
5,85,0.003263213,0.01489882,0.030423725
6,96,0.009583921,0.02316532,0.043460281
7,97,0.010346286,0.024030673,0.044675338
8,109,0.016537997,0.033375269,0.05758647
9,140,0.028585636,0.054431968,0.090645367
10,146,0.030449347,0.058344009,0.096414547
11,157,0.034142273,0.065434854,0.107329292
12,159,0.034741285,0.066748982,0.109614513
13,205,0.083003814,0.128447408,0.183899709
14,214,0.093948683,0.143506716,0.202506072
15,216,0.095933684,0.146590581,0.207110237
16,224,0.104889307,0.158734144,0.223403637
17,256,0.133731115,0.204103776,0.285847544
18,266,0.14106468,0.217320458,0.303697381
19,271,0.145055963,0.223421749,0.312348023
20,276,0.163571035,0.237473868,0.323449395
21,328,0.35463496,0.403798693,0.455793605
22,336,0.372363446,0.421750159,0.472823522
23,338,0.376459597,0.42604636,0.476895547
24,340,0.380533784,0.430253353,0.481261037
25,364,0.423488858,0.475771748,0.528207691
26,374,0.448918236,0.496189621,0.543141424
27,375,0.450596222,0.498091617,0.544664553
28,382,0.463337801,0.509926236,0.557576675
29,432,0.52540539,0.573612585,0.619338317
30,444,0.538068468,0.584357169,0.63080093
31,453,0.54574528,0.592199085,0.637895327
32,464,0.551479818,0.597757791,0.643071041
33,510,0.567425173,0.612603238,0.660528069
34,513,0.56819179,0.613407387,0.661831322
35,528,0.572989443,0.61766274,0.668151542
36,565,0.59499605,0.640181859,0.693396308
37,580,0.608589825,0.653503267,0.707730817
38,581,0.609467885,0.65435532,0.708679872
39,587,0.614355687,0.659148167,0.714001526
40,628,0.640562277,0.688176804,0.744934211
41,629,0.641078886,0.688899506,0.745448495
42,639,0.64640095,0.695515378,0.75146033
43,644,0.654153264,0.702296522,0.758234348
44,680,0.701499307,0.747088289,0.798239638
45,686,0.707287487,0.753266302,0.803286886
46,699,0.719339354,0.765815592,0.814820723
47,715,0.734310735,0.779698965,0.828356438
48,768,0.767176437,0.812526166,0.856979663
49,780,0.772248728,0.818100197,0.862142255
50,786,0.77480837,0.820713164,0.864787936
51,850,0.794246075,0.838364727,0.881676363
52,980,0.829730204,0.869865724,0.910038491
53,997,0.835007204,0.874436627,0.914217006
54,1014,0.843482602,0.881889536,0.920240173
55,1052,0.863595566,0.899598412,0.93409128
56,1134,0.891053073,0.923463286,0.952796148
57,1176,0.899297514,0.930452437,0.958306862
58,1188,0.901129468,0.932107786,0.959376109
59,1226,0.903645442,0.93422397,0.961019035
60,1348,0.920769815,0.946927511,0.970272625
61,1356,0.921967695,0.947914672,0.970851956
62,1377,0.926168043,0.95111421,0.973070135
63,1389,0.929075744,0.953663314,0.974618403
64,1519,0.950570832,0.969918518,0.985294691
65,1526,0.951248804,0.970381934,0.985578013
66,1564,0.953815995,0.972306563,0.986641505
67,1592,0.954767637,0.972941762,0.987164368
68,1676,0.959555556,0.976218407,0.988904703
69,1721,0.963081605,0.97857883,0.990234143
70,1755,0.966865341,0.98104322,0.991609289
71,1806,0.972217757,0.984538903,0.993474976
72,1823,0.973682574,0.985440536,0.993942312
73,1841,0.974742676,0.986191927,0.994354611
74,1848,0.975007461,0.986448914,0.994494527
