,agemid,low95,median,up95
1,42,1.00E-12,1.00E-12,1.00E-12
2,47,7.34E-06,0.000157593,0.000598916
3,53,3.40E-05,0.000725894,0.002663961
4,59,7.79E-05,0.001663327,0.005978078
5,85,0.000384326,0.008765572,0.028407617
6,96,0.002401342,0.012936564,0.036486498
7,97,0.002686085,0.013391295,0.036560933
8,109,0.004972504,0.019326369,0.040931451
9,140,0.010992549,0.034293323,0.068250163
10,146,0.012154053,0.037092777,0.073579664
11,157,0.013639055,0.041486931,0.085232124
12,159,0.013890072,0.042331347,0.086914956
13,205,0.037249442,0.078919753,0.141270631
14,214,0.041677496,0.0885791,0.157077869
15,216,0.042925656,0.090540358,0.16117039
16,224,0.047438138,0.098221921,0.176503211
17,256,0.05808853,0.132488827,0.248599019
18,266,0.061688866,0.142442324,0.270811441
19,271,0.063186772,0.14786201,0.281087108
20,276,0.08286082,0.163952646,0.294796034
21,328,0.367968926,0.424096164,0.484239848
22,336,0.399233102,0.456583132,0.5135644
23,338,0.406957498,0.463935868,0.521684692
24,340,0.414815476,0.471358887,0.529647568
25,364,0.486919212,0.552267357,0.613462744
26,374,0.496348454,0.55815898,0.617486307
27,375,0.496886587,0.558405045,0.617895214
28,382,0.500956376,0.560647087,0.618940152
29,432,0.52641127,0.577424333,0.629681605
30,444,0.529445393,0.581731871,0.6323211
31,453,0.530780642,0.584592383,0.635984297
32,464,0.533684571,0.587673071,0.63999689
33,510,0.54232151,0.598628202,0.653572883
34,513,0.542628558,0.599357741,0.654014249
35,528,0.545209065,0.602960309,0.659752349
36,565,0.557675893,0.615848337,0.675128952
37,580,0.5673889,0.622624085,0.684446496
38,581,0.568044498,0.623261133,0.685322534
39,587,0.570932675,0.626374865,0.689212533
40,628,0.585381941,0.645428112,0.716473602
41,629,0.585690632,0.645877394,0.717201344
42,639,0.590275923,0.650375553,0.724690574
43,644,0.604236316,0.663375562,0.734029411
44,680,0.68661329,0.739818731,0.796228501
45,686,0.698637234,0.751223136,0.806326743
46,699,0.721851264,0.772784702,0.826332706
47,715,0.746736204,0.796570724,0.849180074
48,768,0.773540099,0.822620282,0.870708801
49,780,0.775394912,0.824319299,0.871881052
50,786,0.776085367,0.82521213,0.872657759
51,850,0.783655572,0.832891899,0.879658979
52,980,0.805370172,0.852629051,0.898611131
53,997,0.809189178,0.855393476,0.901508859
54,1014,0.822387497,0.867196281,0.910548329
55,1052,0.860701318,0.898479734,0.935231177
56,1134,0.893260185,0.927531976,0.957414157
57,1176,0.895267314,0.929287617,0.959011583
58,1188,0.895928831,0.930153042,0.959373342
59,1226,0.897903659,0.93190273,0.960516534
60,1348,0.909733682,0.939739834,0.965986895
61,1356,0.910416563,0.940367463,0.96647528
62,1377,0.916059367,0.944701922,0.9694895
63,1389,0.922468243,0.949185561,0.972381384
64,1519,0.950184524,0.970601472,0.985950892
65,1526,0.950286263,0.970728512,0.986014848
66,1564,0.951031623,0.971446488,0.98655704
67,1592,0.951927586,0.972012976,0.986831528
68,1676,0.954942484,0.974051769,0.987945703
69,1721,0.957910344,0.975500823,0.988738112
70,1755,0.963764572,0.979333952,0.990870806
71,1806,0.973132624,0.985611762,0.994220607
72,1823,0.975224045,0.987212799,0.994989437
73,1841,0.975828803,0.987559682,0.995111848
74,1848,0.975962811,0.987631695,0.9951337
