,agemid,low95,median,up95,,,,,
1,42,0.001482431,0.016237869,0.089746488,,0.045080716,0.493793589,2.729190693,(prop exposed per month)
2,47,0.001482431,0.016237869,0.089746488,,,,,
3,53,0.001482431,0.016237869,0.089746488,,,,,
4,59,0.001482431,0.016237869,0.089746488,,,,,
5,85,0.001482431,0.016237869,0.089746488,,,,,
6,96,0.001482431,0.016237869,0.089746488,,,,,
7,97,0.001482431,0.016237869,0.089746488,,,,,
8,109,0.001482431,0.016237869,0.089746488,,,,,
9,140,0.001482431,0.016237869,0.089746488,,,,,
10,146,0.001482431,0.016237869,0.089746488,,,,,
11,157,0.001482431,0.016237869,0.089746488,,,,,
12,159,0.001482431,0.016237869,0.089746488,,,,,
13,205,0.001482431,0.016237869,0.089746488,,,,,
14,214,0.001482431,0.016237869,0.089746488,,,,,
15,216,0.001482431,0.016237869,0.089746488,,,,,
16,224,0.001482431,0.016237869,0.089746488,,,,,
17,256,0.001482431,0.016237869,0.089746488,,,,,
18,266,0.001482431,0.016237869,0.089746488,,,,,
19,271,0.001482431,0.016237869,0.089746488,,,,,
20,276,0.001482431,0.016237869,0.089746488,,,,,
21,328,0.001482431,0.016237869,0.089746488,,,,,
22,336,0.001482431,0.016237869,0.089746488,,,,,
23,338,0.001482431,0.016237869,0.089746488,,,,,
24,340,0.001482431,0.016237869,0.089746488,,,,,
25,364,0.001482431,0.016237869,0.089746488,,,,,
26,374,0.001482431,0.016237869,0.089746488,,,,,
27,375,0.001482431,0.016237869,0.089746488,,,,,
28,382,0.001482431,0.016237869,0.089746488,,,,,
29,432,0.001482431,0.016237869,0.089746488,,,,,
30,444,0.001482431,0.016237869,0.089746488,,,,,
31,453,0.001482431,0.016237869,0.089746488,,,,,
32,464,0.001482431,0.016237869,0.089746488,,,,,
33,510,0.001482431,0.016237869,0.089746488,,,,,
34,513,0.001482431,0.016237869,0.089746488,,,,,
35,528,0.001482431,0.016237869,0.089746488,,,,,
36,565,0.001482431,0.016237869,0.089746488,,,,,
37,580,0.001482431,0.016237869,0.089746488,,,,,
38,581,0.001482431,0.016237869,0.089746488,,,,,
39,587,0.001482431,0.016237869,0.089746488,,,,,
40,628,0.001482431,0.016237869,0.089746488,,,,,
41,629,0.001482431,0.016237869,0.089746488,,,,,
42,639,0.001482431,0.016237869,0.089746488,,,,,
43,644,0.001482431,0.016237869,0.089746488,,,,,
44,680,0.001482431,0.016237869,0.089746488,,,,,
45,686,0.001482431,0.016237869,0.089746488,,,,,
46,699,0.001482431,0.016237869,0.089746488,,,,,
47,715,0.001482431,0.016237869,0.089746488,,,,,
48,768,0.001482431,0.016237869,0.089746488,,,,,
49,780,0.001482431,0.016237869,0.089746488,,,,,
50,786,0.001482431,0.016237869,0.089746488,,,,,
51,850,0.001482431,0.016237869,0.089746488,,,,,
52,980,0.001482431,0.016237869,0.089746488,,,,,
53,997,0.001482431,0.016237869,0.089746488,,,,,
54,1014,0.001482431,0.016237869,0.089746488,,,,,
55,1052,0.001482431,0.016237869,0.089746488,,,,,
56,1134,0.001482431,0.016237869,0.089746488,,,,,
57,1176,0.001482431,0.016237869,0.089746488,,,,,
58,1188,0.001482431,0.016237869,0.089746488,,,,,
59,1226,0.001482431,0.016237869,0.089746488,,,,,
60,1348,0.001482431,0.016237869,0.089746488,,,,,
61,1356,0.001482431,0.016237869,0.089746488,,,,,
62,1377,0.001482431,0.016237869,0.089746488,,,,,
63,1389,0.001482431,0.016237869,0.089746488,,,,,
64,1519,0.001482431,0.016237869,0.089746488,,,,,
65,1526,0.001482431,0.016237869,0.089746488,,,,,
66,1564,0.001482431,0.016237869,0.089746488,,,,,
67,1592,0.001482431,0.016237869,0.089746488,,,,,
68,1676,0.001482431,0.016237869,0.089746488,,,,,
69,1721,0.001482431,0.016237869,0.089746488,,,,,
70,1755,0.001482431,0.016237869,0.089746488,,,,,
71,1806,0.001482431,0.016237869,0.089746488,,,,,
72,1823,0.001482431,0.016237869,0.089746488,,,,,
73,1841,0.001482431,0.016237869,0.089746488,,,,,
74,1848,0.001482431,0.016237869,0.089746488,,,,,
