,agemid,low95,median,up95,,,,,
1,42,0.002795576,0.003606979,0.005586457,,357.7080077,277.2403531,179.0043336,(duration of immunity (days))
2,47,0.002795576,0.003606979,0.005586457,,,,,
3,53,0.002795576,0.003606979,0.005586457,,,,,
4,59,0.002795576,0.003606979,0.005586457,,,,,
5,85,0.002795576,0.003606979,0.005586457,,,,,
6,96,0.002795576,0.003606979,0.005586457,,,,,
7,97,0.002795576,0.003606979,0.005586457,,,,,
8,109,0.002795576,0.003606979,0.005586457,,,,,
9,140,0.002795576,0.003606979,0.005586457,,,,,
10,146,0.002795576,0.003606979,0.005586457,,,,,
11,157,0.002795576,0.003606979,0.005586457,,,,,
12,159,0.002795576,0.003606979,0.005586457,,,,,
13,205,0.002795576,0.003606979,0.005586457,,,,,
14,214,0.002795576,0.003606979,0.005586457,,,,,
15,216,0.002795576,0.003606979,0.005586457,,,,,
16,224,0.002795576,0.003606979,0.005586457,,,,,
17,256,0.002795576,0.003606979,0.005586457,,,,,
18,266,0.002795576,0.003606979,0.005586457,,,,,
19,271,0.002795576,0.003606979,0.005586457,,,,,
20,276,0.002795576,0.003606979,0.005586457,,,,,
21,328,0.002795576,0.003606979,0.005586457,,,,,
22,336,0.002795576,0.003606979,0.005586457,,,,,
23,338,0.002795576,0.003606979,0.005586457,,,,,
24,340,0.002795576,0.003606979,0.005586457,,,,,
25,364,0.002795576,0.003606979,0.005586457,,,,,
26,374,0.002795576,0.003606979,0.005586457,,,,,
27,375,0.002795576,0.003606979,0.005586457,,,,,
28,382,0.002795576,0.003606979,0.005586457,,,,,
29,432,0.002795576,0.003606979,0.005586457,,,,,
30,444,0.002795576,0.003606979,0.005586457,,,,,
31,453,0.002795576,0.003606979,0.005586457,,,,,
32,464,0.002795576,0.003606979,0.005586457,,,,,
33,510,0.002795576,0.003606979,0.005586457,,,,,
34,513,0.002795576,0.003606979,0.005586457,,,,,
35,528,0.002795576,0.003606979,0.005586457,,,,,
36,565,0.002795576,0.003606979,0.005586457,,,,,
37,580,0.002795576,0.003606979,0.005586457,,,,,
38,581,0.002795576,0.003606979,0.005586457,,,,,
39,587,0.002795576,0.003606979,0.005586457,,,,,
40,628,0.002795576,0.003606979,0.005586457,,,,,
41,629,0.002795576,0.003606979,0.005586457,,,,,
42,639,0.002795576,0.003606979,0.005586457,,,,,
43,644,0.002795576,0.003606979,0.005586457,,,,,
44,680,0.002795576,0.003606979,0.005586457,,,,,
45,686,0.002795576,0.003606979,0.005586457,,,,,
46,699,0.002795576,0.003606979,0.005586457,,,,,
47,715,0.002795576,0.003606979,0.005586457,,,,,
48,768,0.002795576,0.003606979,0.005586457,,,,,
49,780,0.002795576,0.003606979,0.005586457,,,,,
50,786,0.002795576,0.003606979,0.005586457,,,,,
51,850,0.002795576,0.003606979,0.005586457,,,,,
52,980,0.002795576,0.003606979,0.005586457,,,,,
53,997,0.002795576,0.003606979,0.005586457,,,,,
54,1014,0.002795576,0.003606979,0.005586457,,,,,
55,1052,0.002795576,0.003606979,0.005586457,,,,,
56,1134,0.002795576,0.003606979,0.005586457,,,,,
57,1176,0.002795576,0.003606979,0.005586457,,,,,
58,1188,0.002795576,0.003606979,0.005586457,,,,,
59,1226,0.002795576,0.003606979,0.005586457,,,,,
60,1348,0.002795576,0.003606979,0.005586457,,,,,
61,1356,0.002795576,0.003606979,0.005586457,,,,,
62,1377,0.002795576,0.003606979,0.005586457,,,,,
63,1389,0.002795576,0.003606979,0.005586457,,,,,
64,1519,0.002795576,0.003606979,0.005586457,,,,,
65,1526,0.002795576,0.003606979,0.005586457,,,,,
66,1564,0.002795576,0.003606979,0.005586457,,,,,
67,1592,0.002795576,0.003606979,0.005586457,,,,,
68,1676,0.002795576,0.003606979,0.005586457,,,,,
69,1721,0.002795576,0.003606979,0.005586457,,,,,
70,1755,0.002795576,0.003606979,0.005586457,,,,,
71,1806,0.002795576,0.003606979,0.005586457,,,,,
72,1823,0.002795576,0.003606979,0.005586457,,,,,
73,1841,0.002795576,0.003606979,0.005586457,,,,,
74,1848,0.002795576,0.003606979,0.005586457,,,,,
