,agemid,low95,median,up95,,,,,
1,42,8.25E-05,0.002468526,0.012869326,,0.00,0.08,0.39,(prop exposed per month)
2,47,8.25E-05,0.002468526,0.012869326,,,,,
3,53,8.25E-05,0.002468526,0.012869326,,,,,
4,59,8.25E-05,0.002468526,0.012869326,,,,,
5,85,8.25E-05,0.002468526,0.012869326,,,,,
6,96,8.25E-05,0.002468526,0.012869326,,,,,
7,97,8.25E-05,0.002468526,0.012869326,,,,,
8,109,8.25E-05,0.002468526,0.012869326,,,,,
9,140,8.25E-05,0.002468526,0.012869326,,,,,
10,146,8.25E-05,0.002468526,0.012869326,,,,,
11,157,8.25E-05,0.002468526,0.012869326,,,,,
12,159,8.25E-05,0.002468526,0.012869326,,,,,
13,205,8.25E-05,0.002468526,0.012869326,,,,,
14,214,8.25E-05,0.002468526,0.012869326,,,,,
15,216,8.25E-05,0.002468526,0.012869326,,,,,
16,224,8.25E-05,0.002468526,0.012869326,,,,,
17,256,8.25E-05,0.002468526,0.012869326,,,,,
18,266,8.25E-05,0.002468526,0.012869326,,,,,
19,271,8.25E-05,0.002468526,0.012869326,,,,,
20,276,8.25E-05,0.002468526,0.012869326,,,,,
21,328,8.25E-05,0.002468526,0.012869326,,,,,
22,336,8.25E-05,0.002468526,0.012869326,,,,,
23,338,8.25E-05,0.002468526,0.012869326,,,,,
24,340,8.25E-05,0.002468526,0.012869326,,,,,
25,364,8.25E-05,0.002468526,0.012869326,,,,,
26,374,8.25E-05,0.002468526,0.012869326,,,,,
27,375,8.25E-05,0.002468526,0.012869326,,,,,
28,382,8.25E-05,0.002468526,0.012869326,,,,,
29,432,8.25E-05,0.002468526,0.012869326,,,,,
30,444,8.25E-05,0.002468526,0.012869326,,,,,
31,453,8.25E-05,0.002468526,0.012869326,,,,,
32,464,8.25E-05,0.002468526,0.012869326,,,,,
33,510,8.25E-05,0.002468526,0.012869326,,,,,
34,513,8.25E-05,0.002468526,0.012869326,,,,,
35,528,8.25E-05,0.002468526,0.012869326,,,,,
36,565,8.25E-05,0.002468526,0.012869326,,,,,
37,580,8.25E-05,0.002468526,0.012869326,,,,,
38,581,8.25E-05,0.002468526,0.012869326,,,,,
39,587,8.25E-05,0.002468526,0.012869326,,,,,
40,628,8.25E-05,0.002468526,0.012869326,,,,,
41,629,8.25E-05,0.002468526,0.012869326,,,,,
42,639,8.25E-05,0.002468526,0.012869326,,,,,
43,644,8.25E-05,0.002468526,0.012869326,,,,,
44,680,8.25E-05,0.002468526,0.012869326,,,,,
45,686,8.25E-05,0.002468526,0.012869326,,,,,
46,699,8.25E-05,0.002468526,0.012869326,,,,,
47,715,8.25E-05,0.002468526,0.012869326,,,,,
48,768,8.25E-05,0.002468526,0.012869326,,,,,
49,780,8.25E-05,0.002468526,0.012869326,,,,,
50,786,8.25E-05,0.002468526,0.012869326,,,,,
51,850,8.25E-05,0.002468526,0.012869326,,,,,
52,980,8.25E-05,0.002468526,0.012869326,,,,,
53,997,8.25E-05,0.002468526,0.012869326,,,,,
54,1014,8.25E-05,0.002468526,0.012869326,,,,,
55,1052,8.25E-05,0.002468526,0.012869326,,,,,
56,1134,8.25E-05,0.002468526,0.012869326,,,,,
57,1176,8.25E-05,0.002468526,0.012869326,,,,,
58,1188,8.25E-05,0.002468526,0.012869326,,,,,
59,1226,8.25E-05,0.002468526,0.012869326,,,,,
60,1348,8.25E-05,0.002468526,0.012869326,,,,,
61,1356,8.25E-05,0.002468526,0.012869326,,,,,
62,1377,8.25E-05,0.002468526,0.012869326,,,,,
63,1389,8.25E-05,0.002468526,0.012869326,,,,,
64,1519,8.25E-05,0.002468526,0.012869326,,,,,
65,1526,8.25E-05,0.002468526,0.012869326,,,,,
66,1564,8.25E-05,0.002468526,0.012869326,,,,,
67,1592,8.25E-05,0.002468526,0.012869326,,,,,
68,1676,8.25E-05,0.002468526,0.012869326,,,,,
69,1721,8.25E-05,0.002468526,0.012869326,,,,,
70,1755,8.25E-05,0.002468526,0.012869326,,,,,
71,1806,8.25E-05,0.002468526,0.012869326,,,,,
72,1823,8.25E-05,0.002468526,0.012869326,,,,,
73,1841,8.25E-05,0.002468526,0.012869326,,,,,
74,1848,8.25E-05,0.002468526,0.012869326,,,,,
