,agemid,low95,median,up95,,,,,
1,42,0.000156208,0.003167582,0.013812628,,0.004750297,0.096326158,0.420042011,(prop exposed per month)
2,47,0.000156208,0.003167582,0.013812628,,,,,
3,53,0.000156208,0.003167582,0.013812628,,,,,
4,59,0.000156208,0.003167582,0.013812628,,,,,
5,85,0.000156208,0.003167582,0.013812628,,,,,
6,96,0.000156208,0.003167582,0.013812628,,,,,
7,97,0.000156208,0.003167582,0.013812628,,,,,
8,109,0.000156208,0.003167582,0.013812628,,,,,
9,140,0.000156208,0.003167582,0.013812628,,,,,
10,146,0.000156208,0.003167582,0.013812628,,,,,
11,157,0.000156208,0.003167582,0.013812628,,,,,
12,159,0.000156208,0.003167582,0.013812628,,,,,
13,205,0.000156208,0.003167582,0.013812628,,,,,
14,214,0.000156208,0.003167582,0.013812628,,,,,
15,216,0.000156208,0.003167582,0.013812628,,,,,
16,224,0.000156208,0.003167582,0.013812628,,,,,
17,256,0.000156208,0.003167582,0.013812628,,,,,
18,266,0.000156208,0.003167582,0.013812628,,,,,
19,271,0.000156208,0.003167582,0.013812628,,,,,
20,276,0.000156208,0.003167582,0.013812628,,,,,
21,328,0.000156208,0.003167582,0.013812628,,,,,
22,336,0.000156208,0.003167582,0.013812628,,,,,
23,338,0.000156208,0.003167582,0.013812628,,,,,
24,340,0.000156208,0.003167582,0.013812628,,,,,
25,364,0.000156208,0.003167582,0.013812628,,,,,
26,374,0.000156208,0.003167582,0.013812628,,,,,
27,375,0.000156208,0.003167582,0.013812628,,,,,
28,382,0.000156208,0.003167582,0.013812628,,,,,
29,432,0.000156208,0.003167582,0.013812628,,,,,
30,444,0.000156208,0.003167582,0.013812628,,,,,
31,453,0.000156208,0.003167582,0.013812628,,,,,
32,464,0.000156208,0.003167582,0.013812628,,,,,
33,510,0.000156208,0.003167582,0.013812628,,,,,
34,513,0.000156208,0.003167582,0.013812628,,,,,
35,528,0.000156208,0.003167582,0.013812628,,,,,
36,565,0.000156208,0.003167582,0.013812628,,,,,
37,580,0.000156208,0.003167582,0.013812628,,,,,
38,581,0.000156208,0.003167582,0.013812628,,,,,
39,587,0.000156208,0.003167582,0.013812628,,,,,
40,628,0.000156208,0.003167582,0.013812628,,,,,
41,629,0.000156208,0.003167582,0.013812628,,,,,
42,639,0.000156208,0.003167582,0.013812628,,,,,
43,644,0.000156208,0.003167582,0.013812628,,,,,
44,680,0.000156208,0.003167582,0.013812628,,,,,
45,686,0.000156208,0.003167582,0.013812628,,,,,
46,699,0.000156208,0.003167582,0.013812628,,,,,
47,715,0.000156208,0.003167582,0.013812628,,,,,
48,768,0.000156208,0.003167582,0.013812628,,,,,
49,780,0.000156208,0.003167582,0.013812628,,,,,
50,786,0.000156208,0.003167582,0.013812628,,,,,
51,850,0.000156208,0.003167582,0.013812628,,,,,
52,980,0.000156208,0.003167582,0.013812628,,,,,
53,997,0.000156208,0.003167582,0.013812628,,,,,
54,1014,0.000156208,0.003167582,0.013812628,,,,,
55,1052,0.000156208,0.003167582,0.013812628,,,,,
56,1134,0.000156208,0.003167582,0.013812628,,,,,
57,1176,0.000156208,0.003167582,0.013812628,,,,,
58,1188,0.000156208,0.003167582,0.013812628,,,,,
59,1226,0.000156208,0.003167582,0.013812628,,,,,
60,1348,0.000156208,0.003167582,0.013812628,,,,,
61,1356,0.000156208,0.003167582,0.013812628,,,,,
62,1377,0.000156208,0.003167582,0.013812628,,,,,
63,1389,0.000156208,0.003167582,0.013812628,,,,,
64,1519,0.000156208,0.003167582,0.013812628,,,,,
65,1526,0.000156208,0.003167582,0.013812628,,,,,
66,1564,0.000156208,0.003167582,0.013812628,,,,,
67,1592,0.000156208,0.003167582,0.013812628,,,,,
68,1676,0.000156208,0.003167582,0.013812628,,,,,
69,1721,0.000156208,0.003167582,0.013812628,,,,,
70,1755,0.000156208,0.003167582,0.013812628,,,,,
71,1806,0.000156208,0.003167582,0.013812628,,,,,
72,1823,0.000156208,0.003167582,0.013812628,,,,,
73,1841,0.000156208,0.003167582,0.013812628,,,,,
74,1848,0.000156208,0.003167582,0.013812628,,,,,
