,agemid,low95,median,up95,,,,,
1,42,0.000705772,0.015685877,0.086689929,,0.02146253,0.477007517,2.636240743,(prop exposed per month)
2,47,0.000705772,0.015685877,0.086689929,,,,,
3,53,0.000705772,0.015685877,0.086689929,,,,,
4,59,0.000705772,0.015685877,0.086689929,,,,,
5,85,0.000705772,0.015685877,0.086689929,,,,,
6,96,0.000705772,0.015685877,0.086689929,,,,,
7,97,0.000705772,0.015685877,0.086689929,,,,,
8,109,0.000705772,0.015685877,0.086689929,,,,,
9,140,0.000705772,0.015685877,0.086689929,,,,,
10,146,0.000705772,0.015685877,0.086689929,,,,,
11,157,0.000705772,0.015685877,0.086689929,,,,,
12,159,0.000705772,0.015685877,0.086689929,,,,,
13,205,0.000705772,0.015685877,0.086689929,,,,,
14,214,0.000705772,0.015685877,0.086689929,,,,,
15,216,0.000705772,0.015685877,0.086689929,,,,,
16,224,0.000705772,0.015685877,0.086689929,,,,,
17,256,0.000705772,0.015685877,0.086689929,,,,,
18,266,0.000705772,0.015685877,0.086689929,,,,,
19,271,0.000705772,0.015685877,0.086689929,,,,,
20,276,0.000705772,0.015685877,0.086689929,,,,,
21,328,0.000705772,0.015685877,0.086689929,,,,,
22,336,0.000705772,0.015685877,0.086689929,,,,,
23,338,0.000705772,0.015685877,0.086689929,,,,,
24,340,0.000705772,0.015685877,0.086689929,,,,,
25,364,0.000705772,0.015685877,0.086689929,,,,,
26,374,0.000705772,0.015685877,0.086689929,,,,,
27,375,0.000705772,0.015685877,0.086689929,,,,,
28,382,0.000705772,0.015685877,0.086689929,,,,,
29,432,0.000705772,0.015685877,0.086689929,,,,,
30,444,0.000705772,0.015685877,0.086689929,,,,,
31,453,0.000705772,0.015685877,0.086689929,,,,,
32,464,0.000705772,0.015685877,0.086689929,,,,,
33,510,0.000705772,0.015685877,0.086689929,,,,,
34,513,0.000705772,0.015685877,0.086689929,,,,,
35,528,0.000705772,0.015685877,0.086689929,,,,,
36,565,0.000705772,0.015685877,0.086689929,,,,,
37,580,0.000705772,0.015685877,0.086689929,,,,,
38,581,0.000705772,0.015685877,0.086689929,,,,,
39,587,0.000705772,0.015685877,0.086689929,,,,,
40,628,0.000705772,0.015685877,0.086689929,,,,,
41,629,0.000705772,0.015685877,0.086689929,,,,,
42,639,0.000705772,0.015685877,0.086689929,,,,,
43,644,0.000705772,0.015685877,0.086689929,,,,,
44,680,0.000705772,0.015685877,0.086689929,,,,,
45,686,0.000705772,0.015685877,0.086689929,,,,,
46,699,0.000705772,0.015685877,0.086689929,,,,,
47,715,0.000705772,0.015685877,0.086689929,,,,,
48,768,0.000705772,0.015685877,0.086689929,,,,,
49,780,0.000705772,0.015685877,0.086689929,,,,,
50,786,0.000705772,0.015685877,0.086689929,,,,,
51,850,0.000705772,0.015685877,0.086689929,,,,,
52,980,0.000705772,0.015685877,0.086689929,,,,,
53,997,0.000705772,0.015685877,0.086689929,,,,,
54,1014,0.000705772,0.015685877,0.086689929,,,,,
55,1052,0.000705772,0.015685877,0.086689929,,,,,
56,1134,0.000705772,0.015685877,0.086689929,,,,,
57,1176,0.000705772,0.015685877,0.086689929,,,,,
58,1188,0.000705772,0.015685877,0.086689929,,,,,
59,1226,0.000705772,0.015685877,0.086689929,,,,,
60,1348,0.000705772,0.015685877,0.086689929,,,,,
61,1356,0.000705772,0.015685877,0.086689929,,,,,
62,1377,0.000705772,0.015685877,0.086689929,,,,,
63,1389,0.000705772,0.015685877,0.086689929,,,,,
64,1519,0.000705772,0.015685877,0.086689929,,,,,
65,1526,0.000705772,0.015685877,0.086689929,,,,,
66,1564,0.000705772,0.015685877,0.086689929,,,,,
67,1592,0.000705772,0.015685877,0.086689929,,,,,
68,1676,0.000705772,0.015685877,0.086689929,,,,,
69,1721,0.000705772,0.015685877,0.086689929,,,,,
70,1755,0.000705772,0.015685877,0.086689929,,,,,
71,1806,0.000705772,0.015685877,0.086689929,,,,,
72,1823,0.000705772,0.015685877,0.086689929,,,,,
73,1841,0.000705772,0.015685877,0.086689929,,,,,
74,1848,0.000705772,0.015685877,0.086689929,,,,,
