,agemid,low95,median,up95,,,,,
1,42,0.001014963,0.014697421,0.082986786,,0.03,0.45,2.52,(prop per month)
2,47,0.001014963,0.014697421,0.082986786,,,,,
3,53,0.001014963,0.014697421,0.082986786,,,,,
4,59,0.001014963,0.014697421,0.082986786,,,,,
5,85,0.001014963,0.014697421,0.082986786,,,,,
6,96,0.001014963,0.014697421,0.082986786,,,,,
7,97,0.001014963,0.014697421,0.082986786,,,,,
8,109,0.001014963,0.014697421,0.082986786,,,,,
9,140,0.001014963,0.014697421,0.082986786,,,,,
10,146,0.001014963,0.014697421,0.082986786,,,,,
11,157,0.001014963,0.014697421,0.082986786,,,,,
12,159,0.001014963,0.014697421,0.082986786,,,,,
13,205,0.001014963,0.014697421,0.082986786,,,,,
14,214,0.001014963,0.014697421,0.082986786,,,,,
15,216,0.001014963,0.014697421,0.082986786,,,,,
16,224,0.001014963,0.014697421,0.082986786,,,,,
17,256,0.001014963,0.014697421,0.082986786,,,,,
18,266,0.001014963,0.014697421,0.082986786,,,,,
19,271,0.001014963,0.014697421,0.082986786,,,,,
20,276,0.001014963,0.014697421,0.082986786,,,,,
21,328,0.001014963,0.014697421,0.082986786,,,,,
22,336,0.001014963,0.014697421,0.082986786,,,,,
23,338,0.001014963,0.014697421,0.082986786,,,,,
24,340,0.001014963,0.014697421,0.082986786,,,,,
25,364,0.001014963,0.014697421,0.082986786,,,,,
26,374,0.001014963,0.014697421,0.082986786,,,,,
27,375,0.001014963,0.014697421,0.082986786,,,,,
28,382,0.001014963,0.014697421,0.082986786,,,,,
29,432,0.001014963,0.014697421,0.082986786,,,,,
30,444,0.001014963,0.014697421,0.082986786,,,,,
31,453,0.001014963,0.014697421,0.082986786,,,,,
32,464,0.001014963,0.014697421,0.082986786,,,,,
33,510,0.001014963,0.014697421,0.082986786,,,,,
34,513,0.001014963,0.014697421,0.082986786,,,,,
35,528,0.001014963,0.014697421,0.082986786,,,,,
36,565,0.001014963,0.014697421,0.082986786,,,,,
37,580,0.001014963,0.014697421,0.082986786,,,,,
38,581,0.001014963,0.014697421,0.082986786,,,,,
39,587,0.001014963,0.014697421,0.082986786,,,,,
40,628,0.001014963,0.014697421,0.082986786,,,,,
41,629,0.001014963,0.014697421,0.082986786,,,,,
42,639,0.001014963,0.014697421,0.082986786,,,,,
43,644,0.001014963,0.014697421,0.082986786,,,,,
44,680,0.001014963,0.014697421,0.082986786,,,,,
45,686,0.001014963,0.014697421,0.082986786,,,,,
46,699,0.001014963,0.014697421,0.082986786,,,,,
47,715,0.001014963,0.014697421,0.082986786,,,,,
48,768,0.001014963,0.014697421,0.082986786,,,,,
49,780,0.001014963,0.014697421,0.082986786,,,,,
50,786,0.001014963,0.014697421,0.082986786,,,,,
51,850,0.001014963,0.014697421,0.082986786,,,,,
52,980,0.001014963,0.014697421,0.082986786,,,,,
53,997,0.001014963,0.014697421,0.082986786,,,,,
54,1014,0.001014963,0.014697421,0.082986786,,,,,
55,1052,0.001014963,0.014697421,0.082986786,,,,,
56,1134,0.001014963,0.014697421,0.082986786,,,,,
57,1176,0.001014963,0.014697421,0.082986786,,,,,
58,1188,0.001014963,0.014697421,0.082986786,,,,,
59,1226,0.001014963,0.014697421,0.082986786,,,,,
60,1348,0.001014963,0.014697421,0.082986786,,,,,
61,1356,0.001014963,0.014697421,0.082986786,,,,,
62,1377,0.001014963,0.014697421,0.082986786,,,,,
63,1389,0.001014963,0.014697421,0.082986786,,,,,
64,1519,0.001014963,0.014697421,0.082986786,,,,,
65,1526,0.001014963,0.014697421,0.082986786,,,,,
66,1564,0.001014963,0.014697421,0.082986786,,,,,
67,1592,0.001014963,0.014697421,0.082986786,,,,,
68,1676,0.001014963,0.014697421,0.082986786,,,,,
69,1721,0.001014963,0.014697421,0.082986786,,,,,
70,1755,0.001014963,0.014697421,0.082986786,,,,,
71,1806,0.001014963,0.014697421,0.082986786,,,,,
72,1823,0.001014963,0.014697421,0.082986786,,,,,
73,1841,0.001014963,0.014697421,0.082986786,,,,,
74,1848,0.001014963,0.014697421,0.082986786,,,,,
