"","agemid","low95","median","up95"
"1",42,1e-12,1e-12,1e-12
"2",47,7.26225449072064e-05,0.000294536650366519,0.00122142916483347
"3",53,0.000346935530170798,0.00139781815974654,0.00563824274738528
"4",59,0.000817937394529943,0.00327383089393023,0.0128505950187403
"5",85,0.00494960499347275,0.0192528317808431,0.0675299561734195
"6",96,0.0129059485410962,0.0325532830094585,0.0871006986786954
"7",97,0.0134606212499736,0.0343542318386335,0.0876700444677503
"8",109,0.0208910979348317,0.0569205326493227,0.0976345150687298
"9",140,0.0392202366400849,0.106174354336245,0.205851071575569
"10",146,0.0429698144674506,0.115285826856884,0.227791114789106
"11",157,0.0503609953975872,0.134003482994699,0.267158933830713
"12",159,0.0515976352500749,0.137544800567505,0.274245689506703
"13",205,0.140986798017644,0.230540708635189,0.367670888731898
"14",214,0.149435833434589,0.254691328199041,0.375830752479176
"15",216,0.151140342540688,0.259066130424581,0.37712056085506
"16",224,0.158220156368999,0.276996307913062,0.389024615531424
"17",256,0.18616461054375,0.334463585476891,0.477495735319133
"18",266,0.192632816112737,0.351243338954458,0.512295123965852
"19",271,0.197052648154036,0.358838193698055,0.527077542610612
"20",276,0.20001304661021,0.363800910483543,0.535046498066841
"21",328,0.222928791474431,0.390531509111129,0.543515173798903
"22",336,0.224505036501752,0.394483394261093,0.544501019883379
"23",338,0.225586675747162,0.395398596757813,0.544748340387154
"24",340,0.226670314287698,0.397066185450026,0.545013359361297
"25",364,0.236651398100405,0.410978300709115,0.552748403796548
"26",374,0.318962749210891,0.427267716225853,0.560967050009776
"27",375,0.327117360287093,0.428753111711457,0.561817906939936
"28",382,0.370271948483667,0.444195582950271,0.566240833583169
"29",432,0.460122595067059,0.550309318484403,0.692876106652363
"30",444,0.470867540652045,0.569705370483914,0.73076016753912
"31",453,0.477239894576425,0.582121935579576,0.756682315735282
"32",464,0.519159119256925,0.60169209279522,0.767036177033783
"33",510,0.603455053086192,0.689022340959028,0.792935586329963
"34",513,0.606542545155445,0.694948866458645,0.797167816422532
"35",528,0.620523328312716,0.715800172451735,0.821925638909518
"36",565,0.676966944022558,0.759610566000179,0.850837910025531
"37",580,0.703356581362057,0.777288437893325,0.858353899100731
"38",581,0.704320589815828,0.778652743630846,0.858585202382912
"39",587,0.710059319745717,0.784756678118528,0.859931822120235
"40",628,0.744360189375777,0.817426681498334,0.89000040901232
"41",629,0.745091788108622,0.818383015997431,0.890549240532887
"42",639,0.751449311362272,0.825136584963163,0.898769612332219
"43",644,0.753828505737505,0.826168718130441,0.898936784584178
"44",680,0.766756714552781,0.832978782716926,0.900201187812269
"45",686,0.76851291332687,0.834307547359971,0.900687215810054
"46",699,0.77257137201821,0.836912008529726,0.902010591257381
"47",715,0.777975825519438,0.840088334083227,0.903685930012886
"48",768,0.825584016344099,0.872141185902752,0.918187940540161
"49",780,0.833496961757398,0.879573242002972,0.925888563645293
"50",786,0.837711781487235,0.882741192871369,0.930228339868562
"51",850,0.877417360745481,0.916440534906739,0.959059621701871
"52",980,0.931927799792768,0.95927068233983,0.979537706981591
"53",997,0.93584716182213,0.962542836506177,0.98182662402433
"54",1014,0.939186620321714,0.964237615800021,0.983103540117341
"55",1052,0.943175252020752,0.966285316223562,0.983400110686577
"56",1134,0.958996274952996,0.975242690088024,0.987199098036016
"57",1176,0.966017361262029,0.980162256476166,0.99209415968541
"58",1188,0.967664161327446,0.981455092571959,0.99317317663028
"59",1226,0.97456404709197,0.985810327670944,0.994106180146007
"60",1348,0.986710303956758,0.993525536391087,0.997144998960424
"61",1356,0.987226131205952,0.993808399319416,0.997288182527239
"62",1377,0.988120152981199,0.994306305387982,0.997522001093408
"63",1389,0.988414447735182,0.994461837121322,0.997629838350268
"64",1519,0.993150567738523,0.99680263463184,0.998742513148747
"65",1526,0.99332021939362,0.996946498888084,0.998807262322391
"66",1564,0.99450691582609,0.997566655813195,0.999181313758857
"67",1592,0.995410557639907,0.9980308974912,0.99927807893023
"68",1676,0.997102223148561,0.998891095192366,0.999580407918233
"69",1721,0.99769033023344,0.999152448265553,0.999666158966896
"70",1755,0.997944854457398,0.999249397304778,0.999714734370021
"71",1806,0.998150595758984,0.999324799727082,0.999753586749372
"72",1823,0.998188663500995,0.999351040876297,0.999767562319037
"73",1841,0.998388423241142,0.999419994657965,0.999788085607512
"74",1848,0.998452514393761,0.999444374105285,0.999797698517826
